label,split_text
0,可以
1,我现在实在没那么多钱
2,今天天气不错
0,行
0,好
0,没问题那我在哪天之前需要还清呢
0,这样我就比较可以接受
0,嗯嗯这个金额可以的
0,好的这个金额我还能接受
0,这个我就可以还了
0,那我就按照这个还了
0,没问题
0,那好吧
0,那我就按照这个还了
0,好的我会按照这个还钱的
0,行吧就这样吧
1,怎么还是那么多
1,这还是太多了点吧
1,我真的没钱
1,减免了我钱也还是不够啊
1,怎么减免了还这么多啊
1,那还能分期吗
1,不可以再减免一点吗
1,那还可以申请分期吗
1,那减免以后还可以分期吗
1,我现在真的没钱
1,哪有那么多钱啊
1,我钱还是不够啊
1,我还是还不起
2,手机信号不好
2,我听不清
2,你在说什么
2,风声太大了
2,有电流音我听不清
2,你说什么
2,你再说一次
2,信号不好我听不清
2,你打错了
2,我在开车一会再说
2,我在开会一会再说
2,我现在没空你改天再打吧
0,可以
0,要得
0,可以
0,好的
1,需要减免减免结清证明
0,可以
0,可以
0,可以
0,好的
0,好
0,谢谢你啊
0,可以
0,可以
0,要得要得！
0,可以
0,可以
0,可以
0,太好了
0,好
0,可以
0,可以
0,可以
0,可以
0,可以
1,还能在减吗
0,这个可以
0,可以
0,可以
0,好的
2,我知道了
0,我同意
0,好
2,不说话
0,减免到这里，就可以了，
0,可以
0,行
0,可以
0,行，我明天处理
0,这样子我就还的起了
0,可以
0,可以
0,好的.我马上处理
0,我帮你减免利息
1,看看吧
0,可以
0,可以
0,可以
1,我在考虑考虑
0,课可以
0,好的
0,马上
2,不认识
2,不认识
0,可以
0,可以
0,可以
0,可以
0,可以
0,可以
0,可以；我同意/这样我就能还得起了；谢谢
0,我可以
0,可以
0,可以
0,好
0,谢谢
0,好的
0,可以
2,信号不好
0,可以
0,好的，
0,可以
0,好的
0,可以
0,谢谢你！
0,可以
0,可以
0,可以
0,我现在微信还进去
0,可以
0,可以
0,你先申请
0,可以
0,可以
0,可以
0,我同意
0,好啊
0,你太好了
0,可以
0,可以
0,好的
0,我同意
0,同意
0,谢谢
0,能减免我一定还
0,行我想办法借钱
0,谢谢
0,我同意
0,要得嘛！
0,谢谢了
0,我同意
0,好的
0,太好了，这样我就还得起了
0,要的
0,这个可以有
0,现在就还
0,好的
0,同意
1,我讨厌
0,可以
0,凑到这么多钱了
0,行
0,同意
0,我同意
0,我知道了
0,可以
0,行
2,不说话
0,这个减免，我同意。
0,我现在换
0,好的
0,我同意
0,我身上正好够
0,这样子我就还的起了
0,好的
0,我同意
0,没问题.谢谢
0,我帮你减免利息
1,凑看看
0,我同意
0,我同意
0,好的
1,我在考虑考虑
0,我同意
0,同意
0,好的
2,不认识
2,不认识
0,没问题
0,没问题
0,同意
0,好的
0,好的谢谢
0,这样还可以接受
0,可以；我同意/这样我就能还得起了；谢谢
