from,label,original_label,original_text,new_label,
CutDebt,1,,我正在想办法,106,
讨价还价,2,100,让客服联系我,107,
CutDebt,1,,过几天,1,
CutDebt,1,,再说,1,
请求等下打来,2,104,等会就好,0,
CutDebt,0,,一会去办理,106,
CutDebt,0,,明天,106,
讨价还价,2,100,我现在没那么多钱,1,
讨价还价,2,100,可以分期不,100,
CutDebt,1,,在帮你协商下吧,1,
CutDebt,0,,我自己处理,106,
CutDebt,0,,你等着看好了,106,
CutDebt,1,,工资还没有发,1,
CutDebt,1,,我现在吃饭都吃不起了，哪里有钱,1,
模糊确认,2,106,等我考虑下再说,1,
讨价还价,2,100,我相信,2,
确认数额,2,102,我好像没借这么多钱哦，你把详细记录给我看看,2,
CutDebt,1,,等朋友钱到账还,1,
请求重复,2,103,我没有听清池,103,
CutDebt,0,,你跟某某某联系，我跟他说好了,1,
CutDebt,1,,来不及,1,
CutDebt,0,,我有钱就第一时间给你打过来,1,
CutDebt,1,,还有其他欠款要处理,1,
CutDebt,1,,爱怎么样怎么样,1,
CutDebt,1,,你说了算,1,
模糊确认,2,106,好的，知道了,2,
CutDebt,1,,我想换现在换不起,1,
CutDebt,1,,这个时间内，肯定有问题,1,
请求等下打来,2,104,等等就处理,0,
CutDebt,0,,尽量,106,
CutDebt,0,,只愿还本金,100,
CutDebt,0,,要得要得！,0,
讨价还价,2,100,车子卖了还,1,
CutDebt,1,,知道了,106,
CutDebt,1,,在国外,1,
模糊确认,2,106,行，你放一万个心,2,
讨价还价,2,100,只还本金,2,
CutDebt,1,,我XX才发工资啊,1,
CutDebt,0,,你怎么不早说？,0,
CutDebt,1,,你在少点我就借钱处理了,1,
讨价还价,2,100,有点困难,1,
CutDebt,1,,看看吧,1,
请求重复,2,103,停不到,2,
CutDebt,0,,想想办法,0,
CutDebt,0,,OKOK,0,
CutDebt,1,,信号不好，没听清,103,
CutDebt,1,,多少多少我就还,100,
CutDebt,1,,你再去跟你们公司商量下，再少点,100,
讨价还价,2,100,我会还,1,
CutDebt,0,,免多少,102,
CutDebt,1,,我发誓19就行,0,
CutDebt,0,,去凑钱,1,
CutDebt,0,,明天,0,
CutDebt,1,,等我有钱的,1,
CutDebt,1,,发工资再说吧,1,
请求等下打来,2,104,等我下班就去还,0,
CutDebt,0,,你等等,1,
CutDebt,0,,不认识,1,
还款方式,2,108,红旗连锁能还吗？,2,
CutDebt,1,,我在山区短时间出不去,1,
CutDebt,1,,果断时间可以,1,
讨价还价,2,100,还是太多,2,
CutDebt,0,,怎么还呀,108,
CutDebt,1,,想都不要想,1,
CutDebt,0,,哦知道了,106,
CutDebt,1,,吃饭都成问题,1,
CutDebt,1,,我去借钱,1,
模糊确认,2,106,好的,0,
讨价还价,2,100,我有钱了肯定会处理,1,
CutDebt,0,,我想办法周转,106,
CutDebt,1,,等我有钱了会还清全款的,1,
CutDebt,1,,钱到位了我就还了,1,
CutDebt,1,,等下个处理,0,
CutDebt,0,,等下说,0,
讨价还价,2,100,等父母给钱的,1,
CutDebt,1,,我家里人都需要我养,1,
确认数额,2,102,要得,0,
故意岔开话题,2,109,你打错了,2,
CutDebt,0,,这下不担心了，不拍还不起了。,0,
CutDebt,1,,应该做不到,1,
讨价还价,2,100,会处理,2,
模糊确认,2,106,嗯,2,
CutDebt,1,,这样子我就还的起了,0,
