split_text,label
嗯,0
晓得他，他怎么了？,0
嗯，我认识嗯,0
哦，我认识,0
再说一次哈哈哈,0
认识,0
认识,0
俺是他爹,0
嗯知道,0
认识的,0
嗯,0
认识，你谁啊？,0
是的，认识,0
我事他爸爸,0
他正在开车，没意思,0
我认识,0
晓得哇,0
再说一次焉,0
嗯，我是他的远方亲戚,0
XX吗，我认识,0
"哦, 认识啊",0
有人打你电话,0
 大雁飞过去,0
他在睡觉，一会回你,0
啊,0
知道呀，你是谁？,0
我是他哥哈,0
XX吗，我认识,0
哪个呀？哈哈哈,0
认识哦,0
知道,0
俺是他妈,0
嗯认识,0
我是他哥,0
认识,0
认识，你谁啊？哪根葱？,0
他不在这里哈,0
我是他妹妹,0
你说哪个？阿,0
认识,0
哪个哟呢,0
待会我让他回你啊,0
嗯，我晓得这个人,0
我是他哥,0
我是他朋友,0
问你认不认识张三,0
 约定好、约定好,0
他在吃饭，不方便接你的电话，待会我让他回你,0
是,0
认识很多年了，他出啥事了？,0
待会我让他回你哈,0
认识,0
哪个哟哈哈哈,0
晓得,0
怎么啦,0
俺是他娘,0
嗯知道啊,0
我是他舅舅，你是谁,0
知道,0
你是哪根葱？,0
他开会去了,0
我是他奶奶,0
我是他哥阿,0
我知道,0
我是他哥呢,0
哪个哟阿,0
嗯，我认识这个人,0
认识啊，我是他同学,0
我是他邻居,0
我说你认知,0
书信别忘记,0
他在洗澡，不方便接你的电话，待会我让他回你,0
认识,0
不熟，知道而已。,0
他正在开车嗯,0
认识啊，我是他同学,0
待会我让他回你哈哈哈,0
知道啊,0
我是他爱人,0
俺是他爸,0
知道,0
他高考去了，晚点再打来,0
怎么了？,0
认识，她回老家了,0
他喝酒去了,0
我是他姥姥,0
再说一次阿,0
他正在开车，待会我让他回你,0
你说哪个？吧,0
他正在开车呀,0
嗯，在楼上的，我待会叫他,0
你要爪子嘛,0
貌似记得这个人,0
例如，嗯,0
书信别忘记,0
他在上厕所，不方便接你的电话，待会我让他回你,0
对,0
刚刚认识。,0
认求不到哈,0
认识啊，我是他同事,0
嗯，我认识哈哈哈,0
我哥哥,0
我是他老婆,0
俺是他妹,0
知道啊,0
他出差去了，明天再打来,0
有事？,0
认识，他去新疆了,0
他送人去了,0
我是他儿子,0
嗯，我认识阿,0
我是他姐姐,0
嗯，我认识呢,0
我是他哥也,0
嗯，我是他朋友，我待会让他联系你,0
哪个呀？,0
肯定晓得撒,0
我认识,0
身边河水提醒你,0
他在开会，不方便接你的电话，待会我让他回你,0
认识他,0
有印象，没聊过。,0
哪个呀？嗯,0
认识啊，我是他最好的朋友,0
我是他哥没意思,0
那是我姐姐,0
我是他婆娘,0
俺是他姐,0
我知道啊,0
不认识，才怪,0
他怎么了？,0
认识，她去悉尼了,0
他姐儿子去了,0
我是他堂弟,0
认求不到阿,0
我是他爸爸,0
待会我让他回你呢,0
晓得者,0
嗯，我晓得这个人，我隔壁,0
认识，兄弟，你想做微商吗？,0
他嗦，和我熟得很,0
我是他姐姐,0
书信别忘记,0
他在忙，不方便接你的电话，待会我让他回你,0
怎么啦,0
是的，他咋了？,0
哪个哟嗯,0
当然认识咯,0
认求不到没意思,0
他在开车,0
我是他老公,0
俺是他哥,0
肯定知道,0
这个龟孙，我也找他很久了,0
我是他XXX,0
认识，他去俄罗斯看世界杯了,0
他去医院了,0
我是他同学,0
晓得，没意思,0
他不在这,0
他正在开车哇,0
嗯，我认识唉,0
嗯，我晓得这个人，住我楼脚,0
认识啊，我是他同事,0
