label,split_text
1,你们报警吧
1,啊！这么多啊！
1,抱一抱，就当做从没借款2万
1,不对啊
1,打死我嘛
1,对不起，我不方便这么做
1,对不起，我不方便这么做啊
1,对不起，我不方便这么做按
1,对不起，我不方便这么做呗
1,对不起，我不方便这么做呀
1,高利贷吧
1,还不起你又能把我怎样
1,还个屁
1,还你妹
1,后年再说
1,后天
1,今天我还不了
1,开玩笑
1,可以不还吗
1,可以用其他东西抵押不
1,宽容宽容哈～
0,老板拖欠N个月工资，后天就发了，肯定还！
1,没办法
1,没得什么好说的
1,没空
1,没能力
1,没求得钱啥，你是不是傻
1,没求得钱啥，你是不是傻，没意思
1,没求得钱啥，你是不是傻阿
1,没求得钱啥，你是不是傻哈
1,没求得钱啥，你是不是傻哈哈哈
1,没求得钱啥，你是不是傻哇
1,没时间
1,美女，帮帮忙楼
1,你帮我处理
1,你急啥啊
1,你没事吧
1,你们搞这个也太黑了，利息好高
1,你们简直是高利贷哦，没意思
1,你们简直是高利贷哦阿
1,你们简直是高利贷哦哈
1,你们简直是高利贷哦没意思
1,你们简直是高利贷哦呢
1,你们是高利贷哦，这么多利息
1,你弄好了再说
1,你说的是2万越南盾哇？
1,你提前联系我
1,你要是还要这么高
1,你又在开玩笑了，我像是有钱的人吗？
1,凭本事借的为什么要还，你爱起诉起诉，爱上门上门
1,钱钱都舍不得
1,钱钱钱，命相连了
1,全都免了？
1,如果我不还呢？
1,三天内可能不得行
0,三天时间太短了，多给我三天肯定能处理
1,神经病没5天能还？
1,天天催啥子嘛！没得钱还！
1,为啥要还
1,为什么你们要逼我，没意思
1,为什么你们要逼我嗯
1,为什么你们要逼我没意思
1,为什么你们要逼我呢
1,为什么你们要逼我者
1,我不还你们打算怎么办
1,我不确定
1,我后来才晓得你们是高利贷
1,我难得还了
1,我有钱的时候，你干嘛不给我打电话
1,我有钱还的时候你杂不说
1,我又不止借了你们一家公司
1,兄弟，你太天真了
1,需要承担什么责任么
1,要不你报警抓我吧
1,要钱没有，要命一条
1,优惠力度那么小，算了
1,早干嘛去了
1,这个保证不了
1,这明显是不可能的
1,这样是没有意义的，没意思
1,这样是没有意义的阿
1,这样是没有意义的嗯
1,这样是没有意义的了
1,这样是没有意义的没意思
1,这样有意思吗
1,这样有意义吗
1,做梦去吧。
1,明年说
1,不要急
1,不要闹
1,烦死了，天天催！催命啊
1,你催什么催啊
1,你打我啊
