text,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
我 多少 还 多少,109,1,0,0,1,1,1
今天天气 很 好哇,109,0,0,0,0,0,0
今天天气 好 安逸,109,0,0,0,0,0,0
你 怎么 不去 问 他 认 不 认识 我 啊 ？,109,0,0,1,0,0,0
二货,109,0,0,0,0,0,0
有完没完 呢,109,0,0,0,0,0,0
大大 大大 后天 天气 很 好,109,0,0,0,0,0,0
再说,109,0,0,0,0,0,0
最少 还 多少,109,1,0,0,1,0,1
坐牢 了,109,0,0,0,0,1,0
哼哼 嗯,109,0,0,0,0,0,0
要钱 没有   要命 一条,109,1,0,0,1,1,1
假 的,109,0,0,0,0,0,0
水 胀满 了,109,0,0,0,0,0,0
过去 了,109,0,0,0,0,0,0
你 不 知道 我认 不 认识   你 打 我 电话 干嘛,109,0,0,0,0,0,0
让 我 想起 你,109,0,0,0,0,0,0
你 发工资 了 没有,109,0,0,0,0,0,0
你 猜猜看,109,0,0,0,0,0,0
哎呀   滚远点   不要 打 了,109,0,0,0,0,0,0
你 猜 我 是不是 呀 啊,109,0,0,0,0,0,0
一边 呆 着,109,0,0,0,0,0,0
你 是不是 吃饱 了 没事干,109,0,0,0,0,0,0
跟 你 去 到 遥远 的 梦里,109,0,0,0,0,0,0
算了   我 可以 请 你 吃饭,109,0,0,0,0,1,0
把 电视 关 了,109,0,0,0,0,0,0
杨颖   咋 是 你 呢 ？,109,0,0,0,0,0,0
爱 了 月光,109,0,0,0,0,0,0
吃 了 吗,109,0,0,0,0,0,0
可是 一粒 粮食 是 父母 的 希望 啊,109,0,0,0,0,0,0
你 语文 老师 谁 教 的 ？ 听不懂 人话 吗 ？,109,0,0,0,0,0,0
我 没有 义务 告知 你,109,0,0,0,0,0,0
听不懂,109,0,0,0,0,1,0
对不起   我 不 方便 这么 做,109,1,0,0,1,1,1
哼哼 哈哈哈,109,0,0,0,0,0,0
你 猜 我 是不是 呀 哈,109,0,0,0,0,0,0
去 一班 玩去,109,0,0,0,0,0,0
脑子 有病 吧 哇,109,0,0,1,0,0,0
不 知道   你 哪里,109,0,0,0,0,1,0
你 说 什么   你 再 敢 说 一次   看 我 弄死 你 不,109,0,0,0,0,0,0
你 是不是 有病 呀 嗯,109,0,0,0,0,0,0
三天 内 可能 不得 行,109,1,0,0,1,0,1
请 说 普通话,109,0,0,0,0,0,0
没 求得 钱 啥   你 是不是 傻哈,109,1,0,0,1,1,1
山体 滑坡,109,0,0,0,0,0,0
你 听 我 声音 像不像 呢 ？,109,0,0,0,0,0,0
别理 我烦 着 呢,109,0,0,0,0,0,0
没 时间,109,1,0,0,1,1,1
我 在 看 世界杯,109,0,0,0,0,0,0
这 是 我 的 电话,109,0,1,0,0,0,0
你 管 我 是不是 没意思,109,0,0,0,0,0,0
你 一天 挣 多少,109,0,0,0,0,0,0
你 没事 吧,109,1,1,0,0,1,1
不要 和 你 沟通,109,0,0,0,0,0,0
凉风 有信 没意思,109,0,0,0,0,0,0
天气 不好   没法 去 银行,109,1,0,0,1,0,1
神经病,109,0,0,0,0,0,0
恼火,109,0,0,0,0,0,0
我 没 心情,109,0,0,0,0,0,0
今天天气 好 啊,109,0,0,0,0,0,0
你 吃 了 吗,109,0,0,0,0,0,0
气氛 开始 有 一点 尴尬,109,0,0,0,0,0,0
脑残,109,0,0,1,0,0,0
小妹   你 好久 去 的 你们 公司 哦   我 劝 你 还是 赶紧 离职 哦   别 被 骗 了,109,0,0,0,0,0,0
过来 坐下 不嘛,109,0,0,0,0,0,0
你 说 拨打 的 用户   无法 接听 你 的 电话,109,0,0,0,0,0,0
你 管 我 谁,109,0,0,0,0,0,0
欲说还休     依稀 新词 强说 愁,109,0,0,0,0,0,0
不好意思   我 没 兴趣,109,0,0,0,0,0,0
今天 晚上 不 吃饭,109,0,0,0,0,0,0
你 管 我 是不是 哈哈哈,109,0,0,0,0,0,0
忘记 还款,109,0,0,0,0,1,0
时间 太快 了,109,0,0,0,0,0,0
认识 他 或 不 认识 他 又 什么 区别,109,0,0,0,0,0,0
好 冷,109,0,0,0,0,0,0
你 工作 咋样 ？,109,0,0,0,0,0,0
你晓不 晓得   听到 你 的 声音 我 就 想 打 干呕,109,0,0,0,0,0,0
我 是 最帅 的,109,0,0,0,0,0,0
我 父母 过世 了,109,0,0,0,0,1,0
哼,109,0,0,0,0,0,0
哈哈   你好 搞笑,109,0,0,0,0,0,0
会 不会 改变 模样,109,0,0,0,0,0,0
搞 不醒活 。 （ 不 知道 的 意思 ）,109,0,0,0,0,0,0
你 都 打 过来 了 还 问 是不是,109,0,1,0,0,0,0
啊   五环   你 比 四环 多一环,109,0,0,0,0,0,0
一杯 敬 朝阳   一环敬 月光 呢,109,0,0,0,0,0,0
为什么 你们 要 逼 我者,109,1,0,0,1,0,1
阿拉 小得 了,109,0,0,0,0,0,0
别 打 了 烦死 了,109,0,0,0,0,0,0
一壶 好 酒,109,0,0,0,0,0,0
你 吃饭 了 吗 ； w,109,0,0,0,0,0,0
死得 帮翠,109,0,0,0,0,0,0
