文本,类别
我在等结账,故意岔开话题
孩子在医院,故意岔开话题
我之前进去了,故意岔开话题
处理不了我先还别家了！,故意岔开话题
好人一生平安,故意岔开话题
从监狱刚出来的,故意岔开话题
多来点啥。,故意岔开话题
本金,故意岔开话题
在体现,故意岔开话题
漂亮,故意岔开话题
你咬我,故意岔开话题
好人有好报,故意岔开话题
再等我一分钟,故意岔开话题
你真是一个好人,故意岔开话题
孩子要读书,故意岔开话题
在帮你协商下吧,故意岔开话题
很紧张,故意岔开话题
我求求,故意岔开话题
利息都能免,故意岔开话题
快点来，都快收不了啦,故意岔开话题
高抬贵手,故意岔开话题
你是看不起我吗，还给我减免,故意岔开话题
哦哦，我看一下app,故意岔开话题
你找我也没用,故意岔开话题
言没钱,故意岔开话题
2小时之内,故意岔开话题
不要保险,故意岔开话题
哎,故意岔开话题
唉呀,故意岔开话题
在打就不接,故意岔开话题
明天没钱,故意岔开话题
我讲了多少次,故意岔开话题
好多人啊,故意岔开话题
没明白,故意岔开话题
疯了,故意岔开话题
这边是公安局办公电话,故意岔开话题
刚用新号,故意岔开话题
你不要给讲这些东西,故意岔开话题
找到给你发红包,故意岔开话题
不确定是不是你说的,故意岔开话题
你是不是有病,故意岔开话题
你一天要打多少边？,故意岔开话题
想想哦,故意岔开话题
我想一想,故意岔开话题
这手机是我捡的,故意岔开话题
这个号码我才换的,故意岔开话题
朋友都接了,故意岔开话题
再逼我，老子就还了,故意岔开话题
尽量快点,故意岔开话题
我生病了,故意岔开话题
家里人都联系不到,故意岔开话题
给你发点红包,故意岔开话题
身份证挂失还没拿来,故意岔开话题
小妹，帮帮忙楼,故意岔开话题
对公还款,故意岔开话题
我刚在看守所出来,故意岔开话题
那你今天自己打算怎么处理？,故意岔开话题
我身份证银行卡都丢了,故意岔开话题
你今天下午3点钟必须还XXX款,故意岔开话题
我吃了,故意岔开话题
你不是已经说过了吗肯定会还的,故意岔开话题
帅哥，帮帮忙楼,故意岔开话题
在办理离婚手续,故意岔开话题
我从拘留所刚出来,故意岔开话题
快活不下去了,故意岔开话题
昨天抢银行没成功,故意岔开话题
我在住院,故意岔开话题
朋友说借我,故意岔开话题
别人借我钱,故意岔开话题
哥是土豪，不差钱,故意岔开话题
我现在两手空空,故意岔开话题
哥不差钱,故意岔开话题
偷吗,故意岔开话题
我的七大姑八大姨天天追债，我已经山穷水尽了,故意岔开话题
我不差钱,故意岔开话题
已经有人联系过我了,故意岔开话题
你看我应该拿衣服还是裤子去抵押,故意岔开话题
已经好几天没吃饭了,故意岔开话题
忘记了,故意岔开话题
都是骗你的,故意岔开话题
在领工资,故意岔开话题
我不懂,故意岔开话题
我前一顿时间出车祸了,故意岔开话题
不是说了吗,故意岔开话题
你们干嘛给我爸联系,故意岔开话题
视屏吧，我看看你长啥样,故意岔开话题
混不起走了,故意岔开话题
他坐牢了,故意岔开话题
之前手机号不用了,故意岔开话题
万籁俱寂,故意岔开话题
回不去,故意岔开话题
套股票里了,故意岔开话题
你说拨打的用户，他人呢,故意岔开话题
老板跑了,故意岔开话题
我刚从拘留所出来,故意岔开话题
确认负责人,故意岔开话题
刚从牢里出来,故意岔开话题
你说拨打的用户，已经裸奔出服务区,故意岔开话题
之前有人骚扰，道歉就还,故意岔开话题
上个工作人员骂人,故意岔开话题
我在医院我母亲生病,故意岔开话题
我在新疆没回家,故意岔开话题
土豪,故意岔开话题
为什么骚扰我家人,故意岔开话题
我的银行卡被冻结了,故意岔开话题
我忘记了没处理！,故意岔开话题
我之前被抓了,故意岔开话题
你说拨打的用户，正在裸奔,故意岔开话题
放狗咬你,故意岔开话题
之前联系我的骂我了,故意岔开话题
我忘了,故意岔开话题
公司倒闭,故意岔开话题
逾期多久了,故意岔开话题
被人坑,故意岔开话题
哎呀，我忘了,故意岔开话题
我不知道朋友钱给不给我,故意岔开话题
父母生病了，花了好多钱,故意岔开话题
在路上,故意岔开话题
在卖车,故意岔开话题
你嗯呢给我道歉,故意岔开话题
确定可以处理吗？,故意岔开话题
进监狱了,故意岔开话题
诚意,故意岔开话题
你最近遇到什么事情了,故意岔开话题
在打官司,故意岔开话题
等他还了我就还,故意岔开话题
坐牢刚出来,故意岔开话题
家人生病,故意岔开话题
