文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
我在等结账,故意岔开话题,0,0,0,0,1,0
孩子在医院,故意岔开话题,0,0,0,0,1,0
我之前进去了,故意岔开话题,0,0,0,0,1,0
处理不了我先还别家了！,故意岔开话题,1,0,0,1,1,1
好人一生平安,故意岔开话题,0,0,0,0,0,0
从监狱刚出来的,故意岔开话题,0,0,0,0,1,0
多来点啥。,故意岔开话题,0,0,0,0,0,0
本金,故意岔开话题,1,0,0,1,1,1
在体现,故意岔开话题,0,0,0,0,0,0
漂亮,故意岔开话题,0,0,0,0,0,0
你咬我,故意岔开话题,0,0,0,0,0,0
好人有好报,故意岔开话题,1,0,0,1,0,0
你真是一个好人,故意岔开话题,1,0,0,1,0,0
孩子要读书,故意岔开话题,0,0,0,0,1,0
很紧张,故意岔开话题,0,0,0,0,1,0
我求求,故意岔开话题,0,0,0,0,0,0
利息都能免,故意岔开话题,1,0,0,0,0,0
快点来，都快收不了啦,故意岔开话题,0,0,0,0,0,0
高抬贵手,故意岔开话题,0,0,0,0,0,0
你是看不起我吗，还给我减免,故意岔开话题,0,0,0,0,0,0
哦哦，我看一下app,故意岔开话题,0,0,0,0,1,0
你找我也没用,故意岔开话题,0,1,1,0,1,0
言没钱,故意岔开话题,1,0,0,1,1,1
2小时之内,故意岔开话题,1,0,0,1,0,1
不要保险,故意岔开话题,0,0,0,0,0,0
哎,故意岔开话题,0,0,0,0,0,0
唉呀,故意岔开话题,0,0,0,0,0,0
在打就不接,故意岔开话题,0,1,1,0,0,0
明天没钱,故意岔开话题,1,0,0,1,0,1
我讲了多少次,故意岔开话题,0,0,0,0,0,0
好多人啊,故意岔开话题,0,0,0,0,0,0
疯了,故意岔开话题,0,0,0,0,0,0
这边是公安局办公电话,故意岔开话题,0,0,0,0,0,0
刚用新号,故意岔开话题,0,1,1,0,0,0
你不要给讲这些东西,故意岔开话题,1,0,0,1,1,1
找到给你发红包,故意岔开话题,0,0,0,0,0,0
不确定是不是你说的,故意岔开话题,0,0,1,0,0,0
你是不是有病,故意岔开话题,0,0,0,0,0,0
你一天要打多少边？,故意岔开话题,0,0,1,0,0,0
想想哦,故意岔开话题,1,0,0,1,1,1
我想一想,故意岔开话题,1,0,0,1,1,1
这手机是我捡的,故意岔开话题,0,1,1,0,0,0
这个号码我才换的,故意岔开话题,0,1,1,0,0,0
