label,old_label,classifier,split_text
0,0.0,IfKnowDebtor,嗯 认识 有 什么 事 么 ？
1,1.0,IfKnowDebtor,怎么 可能 有人 起 这种 名字 呢   太 难听 了   没意思
0,0.0,IfKnowDebtor,找 不到
0,0.0,IfKnowDebtor,她 是 我姨爹
0,0.0,IfKnowDebtor,是 他 爱人
1,1.0,IfKnowDebtor,不 记得 了
0,1.0,IfKnowDebtor,我 不是   有 什么 事 我 可以 转告
0,0.0,IfKnowDebtor,我 是 他 姥姥
0,0.0,IfKnowDebtor,我 是 他 邻居
0,0.0,IfKnowDebtor,她 是 我 的 前女友
1,1.0,IfKnowDebtor,不 认识 ！
1,1.0,IfKnowDebtor,不 知道 啊
0,0.0,IfKnowDebtor,他 手机号 送 我 了   有事 ？
0,0.0,IfKnowDebtor,找 他 什么 事
0,0.0,IfKnowDebtor,恩 我 认识
1,1.0,IfKnowDebtor,没 印象
0,0.0,IfKnowDebtor,和 他 父母 说 一下
0,1.0,IfKnowDebtor,联系方式 都 拉 黑 了
0,0.0,IfKnowDebtor,我 是 他 家人
1,1.0,IfKnowDebtor,但愿 我能 结交到 拥有 这样 美好 名字 的 人
0,0.0,IfKnowDebtor,她 是 我 的 同窗
1,1.0,IfKnowDebtor,没有 联系
0,0.0,IfKnowDebtor,她 是 我 姑姑
0,1.0,IfKnowDebtor,转告 不了
0,0.0,IfKnowDebtor,嗯 ？
1,1.0,IfKnowDebtor,我 不 清楚 你 说 的 谁
0,0.0,IfKnowDebtor,她 是 我 邻居
0,0.0,IfKnowDebtor,恩   我 认识
0,0.0,IfKnowDebtor,我们 是 同事 关系
1,1.0,IfKnowDebtor,再 打 我 投诉 了
1,1.0,IfKnowDebtor,我 没 听 过 这个 名字
1,1.0,IfKnowDebtor,名字 太 难听 了
0,0.0,IfKnowDebtor,他 生病 了
0,0.0,IfKnowDebtor,认识 啊   我 是 他 同学
0,0.0,IfKnowDebtor,俺 是 他 爸
1,1.0,IfKnowDebtor,他 是 谁 ？
0,0.0,IfKnowDebtor,他 是 我 同学
0,0.0,IfKnowDebtor,他 是 我 的 奶奶
0,0.0,IfKnowDebtor,他 是 我 的 朋友
0,0.0,IfKnowDebtor,我 现在 来 联系 他
0,0.0,IfKnowDebtor,我 是 他 的 朋友
0,0.0,IfKnowDebtor,我 是 她 朋友
1,1.0,IfKnowDebtor,都 给 你 说 了   别 再 打 了   你 听不懂 吗 ？
0,0.0,IfKnowDebtor,那 是 我 姐姐
1,0.0,IfKnowDebtor,死 了
1,1.0,IfKnowDebtor,不 认识   我 这 台湾 你 看清楚 号码
0,0.0,IfKnowDebtor,已经 转告 了
0,0.0,IfKnowDebtor,找 他 什么 事
0,0.0,IfKnowDebtor,有 印象   没聊 过 。
0,0.0,IfKnowDebtor,她 是 我 的 爷爷
1,1.0,IfKnowDebtor,听 都 没 听 过
0,0.0,IfKnowDebtor,他 是 我 的 亲戚
0,0.0,IfKnowDebtor,我 是 他 的 大爷
0,0.0,IfKnowDebtor,他 不 在 这边
1,1.0,IfKnowDebtor,不 懂 你 说 什么   不 认识
0,0.0,IfKnowDebtor,恩 怎么 了
1,1.0,IfKnowDebtor,认求 不到 哦 哈哈哈
0,0.0,IfKnowDebtor,我 可以 帮 你 转告
1,1.0,IfKnowDebtor,我 真的 不 认识
1,1.0,IfKnowDebtor,不 认识 再见
1,1.0,IfKnowDebtor,我 是 王二麻
1,1.0,IfKnowDebtor,我 不 清楚
0,0.0,IfKnowDebtor,他 是 我 的 前男友
1,1.0,IfKnowDebtor,再 打电话 报警
0,0.0,IfKnowDebtor,认识   我 是 他 领导 。 有事 我 可以 传达
0,0.0,IfKnowDebtor,她 是 我 的 前男友
1,1.0,IfKnowDebtor,他 谁 啊
1,1.0,IfKnowDebtor,不 认识   你 他 妈 是 谁
0,0.0,IfKnowDebtor,他 是 我 二舅
0,0.0,IfKnowDebtor,我 是 他 的 妈妈
0,0.0,IfKnowDebtor,我 是 他 某某   会 转告
1,1.0,IfKnowDebtor,怎么 可能 有人 起 这 名字
0,0.0,IfKnowDebtor,现在 联系 不上
1,1.0,IfKnowDebtor,找错 人 了
0,0.0,IfKnowDebtor,他 去 外地 了   找 他 什么 事情 ？
1,1.0,IfKnowDebtor,这个 号码 我 才 换 的
0,0.0,IfKnowDebtor,他 回家 去 了
1,1.0,IfKnowDebtor,别打我 电话
0,0.0,IfKnowDebtor,现在 没有 联系 了
1,1.0,IfKnowDebtor,俺 不 晓得 呢
0,0.0,IfKnowDebtor,我 认识 他   但是 很久 不 联系 了
0,0.0,IfKnowDebtor,已经 有人 联系 过 我 了
1,1.0,IfKnowDebtor,我 身边 没有 人 认识   你 在 问下 别人 吧 。
0,0.0,IfKnowDebtor,晓得   没意思
0,0.0,IfKnowDebtor,他 坐牢 去 了
1,1.0,IfKnowDebtor,哈哈   打错 了
0,0.0,IfKnowDebtor,她 是 我 同窗
0,0.0,IfKnowDebtor,我 是 她 的 妈妈
0,0.0,IfKnowDebtor,你好 我 是 他 朋友
0,0.0,IfKnowDebtor,好久 以前 的 朋友 。
0,0.0,IfKnowDebtor,大学 同学   很久 不 联系 了 。
0,0.0,IfKnowDebtor,嗯   我们 是 xxx
0,0.0,IfKnowDebtor,认识   你 谁 啊 ？
0,0.0,IfKnowDebtor,我 和 他 是 朋友
0,0.0,IfKnowDebtor,认识 啊   他 是 我 一个 客户   怎么 了
0,0.0,IfKnowDebtor,有 朋友
0,0.0,IfKnowDebtor,我 是 他 舅舅
