from,label,original_label,original_text,,
说出目的,2,101,我不是，你有啥事情？我帮你找他,2,1
请求等下打来,2,104,你好，我在忙,2,
故意岔开话题,2,109,啊？,103,
IDClassifier,1,,不认识,-1,
故意岔开话题,2,109,我是喜欢你,2,
IDClassifier,1,,我听不懂,1,
IDClassifier,0,,我有事你赶紧说,101,1
说出目的,2,101,嗯，咋了,0,
IDClassifier,1,,错号，不认识。,1,
IDClassifier,0,,我正在开车，一会联系,104,
IDClassifier,1,,你他妈，有病啊，天天打我电话,1,
IDClassifier,1,,他的事你直接去找他，别找我,1,
IDClassifier,1,,你怎么不去问他认不认识我啊？,1,
回问身份,2,107,你是哪位？,107,
IDClassifier,0,,哦哦，我看一下app,109,
IDClassifier,0,,你找我也没用,109,
请求等下打来,2,104,我在忙，,2,
请求等下打来,2,104,开车,2,
IDClassifier,1,,我是李四,1,
IDClassifier,1,,有病啊，找谁啊，挂机,1,
IDClassifier,1,,我是二大爷,1,
请求等下打来,2,104,开车,2,
IDClassifier,0,,知道你是来催钱的老子没钱,0,
说出目的,2,101,有什么事直说,2,
说出目的,2,101,啊？,2,
IDClassifier,1,,不是，你怎么有我电话的？,107,
IDClassifier,1,,再见,1,
IDClassifier,0,,yes,0,
回问身份,2,107,我这显示你这个号码是推销号码喃,2,
故意岔开话题,2,109,可惜不是你,2,
故意岔开话题,2,109,我都已经说了不认识了,1,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,我在路上,2,
说出目的,2,101,你找我干嘛,2,
IDClassifier,1,,你是不是有病啊,1,
故意岔开话题,2,109,别打我电话，烦不烦？,1,
说出目的,2,101,什么事,2,
IDClassifier,1,,言没钱,109,
IDClassifier,1,,不说,1,
IDClassifier,1,,再打投诉你,1,
IDClassifier,0,,2小时之内,109,1
故意岔开话题,2,109,撞人了,2,
IDClassifier,0,,你哪位,107,
IDClassifier,1,,能不能不要打我电话骚扰我，他管我什么事,1,
故意岔开话题,2,109,有,2,
故意岔开话题,2,109,三天时间太短了，多给我三天肯定能处理,-1,
故意岔开话题,2,109,你去找他呀,1,
请求等下打来,2,104,我在忙，过会联系,2,
IDClassifier,0,,怎么,101,
故意岔开话题,2,109,我不开心,2,
IDClassifier,1,,天天打电话给我，烦死了,1,
IDClassifier,1,,手机丢在这充电,1,
回问身份,2,107,嗯嗯，你谁啊,2,
故意岔开话题,2,109,不关我的事,1,
IDClassifier,1,,下次再打投诉你,1,
说出目的,2,101,找他有什么事,2,
IDClassifier,1,,不认识,-1,
IDClassifier,1,,那天处理不了，在等今天把,-1,
IDClassifier,1,,烦不烦,1,
IDClassifier,0,,你怎么有我的号码？,0,
请求等下打来,2,104,他在开会,2,
IDClassifier,0,,我现在有点忙，等会联系！,104,
说出目的,2,101,啥事啊,2,
IDClassifier,0,,我在开会等会联系,104,
说出目的,2,101,他怎么了,2,
IDClassifier,0,,有何贵干啊,101,
IDClassifier,1,,这人怎么了,1,
IDClassifier,0,,"我在开会, 有事等会说",104,
IDClassifier,0,,我没时间,104,
故意岔开话题,2,109,可能是我在做梦吧,2,
故意岔开话题,2,109,我看不清,2,
请求等下打来,2,104,下班联系,2,
IDClassifier,1,,没听说过,1,
IDClassifier,1,,这人是鬼吧，我可不认识,1,
说出目的,2,101,请问找他干嘛,2,
IDClassifier,1,,没有在,1,
故意岔开话题,2,109,哈哈，打错了,2,
IDClassifier,0,,是，你谁,0,
IDClassifier,0,,说什么事,101,
故意岔开话题,2,109,不在,1,
故意岔开话题,2,109,再见,1,
IDClassifier,1,,2小时之内不行,-1,
IDClassifier,1,,不要骚扰我,1,
说出目的,2,101,是的，有事吗,0,
故意岔开话题,2,109,我在水里,2,
IDClassifier,0,,OK,0,
故意岔开话题,2,109,我这里不是你要找的人,1,
故意岔开话题,2,109,没有人联系,2,
故意岔开话题,2,109,最近他有没有和你联系啊,2,
故意岔开话题,2,109,不说,1,
IDClassifier,1,,干嘛告诉你,1,
IDClassifier,1,,不认识,1,
回问身份,2,107,我是欠钱，但是只欠公司的钱，不欠一个随便打电话来的陌生人的钱,-1,
IDClassifier,1,,不是本人，有病小医生,1,
IDClassifier,1,,滚,1,
IDClassifier,0,,我好像不认识你,0,
IDClassifier,0,,有事说,101,
IDClassifier,1,,不认识,1,
请求等下打来,2,104,我在上班,2,
IDClassifier,1,,我会告诉她,1,
IDClassifier,0,,我在玩游戏,104,
说出目的,2,101,你找我撒,0,
故意岔开话题,2,109,你是不是打错了哦,1,
请求等下打来,2,104,我在上班,2,
请求等下打来,2,104,我在游泳,2,
IDClassifier,1,,没事找事,1,
故意岔开话题,2,109,没听他说过么～,2,
请求等下打来,2,104,正在开车,2,
IDClassifier,0,,囊个,101,
IDClassifier,0,,没事我挂了,0,
请求等下打来,2,104,我在睡觉太累了,2,
IDClassifier,0,,你这边有什么问题吗？,101,
IDClassifier,0,,有什么事,101,
IDClassifier,0,,什么事情,101,
故意岔开话题,2,109,我是大帅哥,2,
故意岔开话题,2,109,你说我是还是不是呢,2,
故意岔开话题,2,109,不晓得,1,
请求等下打来,2,104,我在忙,2,
故意岔开话题,2,109,出去 happy,2,
IDClassifier,1,,好久没联系了,1,
故意岔开话题,2,109,不知道,1,
IDClassifier,1,,走开,1,
故意岔开话题,2,109,我先唱一首歌吧,2,
故意岔开话题,2,109,认识与否，我就在这里，你还能那我咋地,2,
IDClassifier,0,,奥,0,
IDClassifier,1,,你有病啊,1,
故意岔开话题,2,109,少来烦我，有病啊,1,
IDClassifier,0,,你说,101,
IDClassifier,1,,你有病,1,
IDClassifier,1,,不好意思，,1,
故意岔开话题,2,109,明天朋友就换我钱了,-1,
故意岔开话题,2,109,能不能分期,-1,
请求等下打来,2,104,下班联系,2,
IDClassifier,1,,怎么又打电话,1,
故意岔开话题,2,109,你找他什么事,101,
请求等下打来,2,104,我在忙,2,
IDClassifier,1,,不认识,1,
回问身份,2,107,鬼大爷晓得你不是债务公司的人啊,2,
请求等下打来,2,104,后天说,2,
