split_text,label
可以吗？,0
这下不担心了，不拍还不起了。,0
可以嗯,0
太可以了,0
好好好要得哈哈哈,0
可以还了,0
可以,0
呀，嫩是好人呢,0
好,0
可以，谢谢侬,0
这个可以有,0
可以呀,0
谢谢，那我下周肯定能还上，没意思,0
好的,0
我觉得没问题吧,0
好好好要得者,0
好的，那就没得问题老,0
能减免利息就没问题了,0
还可以这样子啊，没问题,0
我同意,0
也要花蕊绽放,2
好好,0
如果能减免利息我就还钱,0
没有问题了，不可以也可以了。,0
"我同意,这样子我就还的起了，谢谢你嗯",0
那要得嘛哈哈哈,0
谢了，真好,0
这样还行,0
呀，嫩真好呀,0
要的,2
知道了,2
阿拉小得了,2
这样就好办了晒,0
非常好,0
这个没问题，没意思,0
可以啊,0
那敢情好了,0
这样的话没问题啦,0
好的，那就没得问题老，我待会就去汇款,0
早就嘛，我早就可以还给你们了,0
这样子我就还的起了,0
谁在乎蝴蝶的匆忙,2
可以可以,0
什么时候减免利息我就什么时候还钱,0
不等明天了，现在就可以了。,0
这样的话没问题嗯,0
能减免利息我就可以还了,0
那敢情好哈哈哈,0
这就对了，有钱还了,0
可以的啊,0
呀，谢谢嫩,0
没问题,0
阿拉小得了，谢谢,0
这样的话没问题,0
要得,2
"我同意,这样子我就还的起了，谢谢你，没意思",0
这下就可以还了,0
"我同意,这样子我就还的起了，谢谢你呢",0
那敢情好唉,0
好的，那就没得问题了，我待会就去汇款,0
可以，你太好了,0
要得要得,2
谢谢你,0
害怕这美丽的瞬间遗忘,2
OKOK,0
那好啊,0
有问题？不存在了。不好意思，太麻烦你了。,0
谢谢，那我下周肯定能还上哈,0
这样的话没问题没意思,0
还嘛,0
感谢,0
早该,0
这个时间还可以,0
不能再减少点么？,0
阿拉小得了，谢谢你,0
这样子我马上想办法,0
好好好要得，没意思,0
这个没问题呢,0
谢谢，那我下周肯定能还上啦,0
好的，那就没得问题了，我待会就去汇钱,0
这样的话我明天就还,0
 这样的话没问题,0
把你印上我的翅膀,2
那感情好,0
肯定可以了。,0
这样的话我明天就还嗯,0
可以没意思,2
还钱还是可以耍哈,0
这么说定了,0
唷，谢谢嫩,0
没问题a,0
嗯，早该这样我就还了,0
你怎么不早说？,0
阿拉小得了，谢啦,0
我明天就还你哈,0
可以阿,0
这样的话我等下就还,0
可以吧,0
"我同意,这样子我就还的起了，谢谢你乎",0
这个方案可以接受,0
真的太好了，我一定在X天内还,0
非常感谢，我马上就可以还,0
谢谢，那我下周肯定能还上,0
下一秒的时间,0
没啥不可以的了。,0
那要得嘛嗯,0
"我同意,这样子我就还的起了，谢谢你哈哈哈",0
利息都能免,0
哟，谢谢嫩,0
下周吧,0
认真的告诉你们，这个请求我接受了,0
早说啊，我早就还了,0
阿拉小得了，听到了吧,0
这样我马上就处理,0
不错哟,0
这样的话我明天就还，没意思,0
我觉得没问题了,0
要的，我接受这个方案，我待会还钱,0
都这样了我不还还是个人吗,0
这样子我立马就可以还，你们帐号好多？,0
一切别来无恙,2
非常感谢,0
OK,0
可以吗？当然可以啦。,0
那敢情好嗯,0
可以，我马上就还,0
这样的话我明天就还没意思,0
再给我少点钱嘛，邛,0
那就这样,0
嗯，谢谢嫩,0
下周还,0
对于这么无理的要求，我也只能勉强接受了,0
那我再晚点还，还能再减点不？,1
阿拉小得了，没问题,0
我回款就先还你嘛,0
好吧,0
我觉得没问题阿,0
我能还上了,0
谢谢，那我下周肯定能还上阿,0
可以矣,0
太好了，我接受这个方案,0
真的太好了，我保证在X天内还,0
不是吧，这么安逸。,0
竟如此融洽,2
雨落的时候,2
太好了,0
帮大忙了，明天就去银行排队！,0
这个没问题嗯,0
我觉得没问题没意思,0
哈哈,2
这样就一定还,0
嗯，嫩真好,0
应该可以,0
早知道可以免利息，我就多借点了，明天就还你们,0
我考虑考虑,2
阿拉小得了，肯定还上,0
我有钱就第一时间给你打过来,0
明天还,0
那敢情好，没意思,0
谢谢,0
好好好要得啦,0
这样的话我明天就还了,0
太好老，这下子我就可以还得起钱了,0
太感谢了，我马上就还,0
那我月末就可以还,0
我情不自禁会为你牵挂,2
有一点彷徨,0
真的是万分感谢,0
这样我马上就还,0
不成问题了，要得要得。,0
好好好要得哈,0
这个没问题哈哈哈,0
真的？,0
挺好,0
哟，嫩真好,0
还得起,0
只要不影响征信，免了利息我就可以还了,0
嗯，好,0
阿拉小得了，明天还,0
我下周铁定还上,0
那要得嘛，没意思,0
后的，谢谢，我还的起,0
那要得嘛啦,0
这个没问题焉,0
那要得嘛,0
同意，下午你们就去账户收钱好了,0
什么时代,0
睡莲静立水中央,2
好，那我给你们转过来,0
问题解决了，就这样定了。,0
我觉得没问题嗯,0
谢谢，那我下周肯定能还上没意思,0
漂亮,0
可以哦,0
咦，嫩真好,0
还还,0
可以还的，这么点钱,0
应该可以吧,0
阿拉小得了，明天搞定,0
这样子我一定想法子给你筹上,0
你真棒,0
这样的话没问题，没意思,0
我能还了，谢谢,0
这样的话我明天就还吧,0
那要得嘛哇,0
太棒了，好的，我待会就还钱,0
好好好要得,0
行,0
早已经不想回家,0
会不会惊扰梦乡,2
什么利息，我没那么多钱,1
可以？再少点才可以。,1
但还是太多了哈,1
但是本金还是太多了，还不了,1
能不能再少点哈哈哈,1
没钱,1
还是不行,1
俺木有,1
还是膴钱,1
还是没钱还啊,1
还不起,1
可以再减点不？还不起哒,1
再减一点晒,1
还是不还,1
还可以再减免一些么阿,1
还是有点多,1
确实还不起了呢,1
能不能再少点阿,1
没减好多，我再看看嘛,1
减了利息欠款还是太多了,1
虽然少了，但是我还是莫得那么多钱。,1
但还是太多了,1
划落的万千情丝,2
我现在没钱,1
利息减了我也还不了,1
肯定不等行啥，还得再减点。,1
我实在没那么多钱，我还在住院嗯,1
我还是还不起啊,1
这个欠款还是太多了没意思,1
失业了,1
不行,1
俺米得,1
没钱还的，有钱还我也不会好你们借钱了,1
可以再减点不？先生,1
可以再给我申请减少点不嘛,1
还是没钱,1
再少点噻阿,1
能不能再少一点,1
我这个月肯定没钱啊,1
我实在没那么多钱，我老婆辞职了啊,1
减的额度不够哦,1
这个欠款还是太多了,1
你认为减免这点钱，我就会还吗,1
实在没那么多钱,1
我现在缺钱,1
我病都没钱看了，哪来钱换你们,1
不多么？还得少才成。,1
我实在没那么多钱，我老婆辞职了嗯,1
能再减一部分本金吗,1
我这个月肯定没钱哈哈哈,1
待职,1
还是挺多,1
俺拿不出来,1
啥呢,2
大家都是靠运气吃饭，你们就去找下一个倒霉鬼吧,2
有钱还谁不还啊,1
可以再减点不？女士,1
再给我优惠点了,1
不得还,1
我实在没那么多钱，我还在住院阿,1
再少一点,1
我实在没那么多钱，我还在住院呢,1
我这个月肯定没钱者,1
减免得太少了，接受不了,1
看来你是不想我还了,1
别太天真了,1
我还在住院,1
我现在手头紧张,1
再减一点,1
再通融一下，再和领导说说？,1
还可以再减免一些么嗯,1
能再有诚意一点吗,1
我实在没那么多钱，我老婆辞职了哈哈哈,1
太多了,1
不能再少啦,1
俺没发工资,1
没用,1
时间太紧了，还不起,1
有钱还谁想欠账啊,1
可以再减点不？小姐,1
折扣再大点嘛,1
全部减完差不多,1
能不能再少点，没意思,1
我现在还是没有这么多钱,1
再少点噻呢,1
还可以再减免一些么啊,1
减免得太少，还是太多，还不起,1
还可以再减免一些么,1
你是来搞笑的吗？少这么一点,1
老婆也辞职了,1
你把本金也给我减了吧,1
还可以，再，再少点？,1
我今天还不了嗯,1
但还是太多了没意思,1
