from,label,original_label,original_text,new_label,
IfKnowDebtor,0,,对呀,0,
IfKnowDebtor,0,,有毛病。你们自己打电话给他，,1,
IfKnowDebtor,1,,我是老人家，不认识,1,
故意岔开话题,2,109,我不认识你吧,2,
IfKnowDebtor,1,,你在逗我,1,
故意岔开话题,2,109,你们不认识啊,1,
IfKnowDebtor,0,,哪个哟哈哈哈,107,
故意岔开话题,2,109,不管我的事,1,
回问身份,2,107,名字呢,2,
故意岔开话题,2,109,你自己联系他,1,
IfKnowDebtor,1,,你不去问他认识我不？,1,
IfKnowDebtor,1,,啥子张三，你哪个,1,
IfKnowDebtor,1,,你搞错了哇,1,
IfKnowDebtor,1,,哈哈，打错了,1,
IfKnowDebtor,1,,在打就不接,109,
故意岔开话题,2,109,哼哼嗯,2,
IfKnowDebtor,1,,你就算打20个电话我也不认识,1,
回问身份,2,107,我不认识你,2,
IfKnowDebtor,1,,你们天天吃饱撑的啊，不都说过了吗,1,1
故意岔开话题,2,109,别烦我我知道,2,
故意岔开话题,2,109,老板拖欠N个月工资，后天就发了，肯定还！,2,
请求等下打来,2,104,他本人不在我帮你问一下吧,0,
IfKnowDebtor,1,,明天再说,104,
说出目的,2,101,他不在，你找他什么事情？,2,
IfKnowDebtor,1,,找不到人了,1,
IfKnowDebtor,0,,联系方式都拉黑了,1,
故意岔开话题,2,109,不认识,1,
故意岔开话题,2,109,麦子熟了,2,
IfKnowDebtor,1,,好几个人给我打电话问我是不是认识他他,1,
回问身份,2,107,谁啊,1,
IfKnowDebtor,0,,有,0,
IfKnowDebtor,1,,我这里不是你要找的人,1,
IfKnowDebtor,1,,啥子嘛，不认识,1,
请求重复,2,103,这名字没听清,2,
说出目的,2,101,怎么了,2,
IfKnowDebtor,1,,哪里人啊,1,
故意岔开话题,2,109,别烦我,2,
IfKnowDebtor,0,,断绝关系了,0,
故意岔开话题,2,109,别给我打电话了，我不认识他,1,
请求等下打来,2,104,今天不行，明天吧,2,
IfKnowDebtor,0,,断绝关系了,0,
IfKnowDebtor,1,,我认不到你说的那个人,2,
故意岔开话题,2,109,和我前女友差一个字,2,
请求等下打来,2,104,他在忙，你一会在打过来,2,
请求重复,2,103,你说的谁,2,
IfKnowDebtor,1,,这人是什么地方的,1,
IfKnowDebtor,1,,很多人找他,1,
IfKnowDebtor,0,,认识我在外地不知道情况或债在外地,0,
故意岔开话题,2,109,不认识,1,
回问身份,2,107,打错了,1,
故意岔开话题,2,109,自己找他,1,1
故意岔开话题,2,109,我也不知道,1,
IfKnowDebtor,0,,什么事？,101,
IfKnowDebtor,1,,你就算打10个电话我也不认识,1,
IfKnowDebtor,1,,早就消失了,1,
故意岔开话题,2,109,我不买房,2,
IfKnowDebtor,1,,你说的我不懂,1,
故意岔开话题,2,109,不认识,1,
IfKnowDebtor,1,,不懂你说什么，不认识,1,
故意岔开话题,2,109,有病,2,
IfKnowDebtor,1,,有空聊,1,
IfKnowDebtor,1,,是不是有病啊,1,
IfKnowDebtor,1,,我没空,1,
IfKnowDebtor,1,,管我鸟事,1,
IfKnowDebtor,1,,不知道啊,1,
IfKnowDebtor,1,,三天内可能不得行,-1,
IfKnowDebtor,1,,再打就报警了,1,
故意岔开话题,2,109,明天朋友就换我钱了,-1,
故意岔开话题,2,109,你找错人了,1,
IfKnowDebtor,1,,谢谢，不需要,1,
故意岔开话题,2,109,不认识,1,
IfKnowDebtor,1,,不要再打了,1,
故意岔开话题,2,109,答对有奖励,2,
IfKnowDebtor,0,,我哥,0,
