split_text,label
金额太吓人了，一时半会办事还不了哦，这个数就不能少点吗？,2
如果我还清本金，可否减免利息和滞纳金？,2
这么多，能优惠一点吗,2
能不能分期还？,2
我实在没那么多钱，能先还一部分吗,2
可以打个折吗？,2
我只能凑一部分，目前还不了这么多，可以吗？,2
我可以再分期还不？,2
真的没钱啊，要不这样，你帮我申请少还一点，可以的话，我就还,2
我还不完,2
是什么原因没还你心里没点数吗,2
这么多啊？能不能优惠点，现在经济困难啊。,2
钱有点多，超过我的能力了，可不可以少点嘛？,2
利息能免了吗,2
利息太高了，能不能减免部分？,2
之前工作太忙忘了时间，能免滞纳金不？我马上就还,2
我现在资金周转有点问题，你看能不能给我点优惠啊，我都是你们的老顾客了,2
可以先少还点吗？,2
这个时间正好我有一笔钱要到账，到了就还你们,0
知道了,0
好的，马上给你打过去,0
好的，马上去还,0
好的，没问题，我这次一定注意时间,0
过两天就还,0
"ok,no problem",0
嗯，好,0
行行行，我会还的，这样总可以了吧,0
可以嘛,0
X号是吧，没问题,0
谢谢提醒了，等我下班，我就去弄。,0
嗯，今明两天我抽时间去还了；,0
还钱是不可能的，这辈子都不可能,0
我保证X号之前还清,0
好的没问题,0
还倒是能还，不过要推迟几天，我手上有点棘手的事情要处理，处理完我就还,0
哦，我马上就准备要还的,0
没得那么多钱啊,1
我最近打牌输的有点多，过两天手气好了就还,1
我现在没这么多钱，需要等两天,1
现在没有钱，过几天行不行？,1
我最近资金有点紧张，麻烦宽限几日,1
还不了，没钱了,1
这几天不行,1
我最近忙，忘记了,1
我是真还不了，能还我就还了,1
等几天,1
我没得钱哪们还,1
这么急怕是还不了哦。,1
现在手头紧，没得那么多钱，要等下子,1
我明天不能还,1
我办不到啊,1
我现在没有那么多钱，等几天再还,1
我现在急着赶飞机，等我空了在说。,1
我晓得，我有钱了马上就还，现在手头有点紧张,1
已经说了没得那么多钱了，你烦不烦啊,1
一直没赢钱，哪来的钱还，我总不能去抢钱啊,1
刚才说了没钱都嘛，先还一部分可以不？,1
真的没钱,1
我都说了资金紧张，还不了,1
滞纳金太多了，不想还了,1
给你说了，要缓一阵，怎么说不听呢,1
我都说了，我忙，忘记了,1
我说了我都把钱给孩子看病了,1
等几个月,1
不还会咋样,1
你再要求我也没钱，不能逼我去抢吧？,1
给你说了，手头紧，没得钱，等下,1
x号之前还不了，继续欠下去吧,1
要钱没有，要命一条,1
我不是说了等几天再还嘛？等几天,1
跟你说我现在没时间,1
哎呀，我又不是不还，跟你说了有钱马上就会还你们啊,1
"你是SB,白痴，二百五吗？听不懂人话是不是？说了没钱还一直问，还你妹啊",1
催催催，把我逼死了，你们屁也没得,1
你语文老师谁教的？听不懂人话吗？,1
我靠，都说了，现在没钱，过几天还,1
要我怎么说你才能明白,1
妈妈生病花了好多钱，现在没法还了,1
你是不是有病，隔壁四医院看看,1
你是不是傻逼，我忘记了，挂断电话,1
你们有完没完了，都说了还不了，怎么想让我去抢银行啊,1
等几年,1
想让我还钱，等到下辈子吧,1
听不懂人话吗？说了没钱的，还打什么电话。,1
你听不懂人话哦？手头紧，不方便,1
不还会咋样,1
我今天还不了,1
你天天给我打电话也没用啊，我说了等几天，你听不懂人话蛮？,1
你听不懂人话吗，你脑子挖塌了，现在没空。,1
你催锤子啊，有钱老子不晓得还嘛，紧到催，挂求了。,1
我正在吃饭，待会再说要的不?,3
马上进电梯了，没信号,3
什么，我在逛公园,3
你再说一次,3
请再说一遍,3
天气不错,3
马上就要起飞了，你过两小时打过来吧,3
我听不见，你大声点,3
手机要没电了，你一会儿再打过来吧,3
停不到,3
你说什么，我听不清楚,3
哇，今天好像要下暴雨。,3
听不清楚，在动车上，好吵闹,3
真的吗,3
对不起，你拨打的号码不想接听你的电话,3
你说啥？我信号不好，等会儿给你回过去,3
暴风雨就要来了，我要先考虑我的安全问题,3
喂，喂，喂，我这边信号不好，等下再打过来。,3
