original_text,from,original_label,split_text
麻烦给我发个短信呢,其它通讯方式,105,麻烦 给我发 个 短信 呢
我们微信聊,其它通讯方式,105,我们 微信 聊
你有微信不？,其它通讯方式,105,你 有 微信 不 ？
加我微信吧,其它通讯方式,105,加 我 微信 吧
加微信吧,其它通讯方式,105,加微信 吧
加我微信,其它通讯方式,105,加 我 微信
我们见面仔细聊吧,其它通讯方式,105,我们 见面 仔细 聊 吧
发我邮箱,其它通讯方式,105,发 我 邮箱
加我Q,其它通讯方式,105,加 我 Q
你给我发到邮箱吧,其它通讯方式,105,你 给我发 到 邮箱 吧
加我qq,其它通讯方式,105,加 我 qq
不太方便，要不你加我 QQ 吧,其它通讯方式,105,不太 方便   要 不 你 加 我 QQ 吧
你有没有叮叮,其它通讯方式,109,你 有没有 叮叮
你好久空，我们面谈,其它通讯方式,105,你 好久 空   我们 面谈
你加我微信吧,其它通讯方式,105,你加 我 微信 吧
电话不方便得，价格微信说。,其它通讯方式,105,电话 不 方便 得   价格 微信 说 。
你把详情发我短信,其它通讯方式,105,你 把 详情 发 我 短信
你给我你的私人电话吧，我待会打给你聊,其它通讯方式,104,你 给 我 你 的 私人 电话 吧   我待会 打 给 你 聊
你给我发个短信,其它通讯方式,105,你 给我发 个 短信
加我QQ吧,其它通讯方式,105,加 我 QQ 吧
我们面谈吧,其它通讯方式,105,我们 面谈 吧
加我微,其它通讯方式,105,加 我 微
你把详细情况给我发到微信上吧,其它通讯方式,105,你 把 详细情况 给我发 到 微信 上 吧
你有微信么,其它通讯方式,105,你 有 微信 么
不太方便，要不你加我微信吧,其它通讯方式,105,不太 方便   要 不 你 加 我 微信 吧
Telegram好不好,其它通讯方式,105,Telegram 好不好
微信说,其它通讯方式,105,微信 说
还不起你又能把我怎样,其它通讯方式,110,还 不起 你 又 能 把 我 怎样
你加我QQ吧,其它通讯方式,105,你加 我 QQ 吧
咋们微信上说吧。,其它通讯方式,105,咋们 微信 上 说 吧 。
发我短信,其它通讯方式,105,发 我 短信
你打我另外这个电话，我们聊,其它通讯方式,105,你 打 我 另外 这个 电话   我们 聊
你有QQ不,其它通讯方式,105,你 有 QQ 不
加我飞信吧,其它通讯方式,105,加 我 飞信 吧
给我打短信,其它通讯方式,105,给 我 打 短信
加我谈谈,其它通讯方式,105,加 我 谈谈
我现在很忙，我们微信聊吧,其它通讯方式,105,我 现在 很 忙   我们 微信 聊 吧
加我企鹅号,其它通讯方式,105,加 我 企鹅 号
打我电话嘛,其它通讯方式,105,打 我 电话 嘛
加我微信，发给我,其它通讯方式,105,加 我 微信   发给 我
要不你加我QQ聊,其它通讯方式,105,要 不 你 加 我 QQ 聊
电话里面说不清，要不你加我 QQ,其它通讯方式,105,电话 里面 说不清   要 不 你 加 我 QQ
SKYPE有不有,其它通讯方式,105,SKYPE 有 不 有
qq说,其它通讯方式,105,qq 说
别加微信了，加了也没用,其它通讯方式,105,别加 微信 了   加 了 也 没用
我给你我的邮箱,其它通讯方式,105,我 给 你 我 的 邮箱
我微信给你，你加我下。,其它通讯方式,105,我 微信 给 你   你加 我 下 。
加我wechat吧,其它通讯方式,105,加 我 wechat 吧
你给我个QQ邮箱，我们发邮件说,其它通讯方式,105,你 给 我 个 QQ 邮箱   我们 发邮件 说
我在开会呢，先加我微信,其它通讯方式,105,我 在 开会 呢   先加 我 微信
加我陌陌,其它通讯方式,105,加 我 陌陌
我很忙，我加你微信吧,其它通讯方式,105,我 很 忙   我加 你 微信 吧
给我打电话,其它通讯方式,105,给 我 打电话
短信联系我吧,其它通讯方式,105,短信 联系 我 吧
你找我撒,其它通讯方式,101,你 找 我 撒
我这会不方便沟通，你加我qq,其它通讯方式,105,我 这会 不 方便 沟通   你加 我 qq
叮叮有没有,其它通讯方式,109,叮叮 有没有
电话里面说不清，要不你加我 QQ，我们在 QQ 里面聊,其它通讯方式,105,电话 里面 说不清   要 不 你 加 我 QQ   我们 在 QQ 里面 聊
要不你加我微信说,其它通讯方式,105,要 不 你 加 我 微信 说
微博上说,其它通讯方式,105,微博上 说
我直接电话联系你吧,其它通讯方式,105,我 直接 电话 联系 你 吧
我们skype上聊吧,其它通讯方式,105,我们 skype 上聊 吧
有什么事微信上说，电话不方便。,其它通讯方式,105,有 什么 事微 信上 说   电话 不 方便 。
你加我微信聊吧,其它通讯方式,105,你加 我 微信 聊 吧
加我whatsapp吧,其它通讯方式,105,加 我 whatsapp 吧
你们在成都哪里办公？,其它通讯方式,105,你们 在 成都 哪里 办公 ？
我们QQ聊,其它通讯方式,105,我们 QQ 聊
我在开车，你加我微信，等下聊,其它通讯方式,105,我 在 开车   你加 我 微信   等 下 聊
打我座机,其它通讯方式,105,打 我 座机
我加你QQ把,其它通讯方式,105,我加 你 QQ 把
给我发短信,其它通讯方式,105,给我发 短信
联系我爱人吧，手机号是**,其它通讯方式,105,联系 我 爱人 吧   手机号 是    
qq发给我吧,其它通讯方式,105,qq 发给 我 吧
电话里面说不清，要不你加我 QQ，我们在 QQ 里面聊这个事情,其它通讯方式,105,电话 里面 说不清   要 不 你 加 我 QQ   我们 在 QQ 里面 聊 这个 事情
加微信,其它通讯方式,105,加微信
你住哪儿，我下班来找你,其它通讯方式,105,你 住 哪儿   我 下班 来 找 你
我们约个时间面谈,其它通讯方式,105,我们 约个 时间 面谈
我们微信上沟通,其它通讯方式,105,我们 微信 上 沟通
电话说了我也记不住啊，加个微信吧。,其它通讯方式,105,电话 说 了 我 也 记不住 啊   加个 微信 吧 。
你们有办公地点么？我空了过去说,其它通讯方式,105,你们 有 办公 地点 么 ？ 我空 了 过去 说
我们飞信聊,其它通讯方式,105,我们 飞信 聊
你在微信上把详细的发给我,其它通讯方式,105,你 在 微信 上 把 详细 的 发给 我
打我另一个号码,其它通讯方式,105,打 我 另 一个 号码
你把所有信息通过微信发给我把,其它通讯方式,105,你 把 所有 信息 通过 微信 发给 我 把
你打我另外个电话,其它通讯方式,105,你 打 我 另外 个 电话
联系我助理吧,其它通讯方式,105,联系 我 助理 吧
聊一下,其它通讯方式,105,聊 一下
你发我一个短信，把计算公式和详情发过来一下,其它通讯方式,105,你 发 我 一个 短信   把 计算公式 和 详情 发过来 一下
电话里面说不清，要不你加我 QQ，我们在 QQ 里面聊这个事情，方便些,其它通讯方式,105,电话 里面 说不清   要 不 你 加 我 QQ   我们 在 QQ 里面 聊 这个 事情   方便 些
微信聊,其它通讯方式,105,微信 聊
你们公司在哪点，我过来,其它通讯方式,105,你们 公司 在 哪点   我 过来
我现在在外地出差,其它通讯方式,104,我 现在 在 外地 出差
回去QQ上和你说,其它通讯方式,105,回去 QQ 上 和 你 说
****，我的微信，加上说。,其它通讯方式,105,          我 的 微信   加上 说 。
你有百度帐号吗,其它通讯方式,105,你 有 百度 帐号 吗
加我米聊吧,其它通讯方式,105,加 我 米 聊 吧
加个微信，你给我发过来看看再说,其它通讯方式,105,加个 微信   你 给我发 过来 看看 再说
加我陌陌吧,其它通讯方式,105,加 我 陌陌 吧
你有Skype吗？,其它通讯方式,105,你 有 Skype 吗 ？
我们在qq上聊,其它通讯方式,105,我们 在 qq 上聊
我们约个地点面谈吧,其它通讯方式,105,我们 约个 地点 面谈 吧
微信上细聊,其它通讯方式,105,微信 上 细聊
联系我律师吧,其它通讯方式,105,联系 我 律师 吧
我想核对一下信息和金额，你微信给我,其它通讯方式,105,我 想 核对 一下 信息 和 金额   你 微信 给 我
电话里面说不清，要不你加我微信,其它通讯方式,105,电话 里面 说不清   要 不 你 加 我 微信
你们在哪里办公,其它通讯方式,105,你们 在 哪里 办公
等会我再联系你吧,其它通讯方式,104,等 会 我 再 联系 你 吧
你发邮件给我吧,其它通讯方式,105,你 发邮件 给 我 吧
有微信吗？,其它通讯方式,105,有 微信 吗 ？
要钱没有，要命一条,其它通讯方式,109,要钱 没有   要命 一条
你有没有微信呢？,其它通讯方式,105,你 有没有 微信 呢 ？
你们公司有座机么？,其它通讯方式,105,你们 公司 有 座机 么 ？
我们陌陌聊,其它通讯方式,105,我们 陌 陌聊
你打我座机,其它通讯方式,105,你 打 我 座机
微信好聊一点,其它通讯方式,105,微信 好 聊 一点
找个茶楼我们仔细聊一下,其它通讯方式,105,找个 茶楼 我们 仔细 聊 一下
你打我语音,其它通讯方式,105,你 打 我 语音
发我邮箱我看看,其它通讯方式,105,发 我 邮箱 我 看看
不晓得,其它通讯方式,110,不 晓得
微信拍个照片给我吧,其它通讯方式,105,微信 拍个 照片 给 我 吧
