label,split_text,classifier,new_label,
1,认不认识跟你有关系么,IfKnowDebtor,1,
1,哈哈，打错了,IfKnowDebtor,1,
1,不要打电话,IfKnowDebtor,1,
0,她在唱歌,IfKnowDebtor,0,
0,他高考去了，晚点再打来,IfKnowDebtor,0,
1,不要骚扰了,IfKnowDebtor,1,
0,有印象，没聊过。,IfKnowDebtor,0,
1,不要在打电话了,IfKnowDebtor,1,
0,不想说关于他的事,IfKnowDebtor,0,
0,她是我的姨爹,IfKnowDebtor,0,
1,不会是你搞错了哇,IfKnowDebtor,1,
1,我哪知道,IfKnowDebtor,1,
1,不认识！,IfKnowDebtor,1,
1,我这边没有这个人,IfKnowDebtor,1,
0,他现在不在,IfKnowDebtor,0,
0,只是见过一面，不熟,IfKnowDebtor,0,
1,听都没听过,IfKnowDebtor,1,
1,滚，别他么烦我！,IfKnowDebtor,1,
0,他没有上班,IfKnowDebtor,0,
1,不认识，你可以打给马蓉,IfKnowDebtor,1,
1,没听倒过。,IfKnowDebtor,1,
1,压根没听说过,IfKnowDebtor,1,
1,我不认识啊,IfKnowDebtor,1,
0,欠我钱不接电话,IfKnowDebtor,0,
0,嗯知道,IfKnowDebtor,0,
0,我是他XXX,IfKnowDebtor,0,
1,能不能别打我电话,IfKnowDebtor,1,
1,我身边没有人认识，你在问下别人吧。,IfKnowDebtor,1,
0,喝酒认识的，没联系,IfKnowDebtor,0,
0,同学,IfKnowDebtor,0,
1,你找别人问问,IfKnowDebtor,1,
0,他出去了,IfKnowDebtor,0,
0,我是她大爷,IfKnowDebtor,0,
1,有这样的人？,IfKnowDebtor,1,
0,认识，但是他已经死了几年了,IfKnowDebtor,0,？
0,嗯，你是谁，有什么事？,IfKnowDebtor,101,
0,她是我亲戚,IfKnowDebtor,0,
0,我是他的舅舅,IfKnowDebtor,0,
0,他欠很多钱跑掉了,IfKnowDebtor,0,
1,这么难听的名字也有人用啊,IfKnowDebtor,1,
0,她是我的爸,IfKnowDebtor,0,
0,联系不上,IfKnowDebtor,0,
0,断绝关系了,IfKnowDebtor,0,
1,你找这个人没印象,IfKnowDebtor,1,
1,我报警了,IfKnowDebtor,1,
0,嗯，我认识呢,IfKnowDebtor,0,
0,我给他说,IfKnowDebtor,0,
0,不联系了,IfKnowDebtor,0,
0,我是他的同窗,IfKnowDebtor,0,
1,这么垃圾的名字吗,IfKnowDebtor,1,
0,好久不联系，联系不到,IfKnowDebtor,0,
1,没办法,IfKnowDebtor,1,
0,他是我的前妻,IfKnowDebtor,0,
0,他手机落我这了。,IfKnowDebtor,0,
1,什么事，你打错了,IfKnowDebtor,1,
1,哪个哟，没意思,IfKnowDebtor,1,
1,他是哪个？,IfKnowDebtor,1,
1,没听过喃哈,IfKnowDebtor,1,
0,待会我让他回你呢,IfKnowDebtor,0,
1,我真不认识他,IfKnowDebtor,1,
1,脑子有病吧哈,IfKnowDebtor,1,
0,我是爱人,IfKnowDebtor,0,
0,他是我弟弟，你说什么事,IfKnowDebtor,0,
1,三天不行，我25号才发工资,IfKnowDebtor,1,
0,认识，我是他妈,IfKnowDebtor,0,
1,听都没听过这个名字，更不用说认识了,IfKnowDebtor,1,
0,他是我姨夫,IfKnowDebtor,0,
0,认识，你找他什么事,IfKnowDebtor,0,
0,听说过,IfKnowDebtor,0,
1,认求不到阿,IfKnowDebtor,1,
1,是不是有病啊,IfKnowDebtor,1,
0,我晓得这个人，我隔壁,IfKnowDebtor,0,
1,这个名字现在还有人在用,IfKnowDebtor,1,
1,发错了吧,IfKnowDebtor,1,
0,出事情被抓起来了,IfKnowDebtor,0,
1,不知道ta,IfKnowDebtor,1,
1,你们都打过几次电话了，不认识,IfKnowDebtor,1,
1,谁，不认识，你打错了,IfKnowDebtor,1,
1,不关我事,IfKnowDebtor,1,
0,他开会去了,IfKnowDebtor,0,
0,很久不联系了,IfKnowDebtor,0,
0,她是我的妈,IfKnowDebtor,0,
0,她是我舅,IfKnowDebtor,0,
0,他不在，什么事,IfKnowDebtor,0,
1,你有病啊,IfKnowDebtor,1,
0,我事他妈,IfKnowDebtor,0,
0,俺是他妹,IfKnowDebtor,0,
1,你烦不烦,IfKnowDebtor,1,
