label,split_text
0,可以
0,可以的
0,可以
0,可以
0,你打错了
0,月底之前搞定
0,没问题
0,留下两个紧急联系人的电话。
0,现在忙
0,我尽量
0,过两天就还
0,两天内，没问题
0,小事情
0,你打错了
0,礼拜一给你处理了
0,不一定吧
0,你是在等工资吗？
0,信号不好
0,马上处理
0,保证还款
0,肯定行
0,三天之内
0,你打错了
0,下午肯定处理
0,马上处理
0,那你是在等什么？
0,你加我微信
0,肯定行的
0,把账号给我马上去
0,下午就存
0,下午就能处理
0,你打错了
0,马上就还
0,可以的
0,这是我的电话
0,没能力
0,绝对没问题
0,没问题
0,发工资就还
0,晚上下班之前
0,你打错了
0,好的 明天肯定处理了
0,肯定行
0,到时候跟我打个电话
0,现在不方便
0,我到时会还的
0,应该可以
0,回来就还
0,不超过八点
0,你打错了
0,那我明天下午去银行处理
0,看情况吧
0,连个你的号码多少，我加你微信。
0,上打给我
0,准备好我会联系你的
0,知道了知道了
0,晚上就去处理
0,答应你的我一定会做到
0,你打错了
0,那我等下让朋友帮我处理
0,有钱一定处理
0,不用敷衍我
0,没工作
0,我尽快在这时间内处理
0,我会还的
0,让家里人去还
0,好的
0,你打错了
0,晚上处理给你截图
0,好的
0,好的，我知道了
0,生病了
0,我知道了
0,过几天就还
0,现在就处理
0,肯定行
0,你打错了
0,好的我马上app处理
0,放心吧
0,好的
0,马上
0,我想办法周转
0,有钱就还
0,现在就扣吧
0,马上处理
0,你打错了
0,我把钱存卡里你们直接扣
0,会处理好的
0,到那天再联系
0,不能
1,我没那么多钱，不行的
1,没办法啊
1,很紧张
1,时间太紧
1,你打错了
1,这个月还不了下个月可以
1,不一定吧
1,以后还的更多
1,不能
1,不可能，我还没发工资
1,没法工资
1,金额太多了
1,给我点时间
1,你打错了
1,时间太短了还不了
1,看情况吧
1,可以问朋友借
1,不行
1,我再想想吧
1,现在没钱
1,周转不过来
1,给我点时间我去借钱
1,你打错了
1,让我想想办法不一定能还
1,尽量快点
1,你上班了吗？
1,不好
1,我尽量吧
1,多给点时间啊
1,工资没发
1,一个星期可能处理不了
1,你打错了
1,肯定处理不了没钱现在
1,我想想办法
1,你爱人上班了吗？
1,得等
1,时间太短了
1,来不及
1,遇到事情困难
1,这个月处理不了
1,你打错了
1,那我问朋友借借看
1,金额较高
1,跟你家人借
1,我也不知道
1,可能还不了
1,借不到钱
1,老人住院了
1,估计要三五个月的
1,你打错了
1,看发不发工资再说
1,家里有事不一定
1,那你打算怎么处理？
1,不打清楚
1,没那么多啊
1,不一定的
1,孩子生病了
1,我现在没那么多钱
1,你打错了
1,不一定能借到钱处理
1,时间太短了
1,几天之内可以处理
1,真的不行
1,我还没工作，怎么办
1,时间太短抽不到钱
1,自己在工地，工资一年结一次
1,我去借看看
1,你打错了
1,我再看吧 尽量处理
1,可能处理不了
1,不用敷衍我
1,真的不能
1,时间太短了，还不上
1,这边没有银行
1,银行卡冻结了
1,这个金额太多
1,你打错了
1,还是有点高没那么多钱
1,借借看吧
1,为什么这样说？
1,还是不行
1,金额太多了，我得想办法
1,我在山里头来不及
1,不方便出去
1,我想想办法
1,你打错了
1,能不能再少点  我去借点处理
1,没办法
1,你感觉能逃避掉吗？
1,明天
2,我在忙，过会联系
2,过会联系你
2,我待会联系你
2,等会回你电话
2,你打错了
2,要是不确定回头再联系
2,等一会联系你的
2,确定可以处理吗？
2,说什么
2,回头我联系你
2,到时候再说吧
2,信号不好
2,等我一下
2,你打错了
2,月底前给你答复
2,信号不好
2,不用敷衍我
2,我挂了
2,我知道了，我想办法
2,明天再说
2,没听清
2,听不到
2,你打错了
2,不知道工资够不够到时候再说
2,我考虑考虑
2,提前打电话给你
2,有事
2,信号不好，听不见
2,现在在忙呢
2,说的快了
2,信号不好
2,你打错了
2,不一定到时候再说
2,听不清楚
2,我知道了
2,等等
2,我想办法看看
2,信号不好听不到
2,有可能处理
2,你说什么
2,你打错了
2,有点多没那么多钱
2,我忙了
2,嗯，好的
2,稍等
2,我尽量吧
2,等发工资再说吧
2,工资到了就发
2,等会打给我
2,你打错了
2,现在不方便一会再说
2,想办法尽量吧
2,到那天天不处理后果自负。
2,等12分钟
2,我等工资下来得
2,下周在确定
2,很快处理
2,明天打我电话
2,你打错了
2,我晚点跟你联系
2,我回家商量商量
2,我知道了
2,等我15分钟
2,我最近在老家
2,我不确定
2,家里回来就还
2,晚上跟我联系
2,你打错了
2,暂时不确定再说
2,忙好了再说吧
2,好的
2,等我18分钟
2,我现在有点忙
2,你说什么
2,钱到账就还
2,我在上班
2,你打错了
2,你说什么  听不清楚
2,有人来了，不方便
2,相信你
2,等我30分钟
2,过几天再联系吧
2,还没发工资
2,工资发齐就还
2,一会的
2,你打错了
2,等下给你回电
2,再说吧
2,可以把这个事情处理掉。
2,等我5分钟
