label,split_text
2,你 在 说 什么 ？
1,真高   哈哈哈
2,怎么样
2,听求 不到 ✖ ️ 9
1,我 想
2,是 的   怎么 了   我 出去 了
2,我 还有 事要 做   稍后 联系 我
2,你 说 得 太快 而且 不 清楚
0,应该 没有 问题
1,说实话   老子 是 个 穷人 。
2,听 不到 9 ️ 9
1,这 我 不能 做
2,我会 联系 你
1,再 多 给 我点 时间 嘛
1,时间 太仓促 了   来不及 筹备 那么 多钱
2,你 等 着 说
1,你 在 这么 短 的 时间 里 开玩笑 吧
0,可以
1,你 不 认真 吗 ？
1,最新 不好 。
2,我 听 不 清楚
2,你 能 打电话 给 我 吗 ？
1,我 可以 扩展 它 吗 ？
1,你 怎么 能 缩短 这么 短 的 时间 ？
2,我 想 问 我 的 亲戚   看看 我 能否 做到 。
2,你 说 什么 ？
0,绝对 没 问题
0,你 能
0,能够
0,良好
1,再 等 两个
0,莫 问题
0,追求
0,能够
1,我 手里 没有 钱 。
1,你 能 再 来 一天 吗 ？
0,好
2,等待 下 一次 联系
2,这 取决于 我 的 钱 的 撤回 。
2,哦   那么   我会 联系 你
0,能够
1,现在 手头紧
0,我 可以
1,那么 我 在 哪里 去 了 这么 短 的 时间 找到 这么 多钱 ？
0,下班 后 立即
2,等 下 我 给 你 打 回来 。
1,多 给 点 时间
1,凑 不齐 这么 多钱
1,没钱 啊
0,宽限 几天
1,时间 太短 了 。
2,等到 你 打架
2,不错 不错   我 都 欠 这么 多钱 了 啊
2,绝对
1,时间 太紧 而 无法 暂时 保存
2,该 说些 什么
2,噪音 太 大
0,是 的   等 着 走 吧
0,它 一定 是 几天 前
2,冷漠
2,我 现在 很 忙
0,好
1,有点 困难
2,想想看
0,保证 没有 问题
2,别的
2,也许
1,这 有点 困难
0,可能
0,好
1,你 的 时间 太短 了
2,我 不 知道 你 在 说 什么
1,无法 得到 它
0,晚上 钻卡 。
0,这 可能 是
2,我 现在 很忙 没 时间
0,好
2,你 稍后 会 打电话 给 我
2,你 稍后 会 打电话 给 我
0,是 的 没 问题
0,确定
2,考虑 下 一个
2,是 的   我会 在 想念 之后 与 你 联系 。
0,是 的   我 这 两天 就 筹钱
0,能够
0,好好 。
2,您 打电话 的 用户 很 忙   无法回答
2,你 讲 更 多
0,立即
0,可以
2,几天 ？
1,如果 你 仔细 想想   你 总是 可以 考虑一下 ： 数额 太高   以至于 买不起 。
1,时间 太短
1,还 没有   没有 钱
2,您 打电话 的 用户 很 忙   无法回答 。
2,等候
1,我 想 解决 它   但 我 必须 翻阅 它
2,我们 稍后 再谈 这个 。
0,好
2,等待
0,集
1,还 不了
0,我会 按时 偿还 我 的 钱
0,它 应该 是 可能 的
1,我 尽力而为
2,待会儿 再聊
1,太多 了   我 必须 考虑 如何
1,不   如何 减速 两天 ？
2,我 正在 开会
0,绝对 没有 问题
0,卡后 两天
2,听 不到
0,能够
1,没 钱
0,当 你 说 什么 时   你 不能 追逐 它 。 你 等 一下 。
0,立即 执行
1,太短
2,不 知道 你 在 说 什么
0,行
0,好 的   你 可以 在 两天 内 付款 。
1,不   我 买不起 这个 。
0,行
1,我 还 想 回报 现金流量 还 没有 推迟 三个 月 ？
0,明天 还清
1,不能
0,要 得   过 两天 还
0,立即
0,绝对 没 问题
2,啥
2,怎么办
1,缓慢 的 一天
1,我 可以 在 哪里 赚钱 ？
2,我换个 地方 接   你 等到
1,怕 是 悬
0,需要 一个月 才能 回来 。
1,再 给 它 两天 ？
2,当然
1,如果 返回 的 金额 太高   则 无法 退回 。
1,再 宽限 几天
0,okokokok
2,嘿   怎么 了   等等 ？
1,Inexerceness
0,等 下 一个
2,信号 不好
1,这 可能 会 随着 时间 的 推移
0,好 哦
0,好 没 问题
2,可能 吧
1,恐惧 是 困难 的
2,信号 不好   重新 打 ？
0,良好
1,如何 做到 这 一点 ？ 我 无法 改变 它   还有 另 一种 延迟 的 方法 吗 ？
1,略 估算
0,他 必须 准时
2,我 听 不 清楚
2,但 没有 必要
1,没有
