from,label,original_label,original_text
IfKnowDebtor,1,,不要打电话了
请求重复,2,103.0,我没有听清池
故意岔开话题,2,109.0,我不买房
IfKnowDebtor,0,,有事么
IfKnowDebtor,1,,有病吧你
IfKnowDebtor,1,,你是谁
IfKnowDebtor,0,,去世了
IfKnowDebtor,0,,有什么事么
IfKnowDebtor,0,,我在开车等一下
不愿配合,2,110.0,这个保证不了
IfKnowDebtor,0,,月中
IfKnowDebtor,0,,什么事
不愿配合,2,110.0,我应该认识他吗
IfKnowDebtor,0,,一个村子的
IfKnowDebtor,0,,三天内哈
说出目的,2,101.0,怎么啦
IfKnowDebtor,0,,什么事
IfKnowDebtor,1,,你烦不烦
IfKnowDebtor,0,,你自己找他
IfKnowDebtor,1,,你们什么意思
IfKnowDebtor,1,,你有什么事
IfKnowDebtor,0,,周末
故意岔开话题,2,109.0,谁在乎蝴蝶的匆忙
IfKnowDebtor,1,,不要烦我，再联系我就投诉你
IfKnowDebtor,1,,不是很熟，有什么事
IfKnowDebtor,0,,不熟悉
不愿配合,2,110.0,我没有义务告知你
故意岔开话题,2,109.0,人血馒头不好吃
IfKnowDebtor,0,,有空聊
故意岔开话题,2,109.0,哥在不
IfKnowDebtor,0,,我在高速上
IfKnowDebtor,1,,什么啊
不愿配合,2,110.0,我都已经说了不认识了
IfKnowDebtor,1,,直接挂断
IfKnowDebtor,0,,投资做生意失败了
IfKnowDebtor,1,,知道了
请求等下打来,2,104.0,他本人不在我帮你问一下吧
故意岔开话题,2,109.0,人都不好了
不愿配合,2,110.0,你找错人了
IfKnowDebtor,1,,你们是哪里
IfKnowDebtor,1,,让我想起你
IfKnowDebtor,1,,你觉得呢
故意岔开话题,2,109.0,长头发短头发？
请求等下打来,2,104.0,雨下太大，没法去处理
IfKnowDebtor,0,,什么事
IfKnowDebtor,1,,听不见
IfKnowDebtor,0,,后天联系我
说出目的,2,101.0,什么事啊
IfKnowDebtor,0,,不熟悉
IfKnowDebtor,0,,有事哇
回问身份,2,107.0,你是干嘛的
IfKnowDebtor,0,,不认识
IfKnowDebtor,1,,再打就报警
回问身份,2,107.0,你是谁，我不认识他。
IfKnowDebtor,1,,我手机卡刚办
不愿配合,2,110.0,做梦去吧。
回问身份,2,107.0,哪个哟呢
不愿配合,2,110.0,你们不认识啊
IfKnowDebtor,1,,别打我电话
IfKnowDebtor,0,,我二叔
回问身份,2,107.0,我挺你口音不是成都的哇？哪里人啊
IfKnowDebtor,0,,我不一定能联系上
IfKnowDebtor,1,,2小时之内不行
不愿配合,2,110.0,你说的我不懂
IfKnowDebtor,1,,他怎么了
