文本,类别,Idclassfier,ifknowdebtor,causedebt,willingtopay,cutdebt,installation,setdueday,对策
只愿还本金,讨价还价,1,1,0,0,0,0,0,willingtopay
只愿还本金,讨价还价,1,1,0,0,0,0,0,willingtopay
只还本金,讨价还价,1,1,0,0,0,0,0,willingtopay
之前没钱,讨价还价,1,1,0,0,0,0,0,willingtopay
正在银行,讨价还价,1,1,0,0,0,0,0,willingtopay
正在想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
正在凑钱,讨价还价,1,1,0,0,0,0,0,willingtopay
这两天,讨价还价,1,1,0,0,0,0,0,willingtopay
这卡是我刚办理的,讨价还价,1,1,0,0,0,0,0,willingtopay
这个星期我就处理,讨价还价,1,1,0,0,0,0,0,willingtopay
这个时间紧啊,讨价还价,1,1,0,0,0,0,0,willingtopay
这个金额可不可以再少点,讨价还价,1,1,0,0,0,0,0,willingtopay
这个减免。我也法处理，,讨价还价,1,1,0,0,0,0,0,willingtopay
这个，我一定尽量,讨价还价,1,1,0,0,0,0,0,willingtopay
占时没钱，不知道能不能借到,讨价还价,1,1,0,0,0,0,0,willingtopay
在想想办法吧,讨价还价,1,1,0,0,0,0,0,willingtopay
在国外了，回国再说,讨价还价,1,1,0,0,0,0,0,willingtopay
再想想,讨价还价,1,1,0,0,0,0,0,willingtopay
再说说，免啥子？,讨价还价,1,1,0,0,0,0,0,willingtopay
再看看,讨价还价,1,1,0,0,0,0,0,willingtopay
再等等等吧,讨价还价,1,1,0,0,0,0,0,willingtopay
月末,讨价还价,1,1,0,0,0,0,0,willingtopay
月底这样吧,讨价还价,1,1,0,0,0,0,0,willingtopay
月底再说,讨价还价,1,1,0,0,0,0,0,willingtopay
月底再给你回信息，现在忙,讨价还价,1,1,0,0,0,0,0,willingtopay
月底处理,讨价还价,1,1,0,0,0,0,0,willingtopay
月底吧,讨价还价,1,1,0,0,0,0,0,willingtopay
月底,讨价还价,1,1,0,0,0,0,0,willingtopay
预支工资,讨价还价,1,1,0,0,0,0,0,willingtopay
又不是不还,讨价还价,1,1,0,0,0,0,0,willingtopay
有一个工程款要结有钱了立马还,讨价还价,1,1,0,0,0,0,0,willingtopay
有可能吧,讨价还价,1,1,0,0,0,0,0,willingtopay
有可能,讨价还价,1,1,0,0,0,0,0,willingtopay
有好处就是,讨价还价,1,1,0,0,0,0,0,willingtopay
有点困难,讨价还价,1,1,0,0,0,0,0,willingtopay
银行已经关门，我过段时间在处理，,讨价还价,1,1,0,0,0,0,0,willingtopay
银行卡被冻结了过几天解封就还,讨价还价,1,1,0,0,0,0,0,willingtopay
银行抵押贷款没有下来,讨价还价,1,1,0,0,0,0,0,willingtopay
一个月,讨价还价,1,1,0,0,0,0,0,willingtopay
也许可以,讨价还价,1,1,0,0,0,0,0,willingtopay
也许吧,讨价还价,1,1,0,0,0,0,0,willingtopay
也许,讨价还价,1,1,0,0,0,0,0,willingtopay
也不差这几天,讨价还价,1,1,0,0,0,0,0,willingtopay
要去借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
要减免下,讨价还价,1,1,0,0,0,0,0,willingtopay
需要时间,讨价还价,1,1,0,0,0,0,0,willingtopay
小孩这两天开学学费,讨价还价,1,1,0,0,0,0,0,willingtopay
想一下,讨价还价,1,1,0,0,0,0,0,willingtopay
想想,讨价还价,1,1,0,0,0,0,0,willingtopay
想办法借钱,讨价还价,1,1,0,0,0,0,0,willingtopay
想办法还,讨价还价,1,1,0,0,0,0,0,willingtopay
现在在开车明天我会还一部分的,讨价还价,1,1,0,0,0,0,0,willingtopay
现在在高速，过两天处理,讨价还价,1,1,0,0,0,0,0,willingtopay
现在没这多钱，后天吧,讨价还价,1,1,0,0,0,0,0,willingtopay
现在没钱先处理部分,讨价还价,1,1,0,0,0,0,0,willingtopay
现在忙，等下我自己还,讨价还价,1,1,0,0,0,0,0,willingtopay
现在还不起,讨价还价,1,1,0,0,0,0,0,willingtopay
现在不能处理,讨价还价,1,1,0,0,0,0,0,willingtopay
先换一部分,讨价还价,1,1,0,0,0,0,0,willingtopay
先还二百,讨价还价,1,1,0,0,0,0,0,willingtopay
下星期一协商,讨价还价,1,1,0,0,0,0,0,willingtopay
下星期一打我电话,讨价还价,1,1,0,0,0,0,0,willingtopay
下午之前,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期一再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期五再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期四再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期三再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期六再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
下个星期二再还xxx款,讨价还价,1,1,0,0,0,0,0,willingtopay
我做生意失败了，现在在找工作！,讨价还价,1,1,0,0,0,0,0,willingtopay
我周转一下回复你,讨价还价,1,1,0,0,0,0,0,willingtopay
我周转一下！,讨价还价,1,1,0,0,0,0,0,willingtopay
我周转看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我知道我去想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我只能是尽量,讨价还价,1,1,0,0,0,0,0,willingtopay
我只还本金,讨价还价,1,1,0,0,0,0,0,willingtopay
我这几天比较忙。过几天联系我,讨价还价,1,1,0,0,0,0,0,willingtopay
我这边再看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我找我朋友问问,讨价还价,1,1,0,0,0,0,0,willingtopay
我找我朋友借点看看,讨价还价,1,1,0,0,0,0,0,willingtopay
我在咨询一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我在想想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我在想想吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我在考虑考虑一下,讨价还价,1,1,0,0,0,0,0,willingtopay
我在考虑考虑,讨价还价,1,1,0,0,0,0,0,willingtopay
我在等发工资,讨价还价,1,1,0,0,0,0,0,willingtopay
我在打官司，工程款拿来就还,讨价还价,1,1,0,0,0,0,0,willingtopay
我在凑钱,讨价还价,1,1,0,0,0,0,0,willingtopay
我再想想办法吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我再想想,讨价还价,1,1,0,0,0,0,0,willingtopay
我再去凑凑,讨价还价,1,1,0,0,0,0,0,willingtopay
我再考虑下吧,讨价还价,1,1,0,0,0,0,0,willingtopay
我有钱自然会还,讨价还价,1,1,0,0,0,0,0,willingtopay
我有钱了肯定会处理,讨价还价,1,1,0,0,0,0,0,willingtopay
我有钱就去还,讨价还价,1,1,0,0,0,0,0,willingtopay
我有钱就还.,讨价还价,1,1,0,0,0,0,0,willingtopay
我一定想办法,讨价还价,1,1,0,0,0,0,0,willingtopay
我一定给你办好,讨价还价,1,1,0,0,0,0,0,willingtopay
