文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
忘记还款,故意岔开话题,0,0,0,0,1,0
你长得乖所,故意岔开话题,0,0,0,0,0,0
你多大了,故意岔开话题,0,0,0,0,0,0
小妹，你好久去的你们公司哦，我劝你还是赶紧离职哦，别被骗了,故意岔开话题,0,0,0,0,0,0
你们报警吧,故意岔开话题,1,0,0,1,1,1
家里有人生病,故意岔开话题,0,0,0,0,1,0
 还有漂泊的一个你,故意岔开话题,0,0,0,0,0,0
阿大,故意岔开话题,0,0,0,0,0,0
阿根廷出局了,故意岔开话题,0,0,0,0,0,0
阿根廷进球了,故意岔开话题,0,0,0,0,0,0
阿根廷赢了,故意岔开话题,0,0,0,0,0,0
阿拉小得了,故意岔开话题,0,0,0,0,0,0
阿斯顿撒,故意岔开话题,0,0,0,0,0,0
啊！这么多啊！,故意岔开话题,1,0,0,1,1,1
啊，俺在新疆,故意岔开话题,0,0,0,0,0,0
啊，五环，你比六环少一环,故意岔开话题,0,0,0,0,0,0
啊，五环，你比四环多一环,故意岔开话题,0,0,0,0,0,0
啊，五环，你不六环少一环,故意岔开话题,0,0,0,0,0,0
啊，五环，你不四环多一环,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番旅游呢,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番旅游呢，给你带点啥,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番旅游呢，你来不,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番旅游呢，你来不，我等你,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番旅游呢，这里美女可多了,故意岔开话题,0,0,0,0,0,0
啊？俺在新疆吐鲁番盆地,故意岔开话题,0,0,0,0,0,0
啊啊啊我好冷,故意岔开话题,0,0,0,0,0,0
哎呦前面有条狗,故意岔开话题,0,0,0,0,0,0
埃及输了,故意岔开话题,0,0,0,0,0,0
唉你好,故意岔开话题,0,0,0,0,0,0
爱春雨,故意岔开话题,0,0,0,0,0,0
爱干啥干啥,故意岔开话题,0,0,0,0,0,0
爱了月光,故意岔开话题,0,0,0,0,0,0
爱上层楼 天凉又难道是秋,故意岔开话题,0,0,0,0,0,0
巴西输了,故意岔开话题,0,0,0,0,0,0
巴西赢了,故意岔开话题,0,0,0,0,0,0
把车洗了,故意岔开话题,0,0,0,0,0,0
把电视关了,故意岔开话题,0,0,0,0,0,0
把你印上我的翅膀,故意岔开话题,0,0,0,0,0,0
白驹过隙,故意岔开话题,0,0,0,0,0,0
包养了个小四,故意岔开话题,0,0,0,0,0,0
保护自己,故意岔开话题,0,0,0,0,0,0
抱一抱，就当做从没借款2万,故意岔开话题,1,0,0,1,1,1
暴风雨就要来了，我要先考虑我的安全问题,故意岔开话题,0,0,0,0,0,0
暴风雨太大,故意岔开话题,0,0,0,0,0,0
比利时输了,故意岔开话题,0,0,0,0,0,0
别扶我,故意岔开话题,0,0,0,0,0,0
别理我,故意岔开话题,0,0,0,0,0,0
别理我烦着呢,故意岔开话题,0,0,0,0,0,0
冰岛会赢,故意岔开话题,0,0,0,0,0,0
不差钱,故意岔开话题,1,0,0,1,1,1
打错了,故意岔开话题,0,1,1,0,0,0
不打错电话了哇,故意岔开话题,0,1,1,0,0,0
不得哦，今天不得下雨哦，太阳大得很。,故意岔开话题,0,0,0,0,0,0
不对啊,故意岔开话题,1,0,0,1,0,1
不发红包不说,故意岔开话题,0,0,0,0,0,0
不关我的事,故意岔开话题,0,0,0,0,1,0
不关我事,故意岔开话题,0,0,0,0,1,0
不管我的事,故意岔开话题,0,0,0,0,1,0
不好不坏,故意岔开话题,0,0,0,0,0,0
不好意思，你打错电话了,故意岔开话题,0,1,1,0,0,0
不好意思，我没兴趣,故意岔开话题,0,0,0,0,0,0
不慌，我可以先唱首歌给你听一下,故意岔开话题,0,0,0,0,0,0
不会是你搞错了哇,故意岔开话题,0,1,1,0,0,0
不了解,故意岔开话题,0,1,1,0,0,0
不是本人,故意岔开话题,0,1,0,0,0,0
不说了哦,故意岔开话题,0,0,0,0,0,0
不思量有多少遗憾,故意岔开话题,0,0,0,0,0,0
