from,label,original_label,original_text,new_label,Unnamed: 5
模糊确认,3,106.0,好的，好的，好的,0.0,
WillingToPay,2,,听不清,103.0,
WillingToPay,2,,你们得利息算法合法么？,102.0,
WillingToPay,1,,我正在筹钱，马上就还,106.0,
WillingToPay,1,,我朋友有钱，放心,106.0,
WillingToPay,0,,财务说三天后发工资还,106.0,
WillingToPay,2,,等我30分钟,104.0,
WillingToPay,0,,我在要钱,106.0,
WillingToPay,2,,可以不还吗,1.0,
WillingToPay,0,,现在遇到困难，我马上想办法,106.0,
WillingToPay,2,,听不清,103.0,
WillingToPay,2,,我借多少还多少,102.0,
WillingToPay,2,,我前一顿时间出车祸了,109.0,
WillingToPay,0,,有钱的,106.0,
WillingToPay,1,,能少还点吗,2.0,
WillingToPay,1,,我在吃饭待会就还,0.0,
故意岔开话题,3,109.0,没能力,1.0,

