label,split_text,classifier,new_label,,
1,找他什么事他手机在我这！,IDClassifier,1,,逆反情绪、骂人之类的、不愿配合（109中的0）
1,搞错了,IDClassifier,1,,
1,有病啊，找谁啊,IDClassifier,109,,
1,神经病啊,IDClassifier,1,,
0,谁啊，我是啊干嘛,IDClassifier,0,,
1,号码给我用了,IDClassifier,1,,
1,你们是不是有毛病啊,IDClassifier,1,,
1,说了多少遍了，我不是,IDClassifier,1,,
1,手机号刚办的,IDClassifier,1,,
1,他是俺哥,IDClassifier,1,,
0,嗯是的呀,IDClassifier,0,,
0,请说,IDClassifier,0,,100、101去掉
1,你脑子进水了吧还打过来我不是,IDClassifier,1,,
0,嗯，咋了,IDClassifier,0,,
1,不是你打错了,IDClassifier,1,,
1,他是我老公,IDClassifier,1,,
1,劳资就是不想说,IDClassifier,1,,
0,嗯我还有事待会回你,IDClassifier,0,,
1,我不是的你要干嘛,IDClassifier,1,,
1,我是她的朋友,IDClassifier,1,,
1,干嘛告诉你,IDClassifier,1,,
1,没有联系,IDClassifier,1,,
1,再打我电话起诉你们,IDClassifier,1,,
1,我是他妈妈,IDClassifier,1,,
1,他在上班,IDClassifier,1,,
0,嗯，有事请讲。,IDClassifier,0,,
0,对的，是我,IDClassifier,0,,
0,嗯我是,IDClassifier,0,,
1,手机号码刚刚办的,IDClassifier,1,,
1,我不是你要找的人,IDClassifier,1,,
1,他坐牢了,IDClassifier,1,,
0,嗯是的,IDClassifier,0,,
0,说吧,IDClassifier,101,,
0,斗是,IDClassifier,0,,
1,我是你姥姥。,IDClassifier,1,,
0,不是我贷的，被骗了,ConfirmLoan ,1,,
1,我刚办理的新号码才几天,IDClassifier,1,,
1,这个人不是我,IDClassifier,1,,
1,不是，你找错人了,IDClassifier,1,,
0,是，是我本人。,IDClassifier,0,,
1,认不到。,IDClassifier,1,,
0,是的，你找我什么事？,IDClassifier,0,,
1,看清楚再打嘛,IDClassifier,1,,
1,是他朋友,IDClassifier,1,,
0,我在上班稍后联系。,IDClassifier,0,,
0,对呀,IDClassifier,0,,
1,失踪了,IDClassifier,1,,
0,请说,IDClassifier,101,,
1,你打错电话了,IDClassifier,1,,
0,嗯，你哪里？,IDClassifier,0,,
1,是你大爷,IDClassifier,1,,
1,我听不懂你说什么,IDClassifier,1,,
0,嗯，你猜对了,IDClassifier,0,,
1,看清楚再打嘛吧,IDClassifier,1,,
1,你打电话打傻了吧都说了几百遍了我不是,IDClassifier,1,,
1,他说不还，你们自己联系,IDClassifier,1,,
0,是的,IDClassifier,0,,
0,你好是我,IDClassifier,0,,
0,找我干嘛？,IDClassifier,0,,
1,他出差去了,IDClassifier,1,,
1,这儿没这个人。,IDClassifier,1,,
1,刚办的号,IDClassifier,1,,
1,说了不是，要说多少遍,IDClassifier,1,,
1,你打他的电话吧,IDClassifier,1,,
1,天天打电话给我，烦死了,IDClassifier,1,,
1,不是，这是我朋友给我的号码,IDClassifier,1,,
1,没时间听你说,IDClassifier,1,,
1,他现在不在，等会再打过了,IDClassifier,1,,
0,有什么事吗,IDClassifier,101,,
0,我现在忙，一会儿再说,IDClassifier,104,,
1,打打打，我明天就把这张卡注销了，看你们还怎么打,IDClassifier,109,"will、cut\insta,  1",
0,奥,IDClassifier,0,,
1,找错人了,IDClassifier,1,,
1,他是俺爹,IDClassifier,1,,
0,对，是我哈,IDClassifier,0,,
1,我是他爱人,IDClassifier,1,,
1,我不是你打错电话了,IDClassifier,1,,
1,你还是找本人吧,IDClassifier,1,,
0,啊，对！你是哪位？,IDClassifier,0,,
1,不是啊,IDClassifier,1,,
0,嗯，是的,IDClassifier,0,,
1,吃错药了吧,IDClassifier,1,,
0,对啊,IDClassifier,0,,
0,嗯，是的，,IDClassifier,0,,
1,和你有关系吗,IDClassifier,1,,
1,你们神经病吧,IDClassifier,1,,
1,这人是干什么的,IDClassifier,1,,
