split_text,label
延期了我就有可能还的清了，实在是太好了,0
我争取还吧,0
我可以先还xx，后面的在还,0
好吧，可以,0
那太好了，这部分我可以先还,0
可以，我凑,0
这样可以啊，最好不过了，我期望的结果，明天就打过去,0
明天可以还,0
行吧，那就这么办，我会把钱还了的,0
好,0
这部分我还的起,0
我身上刚好够，一会我去还。,0
可以，那我先还这部分钱，还在我能力范围之内,0
那再好不过了,0
好，我同意,0
噢噢，好的谢谢，可以,0
正好我股票涨了，你这电话打的真是时候,0
好嘛好嘛，看你天天打，我就先还到点嘛,0
还是不行啊，时间还是有点紧,1
不然你再申请延个两年呢,1
可以在加长一点时间吗,1
能不能延长一点时间,1
在延期久一点吧，这个时间太紧了,1
怕是不行，没那么多钱,1
可以再延期久一点么 ，我钱不够，实在还不了,1
延期的时间不够，还不了,1
延期是多久啊，不能再久一点吗,1
不够,1
我只有下个月还了,1
能不能再延长一点，我钱实在不够。,1
延期时间太短了，太短了，恐怕不得行哦，再宽限几天嘛,1
可以少还一点,1
我算哈钱，好像不够，再少点可不可以,1
可以再延久一些吧？我实在没钱还,1
能不能在延长一点时间啊，最近一哥们把我钱都借走了，他要下个月才能还我,1
多延点嘛，你这几天还不够我去找钱,1
我的帐那个时候都还没到手，你告诉我拿什么还？,1
我真得困难，孩子要上学，老婆没工作，老的还要看病住院,1
实在没钱啊，多宽限几天嘛,1
真的没钱啊,1
你在这基础上再延期一个月，我可能能还,1
别催我了，我有钱就会还的,1
不得行，还不了，多少天都还不了,1
不要再催了，说了还不了,1
再给我三个月，三个月之后我一定连本带利一起还，你看行吗,1
不想,1
我做不到,1
公司拖工资了，还没发呢，发了我第一时间还哈。,1
延期时间不够，宽限多几天,1
你再多减点噻，一点诚意者莫得,1
不可以，有钱了我自然会还,1
我真的没钱，还不上，你打电话也没用啊,1
让你们宽限几天怎么这么费劲呢，我现在没钱怎么还啊,1
不得行啊，要不你再延长点，或者钱再减点嘛，我现在没钱还,1
还，还，还，还个锅铲，你们这个催法是让人还钱的吗？,1
说了没钱，你们想咋弄咋弄！,1
你再怎么催，没钱就是没钱,1
都说了，没有钱，你听不懂？,1
随便延期多久，我不还了,1
再逼我，老子就还了,1
老子有钱也不还了，都说了好几遍了，还在催啊催的,1
催你吗啊，老子不还了,1
你要是不同意，那我也没办法了，我能想的只有这么多了，不行拉到,1
不敢,1
减免太少了，能在多减免一下么，实在还不了,1
说了是公司问题，你帮我去催公司把工资发了，我立马还。,1
算了，没得钱得，还不起,1
大哥，行行好，在少点,1
我今天还不了，我现在真的没有钱,1
真没办法，我没钱，你催也没办法,1
尼玛，就你们这逼样的等下辈子吧,1
你听不懂人话嗦，跟你说了没钱的，紧到催，还不到就还不到。,1
嗯，明白了,2
我要开会了，改天说,2
我在开会,2
我等下给你打过来,2
我不确定,2
你说的什么,2
您所拨打的用户已关机，please try again later.,2
咩理个浪,2
我在想想，一会儿再打吧,2
我吃饭了,2
可不可以请我吃饭,2
做梦去吧。,2
延啥子也？听不清？你再说一遍,2
今天天气真好,2
我现在不方便，空了再说,2
我信号不好，你说啥？我听不清,2
什么？我这暴风雨，手机信号很差，真听不清你说什么？,2
好了，先聊到这，我这边有其他事情，晚点再说,2
