from,label,original_label,original_text,,
请求等下打来,2,104,我在上课,2,
说出目的,2,101,干嘛？,2,
IDClassifier,0,,你是谁,107,
回问身份,2,107,你是谁，我不认识他。,2,
IDClassifier,1,,你是不是有病,1,
IDClassifier,0,,咋啦,101,1
说出目的,2,101,怎么了？,2,
IDClassifier,0,,一会儿再打过来吧,104,
请求等下打来,2,104,后天说,2,
IDClassifier,0,,有事吗,101,
不愿配合,2,110,你去找他呀,1,1
IDClassifier,0,,有什么事情,101,
说出目的,2,101,有什么事情吗？,2,
IDClassifier,0,,一会我给你打过去,104,
IDClassifier,0,,有事直说,101,
说出目的,2,101,找我干嘛,0,
回问身份,2,107,你谁啊不认识,2,
请求等下打来,2,104,我在处理一些事情稍等,2,
IDClassifier,0,,我在外面有点忙,104,
IDClassifier,1,,没空，等下回电,104,
IDClassifier,1,,他换电话了,1,
回问身份,2,107,怎么会这样啊,109,1
IDClassifier,1,,什么鬼东西，听不懂,103,
IDClassifier,1,,信号不好你再说一遍,103,
说出目的,2,101,什么事情？他现在不在，要不要我转告他？,1,1
请求等下打来,2,104,我在开车,2,
IDClassifier,1,,你哪来我的电话,107,
IDClassifier,1,,你是谁,107,
IDClassifier,0,,我在忙，一会给你回过去,104,
不愿配合,2,110,哈哈，打错了,1,
IDClassifier,0,,我没在家,109,
故意岔开话题,2,109,汽车还多啊,2,
请求等下打来,2,104,有时间找我,109,1
IDClassifier,0,,说哈,0,
IDClassifier,1,,在开车,104,1
IDClassifier,0,,不是,1,
IDClassifier,0,,我现在很忙，稍后给你打过来,104,
不愿配合,2,110,不要给我说土味情话,109,
故意岔开话题,2,109,我先唱一首歌吧,2,
IDClassifier,1,,你是猪么怎么理解不了我的意思呀,109,
IDClassifier,0,,我是她家人,1,
IDClassifier,1,,我现在没空,104,
说出目的,2,101,在开会，什么事,2,
IDClassifier,0,,我在开会等下说。挂机,104,
回问身份,2,107,这个号码我才换的,109,
IDClassifier,0,,上厕所呢，等下说,104,
IDClassifier,1,,这是公司的业务电话,109,
IDClassifier,1,,你找他做啥,1,
请求重复,2,103,可以什么？,2,
IDClassifier,0,,我在洗澡,104,
IDClassifier,0,,咋子事,101,
IDClassifier,0,,下午,109,
请求等下打来,2,104,我在开会，等下再说吧,2,
IDClassifier,0,,凭本事借的为什么要还，你爱起诉起诉，爱上门上门,109,
IDClassifier,0,,我在医院,109,
IDClassifier,0,,你哪里,107,
IDClassifier,1,,我姓XX,1,
IDClassifier,0,,你打错了吧,1,
IDClassifier,1,,不要打这个电话了,1,
IDClassifier,1,,没有联系,1,
IDClassifier,1,,挂了,1,
请求等下打来,2,104,我在外地,2,
IDClassifier,1,,坐牢了,0,
说出目的,2,101,说,2,
不愿配合,2,110,你是不是打错了,1,
故意岔开话题,2,109,不打错电话了哇,1,
IDClassifier,1,,不要给我打了，不然我要投诉了,1,
IDClassifier,0,,咋了,101,
IDClassifier,1,,你到底找谁,101,
IDClassifier,0,,你谁啊,107,
故意岔开话题,2,109,我是最帅的,2,
故意岔开话题,2,109,最近他有没有和你联系啊,2,
不愿配合,2,110,你过来就处理,2,
IDClassifier,0,,你是催款公司的么,107,
请求等下打来,2,104,我在逛街,2,
说出目的,2,101,你说吧，什么事,2,
不愿配合,2,110,打我电话干什么,101,
IDClassifier,1,,你谁，别打我电话,107,
IDClassifier,1,,我不清出,1,
IDClassifier,0,,忙得很，不空,104,
IDClassifier,0,,之前手机掉了,109,
IDClassifier,0,,提债就骂人,0,
IDClassifier,1,,你说什么我听不见,103,
IDClassifier,1,,听不到,103,
IDClassifier,1,,不说话,1,
IDClassifier,0,,嗯嗯你要做什么,101,
IDClassifier,0,,有事直说,101,
IDClassifier,0,,在忙,104,
IDClassifier,1,,在上课不能接电话,104,
故意岔开话题,2,109,小生的花伞还落在你家,2,
请求等下打来,2,104,我在开车，晚上你在打过来,2,
IDClassifier,0,,哇,109,
IDClassifier,1,,谁？,107,
IDClassifier,0,,在上班，等会再打,104,
请求等下打来,2,104,下班联系,2,
IDClassifier,1,,神经病没5天能还？,109,
故意岔开话题,2,109,我是天下第一帅,2,
说出目的,2,101,快说嘛，我在开车,2,
IDClassifier,1,,在忙等等打,104,
故意岔开话题,2,109,实在是,2,
IDClassifier,0,,来了,0,
IDClassifier,1,,我在忙有时间回给你,104,
IDClassifier,0,,我在跟朋友聊事情,104,
IDClassifier,1,,接听不说话,1,
IDClassifier,0,,微信联系,109,
说出目的,2,101,是的，有事吗,2,
IDClassifier,0,,忙好了回复你,104,
请求等下打来,2,104,晚上联系,2,
IDClassifier,0,,我在开车不方便说话,104,
IDClassifier,1,,我听不懂你说什么,1,
IDClassifier,0,,爪子,0,
IDClassifier,0,,我在开会，等下再说,104,
IDClassifier,0,,等会联系你,104,
IDClassifier,0,,你是哪家银行的,107,
说出目的,2,101,你们是不是打错电话了,1,
IDClassifier,0,,再打我投诉你们,1,
请求等下打来,2,104,有女友,109,
不愿配合,2,110,有病,1,
IDClassifier,0,,和你有关系吗,1,
IDClassifier,0,,滚,1,
IDClassifier,0,,奥,0,
IDClassifier,0,,后天,109,
故意岔开话题,2,109,我想要的是无话不说,2,
请求等下打来,2,104,稍后联系,2,
IDClassifier,1,,三天时间太短了，多给我三天肯定能处理,109,
IDClassifier,1,,三天内可能不得行,109,
请求等下打来,2,104,我在开车，不方便接电话,2,
IDClassifier,0,,我现在在忙晚点回给你,104,
不愿配合,2,110,我愿意认识就认识，不愿意就不认识,109,
请求等下打来,2,104,好的，你到晚上78点联系我,2,
不愿配合,2,110,不要打我电话,0,
IDClassifier,1,,我在开会,104,
不愿配合,2,110,不要给家打电话,0,
回问身份,2,107,你干嘛,101,
请求等下打来,2,104,正在开会,2,
IDClassifier,0,,等会再打过来,104,
IDClassifier,0,,有有有有,109,
IDClassifier,0,,我在见客户，等会找你,104,
IDClassifier,1,,老板拖欠N个月工资，后天就发了，肯定还！,109,
故意岔开话题,2,109,装傻就挂断,2,
说出目的,2,101,怎么了？,101,
IDClassifier,1,,你不知道你找谁哇,109,
请求等下打来,2,104,我先洗个澡,2,
IDClassifier,1,,没听过,1,
IDClassifier,1,,没听过,1,
IDClassifier,1,,找我有什么事情吗,0,
IDClassifier,1,,此人不在,1,
IDClassifier,0,,怎么老是打我电话,0,
IDClassifier,1,,你猜我是不是,109,
IDClassifier,0,,我没时间,0,
IDClassifier,0,,在开会等等,104,
请求等下打来,2,104,过会儿再打嘛,2,
故意岔开话题,2,109,你打错了,1,
不愿配合,2,110,你们不认识啊,109,
说出目的,2,101,你找他事催款吗？,101,
IDClassifier,0,,我在开会等会找你,104,
IDClassifier,1,,你是找某某得吧！,1,
IDClassifier,1,,听不懂,1,
不愿配合,2,110,不关我的事,1,
IDClassifier,1,,手机没电了,104,
IDClassifier,0,,再说,109,
IDClassifier,0,,这边有印象吗有有,109,
IDClassifier,0,,OK,0,
请求等下打来,2,104,出去了,1,
请求等下打来,2,104,我在工作,104,
