label,old_label,classifier,split_text
1,2,WillingToPay,我 只能 负担 一部分
1,2,WillingToPay,太多 了
1,1,WillingToPay,你 要是 还要 这么 高
1,1,WillingToPay,没得 钱 的   还 不起
1,1,WillingToPay,帮个 忙 哈   兄弟
1,1,WillingToPay,工资 还 没发
1,1,WillingToPay,没钱 不 还 了  
1,1,WillingToPay,  之内 不行
1,1,WillingToPay,没 求得 钱 啥   你 是不是 傻哇
0,0,WillingToPay,等 哈哈 儿 就 还 哈 。
1,1,WillingToPay,有钱 会 处理
1,1,WillingToPay,你们 高利贷
1,1,WillingToPay,是 这样 啊   这么 短 的 时间 可能 不行
0,0,WillingToPay,咋 就 忘 了 呢   好   马上 就 处理 。
0,0,WillingToPay,放心 会 还 的
0,0,WillingToPay,我 中旬 处理
0,0,WillingToPay,马上 就 还 。
0,1,WillingToPay,现在 没 钱   有钱 在 处理
1,2,WillingToPay,可以 帮 我 减免 吗
1,1,WillingToPay,有钱 肯定 还 上
1,1,WillingToPay,我 只有 一点
1,2,WillingToPay,先 还 一部分 可以 吗
0,0,WillingToPay,可以 的   没 问题
1,1,WillingToPay,没有 工作   没有 经济 能力
1,1,WillingToPay,家里 最近 出 了 点事
1,1,WillingToPay,欠 了 很多 钱   慢慢 处理
1,2,WillingToPay,减免 减免
0,0,WillingToPay,大   处理
1,1,WillingToPay,等 我 中 彩票 再 还
1,1,WillingToPay,跟 你 说 我 现在 没 时间
1,1,WillingToPay,为什么 这样 说 ？
0,0,WillingToPay,我 月底 发工资 就 还 上 。
1,1,WillingToPay,为什么 你们 要 逼 我 没意思
0,0,WillingToPay,一个 礼拜 还
1,2,WillingToPay,可以 减免 吗 。
1,1,WillingToPay,金额 太高  
1,2,WillingToPay,可以 少 还 点 吗
1,1,WillingToPay,打死 都 没 钱
1,1,WillingToPay,现在 没有 钱 有 了 就 还
1,1,WillingToPay,我 凑 不到 那么 多钱
0,0,WillingToPay,可以 。
0,0,WillingToPay,好 的 么 问题
0,0,WillingToPay,已经 借钱 了 马上 就 可以 处理 了
1,1,WillingToPay,你们 这个 钱 是 不 合法 的
1,1,WillingToPay,时间 太急 了 没 办法
1,2,WillingToPay,我 现在 说里 没钱   暂时 先少 还 点 怎么样
0,0,WillingToPay,行   我   之内 处理
1,1,WillingToPay,还 不了
1,1,WillingToPay,能 不能 再缓  
1,2,WillingToPay,只 还 本金 行 吗
0,0,WillingToPay,我 等 会 给 你 过去
1,1,WillingToPay,哥   帮帮忙   我 真的 没钱 了 ！
1,1,WillingToPay,不 一定 到时候 再说
1,1,WillingToPay,等 我 有钱 了 肯定 立马 还
1,1,WillingToPay,我 再 想想 吧
0,0,WillingToPay,最迟   后
1,1,WillingToPay,我 挂 了
0,0,WillingToPay,月底 就 还 哈
1,0,WillingToPay,要 等 两天
1,1,WillingToPay,能 不能 少点喃 ？
0,0,WillingToPay,可以 的 啊
0,0,WillingToPay,我 在 取钱 处理
1,2,WillingToPay,可以 先少 还 点 吗 ？
1,1,WillingToPay,不得 行   多 几天 啥 。
1,1,WillingToPay,没 问题 ？ 没 问题 才 怪 呢 ！
1,1,WillingToPay,还求 不了 阿
1,2,WillingToPay,帮 我 减免 点 吧
1,1,WillingToPay,能 给 我 几天 时间 吗
1,1,WillingToPay,看 老板 拖 不 拖 工资
1,1,WillingToPay,你们 是 抢钱
1,1,WillingToPay,哪里 有钱 还 你 哦
1,1,WillingToPay,等 有钱 处理
1,1,WillingToPay,老人 住院 了
1,2,WillingToPay,利息 高 了   如果 减免 的话 请问 就 处理
0,0,WillingToPay,我 马上 就 去
1,1,WillingToPay,还 不起   太多 了
1,1,WillingToPay,我 有钱 的 时候   你 干嘛 不 给 我 打电话
0,0,WillingToPay,星期一 处理
1,1,WillingToPay,我 现在 没有 那么 多钱   等 几天 再 还
0,0,WillingToPay,马上 就 还
1,1,WillingToPay,生活 困难
0,0,WillingToPay,嗯     给 你
1,1,WillingToPay,你 去 起诉 我 吧
1,2,WillingToPay,给 我 减免 分 三次 还
1,1,WillingToPay,很 困难
1,2,WillingToPay,能 不能 减免
1,1,WillingToPay,不 还 钱 了 。 直接 起诉 吧  
1,1,WillingToPay,钱 掉 了   也 着急 在 找
0,0,WillingToPay,我 起床 就 去
0,0,WillingToPay,我 现在 app 上 就 还
1,1,WillingToPay,不好意思   这个 欠款 。 我   处理 不了
1,1,WillingToPay,不 可能   我 还 没 发工资
1,2,WillingToPay,有莫得 少
1,1,WillingToPay,你们 这 利息 太高 了
1,1,WillingToPay,不想 还款
0,0,WillingToPay,现在 还
0,0,WillingToPay,月初 还
1,1,WillingToPay,我 生意 失败 了
1,2,WillingToPay,我 可以 先 还 一部分 么 矣
0,0,WillingToPay,我 月底 处理
1,2,WillingToPay,先 还 一部分   可以 减免 滞纳金 么 ？
1,1,WillingToPay,我 有钱 自然 会 还
1,1,WillingToPay,可能 不行
1,1,WillingToPay,为什么 你们 要 逼 我 嗯
1,1,WillingToPay,要钱 没 得   要命 一条
1,1,WillingToPay,凭 本事 借 的   为什么 要 还
0,0,WillingToPay,25 号 还
1,1,WillingToPay,时间 太短 了   我 一时间 拿 不 出来 这么 多 现金
1,1,WillingToPay,有没有 办法 商量
0,0,WillingToPay,现在 转过 去
0,0,WillingToPay,好   现在 就 去 存
0,0,WillingToPay,  可以
1,1,WillingToPay,就 不 还
1,1,WillingToPay,不 可能
1,1,WillingToPay,时间 太短 了 这 不 可能
1,2,WillingToPay,好 高 啊 也
1,2,WillingToPay,太多 了   还 不起
1,1,WillingToPay,晓 不得 哦   没有 欠 哦 。
1,1,WillingToPay,金额 接受 不了
0,0,WillingToPay,好 的 没 问题
1,1,WillingToPay,我 有钱 就是 不 还 怎么 了 ！ （ 没钱装 逼 的 ）
1,2,WillingToPay,这太多 了 能 减免 一点 吗
1,2,WillingToPay,少 还 点
1,1,WillingToPay,等 我 有钱 处理
1,2,WillingToPay,减免
1,1,WillingToPay,没钱 我 怎么 还 啊
1,2,WillingToPay,俺 木有 这么 多钱 噢
0,0,WillingToPay,  还
0,0,WillingToPay,这个 时间 内   没有 问题
1,2,WillingToPay,我 别家 贷款 都 是 只 还 本金 你 不 可以 不 就 不 还 了
1,1,WillingToPay,这个 时间 内   不行
1,2,WillingToPay,不 减免 就 不 处理
0,0,WillingToPay,OKOK
1,1,WillingToPay,我 有钱 了 就 还 。
1,1,WillingToPay,家里 有人 生病   慢慢 还
1,1,WillingToPay,做生意 亏本 了
0,0,WillingToPay,行   我   处理
1,1,WillingToPay,我 有钱 就 自己 还
1,1,WillingToPay,有 时间 在 说
0,0,WillingToPay,礼拜一 给 你 处理 了
0,0,WillingToPay,等 晚上 我 就 处理
0,0,WillingToPay,好好 好
0,0,WillingToPay,等 休息天 我 就 把 钱 还 了
