label,split_text
0,他 在 忙   待 会 回电 给 你 吧 。
1,你 说 的 是 张 三 么 没意思
1,滚
0,你 打 他 电话
0,晚上 就 去
0,认识
1,我 不 认识
0,他 还 欠 我 钱 呢
2,信号 不好
0,之前 认识   现在 没 联系 了 。
0,  吧
0,认识   他 去 新疆 了
0,我 是 他 同学
2,你 电话 信号 不好
0,她 是 我 的 男朋友
0,之前 认识
2,  天气 好爽 啊 哈哈哈
0,不 熟悉
1,你们 说 的 是 谁 啊 没 听 过
0,是 他 同学
1,不 认识
0,以前 同事 不 联系 了
1,没听说过
0,找 他 干嘛
0,  晚上 处理
0,我 是 他 的 爸
0,他 在 忙   有事吗
0,他 以前 是 我 同事 。
2,我 在 忙 呢 等 会 打 吧
2,我 不想 说话
1,我 从不 认识 XX
0,肯定 知道
2,你 很烦
1,刚办 的 号码
2,你 先 说 你 是 哪个 嗯
0,你 再 打 我 电话 我要 报警 了 ！
2,大点声
1,不 认识 哇
0,认识   他 是 我 高中同学
0,我 是 他 的 朋友
1,不 认识   咋个 ？ 他 有 啥子 问题 吗 ？
1,你 是 干嘛 的
0,认识   一起 打球 认识 的   很久 不 联系 了
2,干嘛
0,我 是 他 弟弟
0,我 是 她 的 姑姑
1,搞错 了 吧   挂机
0,认识 哦   但是 我们 有 好几年 没 联系 了   他 还 欠 我 几千块 钱
2,等 会 说
2,你 猜 我 是不是 呀 啊
0,我 是 她 妈
0,月底 肯定 会 还
0,是 以前 厂里 的 同事   不 联系 了
0,月底
1,我 从不 认识 XX   你 是不是 打错 了
0,他 现在 不 在家
2,风大 ； 没 听见
1,这人 谁 啊
1,不 懂
0,认识 他
2,你 谁 啊 ？
2,不想 说话
2,有 好几个   不 知道 你 说 的 是 谁
2,没 听 清
0,你 去 找 他
0,不 联系
2,你 跟 我 讲 一下 他 的 外号 说 名字 我 想不起来
0,以前 同学
0,我 是 他 爸
1,你 打错 了
0,等 下 让 他 联系 你
0,他 生病 了
0,我 是 他 哥哥 。
1,没 听 过 这 名字
2,滚 吧
2,有过 联系
2,唉 你好
1,不 知道 啊啊啊
0,是 啊
0,我 是 他 妈妈
1,你 是 哪个 哦 ？ 我 不 晓得 这个 人 是 哪个
1,没 听 过
1,不 知道
0,喝酒 认识 的   没 联系
2,雨太大 了
1,不 晓得   别 再 给 我 打电话 了
1,没有 印象
2,干什么
2,听不见
2,欠 我 钱 他 叫 我 找 你 的
1,我 不是 啊 你 打错 了 吧
2,开车 不 方便
2,还 欠 我 钱
2,你 嘚 瑟 嘛
1,你 在 打电话 给 别人 吧  
0,我 是 他 舅
1,这个 人 是 谁 没有 听过
2,没 信号   听不清
2,不 认识 填 你 名字 电话
0,嗯   我 认识
0,我 问 一下
0,嗯   认识
1,认不倒 。
1,怎么 可能 有人 起 这种 名字 呢   太 难听 了 了
1,没听说过  
1,老板 拖欠 N 个 月工资     就 发 了   肯定 还 ！
0,嗯   你 是 谁
0,好像
0,我 不 一定 能 联系 上
2,有病 吧
2,在 开会
1,不 认识 ！
0,不 联系 了
2,你 是 来 搞笑 的 吧
2,没 信号 了
0,他 送 人 去 了
1,不 认识   再见
2,吃饭
2,声音 断断续续 的 不 知道 你 在 说 什么
2,有 屁快 放 ！
0,我 他 女儿
0,你 说 的 是 张 三 么 嗯
1,认不 认识 跟 你 有 毛 关系 啊
2,答案 跟 问题 三 一样 的
0,我 是 他 哥哈
2,在 打 投诉
1,不 清楚
2,为什么 要 告诉 你
1,不 认识 你 说 的 这个 人 。
2,  天气 好
2,你 是 谁   在 说 什么
1,我   还
1,再 打 我 投诉 你
2,睡觉 了
1,贷款 2 天 之后 肯定 能 下来
0,她 是 我 爷爷
2,你 哪里
1,  太短 了
2,我 这边 好 吵
2,关 你 什么 事 啊
0,他姐 儿子 去 了
0,月底 还
0,我 是 他 婆婆
1,没 印象 了
1,有病 吧
2,我 在 上班
0,我 母亲   钱 给 我
2,你 等 会 再 打来
0,找 不到 人 了
2,阿根廷 进球 了
1,刚换 手机号
0,你 说 哪个 ？ 哈哈哈
0,见过面
0,找 他 有 什么 事
0,认识   他 不 就是 傻根 吗
0,在 开会
0,我 他 儿子
2,别打我 电话
0,很久没 来往   被 拉 黑 了
0,你们 天天 吃饱 撑 的 啊   不 都 说 过 了 吗
0,我 是 他 爷爷
0,听说 过
0,你 找 他 打 我 电话 做 什么
0,我 知道 啊
0,晓得 他   他 不 在 这边 。
2,风太大
0,她 是 我 的 同事
0,我 知道
1,你 不 去 问 他 认识 我 不 ？
2,不要 打 我 电话
0,他 在 睡觉   一会 回 你
0,很久没 联系 了
2,不 认识
0,我 是 他 姐姐
2,有 什么 事 吗
2,你 打错 了
2,你 去 问 他
1,从 没听说过
2,不要 打 了
2,你 那边 太吵 了
2,啥子 安
0,好久 不 联系   联系 不到
0,他 在 干嘛
0,他 是 我 弟弟
2,我 在 上班 下班 聊
0,恩   他 是 我 大学 同学
2,那么 多 XXX   你 说 的 是 哪 一个
