split_text,label
我也不知道逾期了啊，怎么这么快呢？,0
刚失业,0
没钱,0
没钱还,0
我忘记有借款这回事了,0
我不想还了,0
这个欠款我是知道的，可不知道利息已经这么多了，一直也没有收到通知，所以钱已经借出去了，一直别人没还,0
没钱,0
我银行卡丢了，钱还不了了,0
没钱,0
换手机号码了，没收到信息,0
这段时间资金周转不开，能不能延期？,0
最近买足彩，输的好惨哦，没得钱啊,0
我丢工作了,0
没得钱咋办喃,0
上班太忙了，搞忘了，马上还。,0
我正等着公司裁员把我裁掉，这样就有赔偿金还了,0
我没钱,0
我家被偷了,0
做生意亏惨了,0
我吃不起饭了,0
我丢工作了,0
没钱了啊,0
我能说我忘记了吗,0
你们不说就差点忘了，多谢提醒啊。,0
刚下岗,0
最近失业了,0
真的没有钱,0
我实在没钱还了,0
我没钱了，所有的钱都输完了,0
现在的经济状况，我没有这么多钱呐,0
最近手头紧张,0
公司已经几个月没法工资了，等等吧,0
还毛线,0
我媳妇前段时间生小孩,0
真没钱，不然你再借我2万吧。,0
最近世界杯场场爆冷，我买的足彩全部都亏了，还不起了,0
缓缓行不行,0
我不想还了,0
同1,0
把人撞了都没钱赔人家呢，哪有多余的钱还你们啊,0
我炒股输了,0
我手机丢了，钱都被转移了,0
买股票被套牢了,0
没钱,0
我媳妇前段时间生小孩,0
赌球输了,0
确实拿不出这个钱,0
最近有点忙，把这事儿给忘了,0
被老板开了,0
手头紧,0
最近手头紧,0
我忘记了，没收到催款短信,0
腿断了，挣不到钱了,0
最近家里经济紧张，本来是能够付清这笔款的，可是家里有人生病了,0
我失业了,0
我问问我爱人，看看她还了吗,0
没得,0
我能说我忘记了吗,0
现在有一顿没一顿的，怎么还钱啊！,0
最近股市大跌，亏得血本无归，没得钱,0
实在没有钱,0
我故意的,0
同1,0
老板也不给我涨工资我拿什么还啊,0
我昨天买的德国，结果全输了,0
我媳妇生孩子用了,0
失业了,0
家中遇到小偷了,0
我妈妈也住院了,0
去了次澳门,0
我都吃不起饭了,0
家里没钱啊，怎么还嘛,0
我老板跑路，发不出工资了,0
我丢工作了,0
现在没有钱还,0
我准备下个月就还了,0
把钱拿去交学费了,0
我已经辞职了，现在手里拿不出来这么多，这个月暂时没钱,0
我们公司还没发工资,0
不想还了,0
啥子都没得,0
我忘记这回事了,0
前短时间有急用，钱全部花完了。,0
世界杯常常爆冷，钱都去买足彩了,0
我没有借，你不要骗我,0
我忘记这回事了,0
同1,0
我就那点死工资，只能解决我个人的生活问题，除非我中彩票了,0
什么时候的事？我都不知道这件事啊,0
我生病住院用了,0
被炒鱿鱼了,0
被盗了,0
实在没有钱,0
借给别人了,0
没得钱咋办喃,0
老板跑路了，拖欠我的工资还没发，我们还在告老板呢,0
打麻将输了，没钱还,0
老婆生小孩，没钱了,0
饭碗都丢了,0
我不想还了 ,0
没有周转过来,0
隔壁老王车子撞了人，现在还在理赔阶段，找我借了一笔，现在手里没钱了，下个月才能决定还款,0
老板不发工资，拖欠,0
不还没事吧,0
确实没钱,0
这哈没得钱了,0
没钱，打麻将输完了。,0
以为现在股市可以抄底，结果还在大跌，钱都焊到股市里面了,0
先缓缓，马上就还,0
我没有借，你不要骗我,0
同1,0
等我当老板了就能还上了，我一个打工妹哪有那么多钱啊，再说你们这个滞纳金怎么涨了这么多，之前我也没收到通知啊，你们这样不违法吗？,0
我家里出了事，现在还不了,0
我都在吃土了，催什么催嘛，又不是不还,0
工作都丢了,0
确实没办法了,0
我家人出事了,0
你猜,0
缓缓行不行,0
钱都被我那个败家娘们淘宝买东西买完了，行用卡都还欠几万，咋子还嘛,0
钱被前妻拿走了,0
买房了，最近没钱了,0
工作丢了,0
明说，我其实就是不想还,0
做生意亏了,0
老婆生了，小孩黄疸，钱都给进去了,0
我这个月请假了，到手工资只够生活,0
我小孩生病了，钱给他看病了,0
真的没钱,0
我正在筹钱，你催个毛线啊,0
全套在咋们大A股中，怎么还？,0
娃娃读幼儿园，交了好大一笔钱，没得钱,0
我家人出事了,0
实在没有钱,0
同1,0
最近金融危机，我的公司都倒闭了，还欠员工工资没发呢，最近都打算卖房了,0
我开车出了交通事故，现在没钱还款了,0
我在换工作，最近没钱,0
都要吃土了，哪里有钱还,0
确实没钱还啊,0
我都吃不起饭了,0
真没钱,0
这哈没得钱了,0
我刚刚才找到工作，还没满一个月呢，没法工资啊,0
家里出事了,0
买车了。最近没钱,0
实在没有钱,0
我忘了 ,0
赔了别人很多钱,0
拿不出来钱,0
离职了,0
我会还的，但是现在没有钱，再让我缓一段时间吧,0
弄死我都没钱,0
缓缓行不行,0
最近手气背，买彩票一个没中，等我中了就还你。,0
