label,split_text,classifier,new_label,comment,uncertain,name,criterion,predict_label,original_index
1,你 放高利贷 的 哇   我 去 揭发 你,ConfirmLoan,0,,,sr,,1,4
1,关 我 屁事,ConfirmLoan,1,,,sr,,0,50
0,需要 承担 什么 责任 么,ConfirmLoan,0,,,zl,,1,62
1,你 很 闲 是 吧 ？,ConfirmLoan,0,,,sr,,1,72
0,我 不 知道 该 说 什么 好,ConfirmLoan,0,待确认,,zl,,1,80
1,只有 别人 借 我 钱   我 从不 借 别人 钱,ConfirmLoan,1,,,zl,,0,99
1,现在 骗子 这么 多   你 以为 我会 相信 你 吗 ？,ConfirmLoan,1,,,zl,,0,113
1,我 哪 知道 啊   钱 是 朋友 帮 我 借 的 ！,ConfirmLoan,0,,,zl,,1,114
1,我 证件 之前 丢 了   我 没有 贷过 。,ConfirmLoan,1,,,zl,,0,132
0,我 都 不 知道 我 欠 了 你们 好多钱,ConfirmLoan,0,,,zl,,1,136
1,我 又 没有 欠过 钱,ConfirmLoan,1,,,zl,,0,146
1,真的 么 ？ 你 确定 不是 你们 搞错 对象 了 么 ？ 因为 我 从来不 会 去 高利贷 贷款   太 恐怖 了,ConfirmLoan,1,,,zl,,0,160
1,不 知道,ConfirmLoan,0,,,sr,,1,175
1,就算 是 我 借 的   我 凭 本事 借 的   凭 什么 还,ConfirmLoan,0,,,sr,,1,176
0,钱 不 对,ConfirmLoan,0,,,sr,,1,180
1,找错 饿 了,ConfirmLoan,1,,,zl,,0,192
0,不知,ConfirmLoan,1,,,sr,,0,208
1,嫩 乱说,ConfirmLoan,1,,,sr,,0,234
0,抱 一抱   就 当做 从没 借款 2 万,ConfirmLoan,0,,,sr,,1,241
0,不 晓得 好久 才 还得起 哦,ConfirmLoan,0,,,sr,,1,243
1,是 我 朋友 借 的 吧   那天 他 拿 我 的 身份证 去 用   搞 出 这么 多 事情 。,ConfirmLoan,0,,,zl,,1,270
0,我   没借 到 钱,ConfirmLoan,0,,,zl,,1,312
1,不 对 啊,ConfirmLoan,1,,,sr,,0,315
1,2 万   我 是 差 那 2 万 的 人   我 觉得 你 在 侮辱 我,ConfirmLoan,0,,,sr,,1,330
0,不 差钱,ConfirmLoan,0,,,sr,,1,336
1,我 什么 时候 跟 你们 借 的 款   滞纳金 和 利息 要 这么 多   你们 这个 利息 是 怎么 算 的 ？ 我 在 别的 地方 贷款 也 没有 这么 高 的 利息,ConfirmLoan,0,,,zl,,1,340
0,还有 这 事 ？ 我 都 忘记 了 。,ConfirmLoan,1,,,sr,,0,377
0,你 怎么 不早 说,ConfirmLoan,0,,,sr,,1,401
1,2 万多 吗   我 怎么 记得 只有 5000   你 再 好好 看看   是不是 弄错 了,ConfirmLoan,0,,,sr,,1,402
0,你们 报警 吧,ConfirmLoan,0,,,sr,,1,414
0,要 不 你 报警 抓 我 吧,ConfirmLoan,0,,,zl,,1,449
1,我 的 身份证 办 的,ConfirmLoan,0,,,zl,,1,455
1,瞎 扯淡,ConfirmLoan,1,,,zl,,0,459
1,朋友 借 的,ConfirmLoan,1,,,sr,,0,465
1,啥子 钱 哦,ConfirmLoan,1,,,zl,,0,470
1,我 怎么 可能 借 那么 多,ConfirmLoan,1,,,zl,,0,472
0,我 不 知道 有没有 这么 多钱,ConfirmLoan,0,,,zl,,1,491
1,啥子 东西 哦,ConfirmLoan,1,,,zl,,0,492
1,这个 号码 我 才 换 的,ConfirmLoan,1,,,zl,,0,495
0,我 不 认可 你们 的 算法   我 需要 再查 一下,ConfirmLoan,0,,,zl,,1,500
1,瞎扯,ConfirmLoan,1,,,zl,,0,511
1,胡扯,ConfirmLoan,1,,,sr,,0,560
1,爬 远点   豁 我 嗦,ConfirmLoan,1,,,sr,,0,585
0,你 打 我 啊,ConfirmLoan,0,,,sr,,1,590
1,你 不会 是 骗子 吧 ？,ConfirmLoan,0,,,sr,,1,593
0,只 借 了 你们 2 万 吗 ？ 你 搞 对 没有 哦,ConfirmLoan,0,,,zl,,1,597
0,我 到处 都 欠款   你 说 我 该 还 你们 谁 啊,ConfirmLoan,0,,,zl,,1,610
0,听不懂,ConfirmLoan,1,,,zl,,0,627
1,啥 ？ 有 这事 ？ 看 我 这个 记性 。,ConfirmLoan,0,,,zl,,1,632
1,听 都 没 听 过   你 才 借钱 不 还 呢 ！,ConfirmLoan,1,,,zl,,0,641
1,我 这么 穷   贷款 都 贷不起,ConfirmLoan,1,,,zl,,0,661
0,不 知道   你 哪里,ConfirmLoan,0,,,sr,,1,662
1,还 什么 还   都 不是 我,ConfirmLoan,1,,,sr,,0,678
0,我 怎么 知道,ConfirmLoan,0,,,zl,,1,688
0,我 的 账户 被盗 了,ConfirmLoan,0,,,zl,,1,707
1,什么 2 万 3 ？,ConfirmLoan,1,,,zl,,0,708
1,没得 这事 ！,ConfirmLoan,1,,,sr,,0,712
1,清 不到   不 晓得,ConfirmLoan,0,,,sr,,1,724
0,算了   我 可以 请 你 吃饭,ConfirmLoan,0,,,zl,,1,735
1,我 借 你 妹   天天 催,ConfirmLoan,1,,,zl,,0,752
