split_text,label
你是哪位？,101
你要干嘛,101
你找他什么事,101
什么事？,101
你想爪子,101
有什么事,101
你要做爪子,101
是的，有事吗,101
你要咋子,101
你究竟有什么目的,101
你搞啥子的,101
找他爪子事情？,101
你要干嘛,101
啥意思？,101
请问你找哪个,101
你要咋子嘛,101
你是哪个啊？,101
你搞哪样的,101
你都不知道我是谁还打电话给我？你到底要做什么？,101
你想爪子,101
有事吗？,101
怎么了？,101
他在办事，我可以转告,101
有事请讲,101
说，啥子事,101
对，干嘛,101
你到底要咋子,101
你打电话干啥,101
咋子,101
你找他有什么事情？,101
搞么子,101
要抓批？,101
你和他是啥子关系,101
干啥子,101
你从哪儿弄到的电话？,101
搞屁哦,101
你是哪位？打电话有啥子？,101
你谁啊,101
有什么事情,101
说事,101
你找他干什么,101
打电话干什么,101
你是谁,101
有什么事说,101
你龟儿子吃饱了所,101
干啥,101
啥子事,101
你找他有什么事情哇？,101
你打电话到底有什么事,101
干什么？,101
你是咋个认识XXX的,101
有啥子事嘛,101
你想干啥子哦？,101
我听不懂你在说啥子,101
先把你的身份说出来再问我是谁,101
有话快说,101
你要干嘛,101
你要干嘛,101
你找他事催款吗？,101
干嘛,101
who are you,101
找我有什么事情吗,101
你瓜娃子所,101
怎么了,101
么子事,101
咦，咋个还有人找他也？你找他咋个事情？,101
你做啥的,101
啥情况，老弟,101
他欠了你们好多钱嘛,101
说嘛,101
我还问你是不是谁呢？,101
卖保险,101
我认不认识他管你什么事情？,101
有事说事,101
你要干什么,101
快说,101
啥子事情？,101
干煞,101
干嘛,101
神马，有事吗,101
你是胎神吗,101
你说吧，什么事,101
做哪样,101
你是哪个？你找他干嘛？,101
打电话咋子,101
啥情况，哥们,101
我认不到你说的XXX,101
啊，然后喃,101
你找这个人做什么？,101
贷款的还是卖保险的,101
是找他做什么？,101
干嘛，你想干啥？,101
你打电话有什么事,101
快说事，我没时间,101
有什么事？,101
赶啥类,101
啊？,101
怎么，有事快说，我在开车,101
我龟儿脑壳有包吗,101
什么情况,101
贷款的还是卖保险的,101
他不在，你找他什么事情？,101
贷款的还是卖保险的,101
啥情况，兄弟,101
你们又是哪个公司的嘛,101
想咋子,101
你先给我说你有什么事？,101
你和他是啥子关系,101
我不是，你有啥事情？我帮你找他,101
你谁啊，你管我，到底想干嘛,101
什么事？,101
