文本,类别,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
我回家湊,讨价还价,,,,,,
我回头问问我朋友,讨价还价,,,,,,
我会筹到钱联系你,讨价还价,,,,,,
我得问问朋友有没有,讨价还价,,,,,,
我借一下看看！,讨价还价,,,,,,
我得回家商量一下,讨价还价,,,,,,
我打电话借一下！,讨价还价,,,,,,
我凑看看,讨价还价,,,,,,
我不知道朋友钱给不给我,讨价还价,,,,,,
我不知道明天工资能不能发,讨价还价,,,,,,
我不是不想还，只是需要点时间,讨价还价,,,,,,
听说本金也可以减免啊,讨价还价,,,,,,
我工资发了就处理！,讨价还价,,,,,,
我尽最大努力,讨价还价,,,,,,
我尽快,讨价还价,,,,,,
我去借看看,讨价还价,,,,,,
我去凑,讨价还价,,,,,,
我去筹备一下,讨价还价,,,,,,
我去财务支,讨价还价,,,,,,
我朋友说今天钱还我,讨价还价,,,,,,
看今天能不能发工资,讨价还价,,,,,,
我联系我朋友看看,讨价还价,,,,,,
我老考虑下,讨价还价,,,,,,
我可以延期吗,讨价还价,,,,,,
我考虑一下再给你答复！,讨价还价,,,,,,
我看能不能凑到在回复你,讨价还价,,,,,,
我看能不能凑到再回你,讨价还价,,,,,,
我看老板能不能支点出来,讨价还价,,,,,,
我看看能不能借到,讨价还价,,,,,,
我看看家里有多少,讨价还价,,,,,,
我尽量在这之前还上,讨价还价,,,,,,
我尽力去凑吧。,讨价还价,,,,,,
你先等等我回家商量下,讨价还价,,,,,,
你让我考虑,讨价还价,,,,,,
你们利息也太高了,讨价还价,,,,,,
你们几点下班最迟能帮我再拖多少天,讨价还价,,,,,,
你等我想想,讨价还价,,,,,,
能减免多少在看看,讨价还价,,,,,,
利息太高了，能不能只还本金,讨价还价,,,,,,
能减本金就好了,讨价还价,,,,,,
明天我看看,讨价还价,,,,,,
能不能在少点,讨价还价,,,,,,
能不能在给点时间,讨价还价,,,,,,
能不能分期还,讨价还价,,,,,,
能不能减免,讨价还价,,,,,,
能不能减免点,讨价还价,,,,,,
能不能借到,讨价还价,,,,,,
能不能少点,讨价还价,,,,,,
能不能少点啊,讨价还价,,,,,,
朋友说借我,讨价还价,,,,,,
钱还没到,讨价还价,,,,,,
钱到账还,讨价还价,,,,,,
钱到位了联系你,讨价还价,,,,,,
