from,label,original_label,original_text,new_label,
讨价还价,2,100,帅哥，帮帮忙喽，靠你了,2,
请求更新金额,2,110,还了以后不会在要钱了吧？,106,
讨价还价,2,100,等他还了我就还,1,
CutDebt,1,,我真的只能借到这么多，你在逼我我就只能等你们起诉！,1,
讨价还价,2,100,过几天,1,
CutDebt,1,,能不能分期还,100,
CutDebt,1,,以前都还过了，怎么还这么高啊,102,
讨价还价,2,100,我尽量,106,
Installment,0,,我乐意,0,
CutDebt,1,,现在钱还没到,1,
讨价还价,2,100,能不能在给点时间,100,
模糊确认,2,106,ok,0,
故意岔开话题,2,109,借钱,1,
Installment,0,,等下个月月底吧,0,
模糊确认,2,106,放心吧，相信我,0,
CutDebt,1,,过两天,1,
讨价还价,2,100,还早吧,106,
故意岔开话题,2,109,小生的花伞还落在你家,2,
Installment,0,,就按照你说的,0,
CutDebt,1,,看看再说,1,
CutDebt,1,,到时再说,1,
CutDebt,0,,明天我打你电话,104,
讨价还价,2,100,朋友还没回复我，现在不知道！,1,
CutDebt,0,,那就好,0,
Installment,0,,等下我找我朋友帮我存下钱,106,
讨价还价,2,100,短时间还不上,1,
CutDebt,1,,再说,1,
CutDebt,1,,朋友钱没给我,1,
模糊确认,2,106,我有钱哈,2,
讨价还价,2,100,别人还没还我钱了,1,
Installment,0,,我可以答应你们的,0,
CutDebt,1,,等我跟老板商量能预支工资不,1,
讨价还价,2,100,我尽快处理,106,
故意岔开话题,2,109,点都不乖,2,
CutDebt,1,,跟老板预支看看,1,
讨价还价,2,100,我再去凑凑,1,
讨价还价,2,100,朋友钱还没转过来。,1,
Installment,0,,爽,106,
请求等下打来,2,104,现在没有时间,2,
讨价还价,2,100,我凑看看,106,
CutDebt,1,,尽量,106,
CutDebt,1,,贷款今天不确定下来,1,
CutDebt,1,,我考虑一下,106,
CutDebt,1,,过几天就处理.,106,
CutDebt,1,,钱打到卡，我联系你,106,
CutDebt,1,,朋友钱还没给我,1,
CutDebt,0,,可以相信,0,
讨价还价,2,100,又不是不还,106,
模糊确认,2,106,发工资处理,2,
CutDebt,1,,不认识,-1,
CutDebt,1,,等我忙完,104,
Installment,0,,知道了,106,
故意岔开话题,2,109,多摆一盘？,2,
CutDebt,1,,后天再说,104,
故意岔开话题,2,109,家里有人生病,-1,
模糊确认,2,106,行,0,
CutDebt,0,,在领工资,106,
模糊确认,2,106,到时候我联系你扣款,2,
CutDebt,0,,你把账号发给我,108,
CutDebt,1,,我现在资金上出了点问题,1,
CutDebt,1,,这个时间紧啊,1,
讨价还价,2,100,你帮我减免一点,2,
讨价还价,2,100,我周转看看,106,
CutDebt,1,,力度不够啥。,100,
讨价还价,2,100,我可以延期吗,2,
讨价还价,2,100,我一定给你办好,0,
CutDebt,1,,我在问朋友借一下,106,
模糊确认,2,106,考虑考虑,2,
CutDebt,1,,在拖拖吧,1,
CutDebt,1,,我在上班,104,
故意岔开话题,2,109,一上午的时间就浪费了,2,
讨价还价,2,100,本金我能够处理,100,
讨价还价,2,100,给我时间,100,
