label,split_text
0,我 这边 下午 三点 之前 保证 还   我 发誓 。
2,我 马上 上 飞机 了
0,现在 存钱
0,下班 就 处理
2,呵呵
1,这么 多钱   一下子 凑 不齐
0,说到做到
2,信号 不好
1,哼
2,正在 凑钱
1,只愿 还 本金
2,现在 忙   等 下 我 自己 还
2,我 现在 上班 。
0,可以   绝对 没 问题
1,可以 再 延期 久 一点 么
0,我 找 朋友 借钱
1,我 现在 没 钱
0,以到 银行卡
1,时间 太短 了   不行
2,你 打错 了
0,应该 可以
0,可以
0,  可以 吗
0,可以 的
0,马上 就 还
0,马上 还 上
1,我 吃饱 了
0,没 问题
0,肯定 还
2,不 晓得 喃
0,行   我 马上 打钱
0,等 下 我 去 借钱
1,再多延 几期 啥 ？
2,  一概 能 处理 部分 吧
2,我 现在 在 忙   你 以后 再 联系 我
0,马上 去 银行
2,你 大点声
2,不 认识
0,给 我     发了 工资 就 还   我     发工资 ！
1,  有事
1,XX 天内 可能 还 不了
0,好 的
0,没 得 问题   我 先 还   帮 我 延期
0,好好 好要 得 啦
0,等 我 这 批货 卖出去 的
0,好好
2,我 在 开车
0,嗯   我 知道 了 。
1,少 一点
1,朋友 还 没 给 的 答复
1,金额 太高   我 想想 办
2,挂断
2,呵呵 呵呵
2,不能
0,确认 还款 方式
1,减免 太少 了   能 在 多 减免 一下 么   实在 还 不了 呢
2,你 这能 减免   我 就 还
1,少 还 一点
1,还 没到 账
0,好   现在 就 处理
2,我 朋友 在
0,这样的话 我   还
1,现在 真 没 钱
2,不 认识 不 认识
2,  之前
1,等 工程款 下来 一次性 还
0,  还
2,不 一定
1,我 尽量 去 凑
0,好   这 样子 不错 哦
0,要 2 天
0,想 办法
1,每期 还 的 钱 还是 太多 了
1,太多 了   我 正在 筹钱
0,我 同意
0,这部分 我 还 的 起 没意思
0,我 等 下马 上 就 还
1,骂人
0,在 晚 几天 吧
2,等 下 好 吧
0,你 放心   我 准时 还 进去
2,没空
0,支持
0,那要 得 嘛 哈哈哈
0,这个 没 问题   没意思
0,一定 还
2,唱歌
0,  这样的话 没 问题
1,在 路上
2,我 尽力 吧
0,可以 先 还
1,工程款 没 下来
2,我 工资 发了 就 处理 ！
2,骂人
1,数额 太 大   考虑 考虑
1,这样 啊   这么 短 的 时间 可能 不行
2,必须 先有 还款 诚意 才能 减免
0,先换 一部分
0,行
0,再 等 我 一分钟
1,可以 少 一点
1,我 钱 不够
0,只有 这点
0,我 保证
1,我 朋友 到 月底 才 给 我
0,好 的 我会 按照 这个 还 钱 的
0,那 我   就 先 还 部分
2,我 现在 没 在 成都 的   回来 了 联系 你 哈 ！
0,绝对 没 问题
0,我 马上转 过来
0,把 账户 发来
2,我 再 山上
1,  的
2,我 再 看吧
1,金额 太 大 想想 办法
2,你 打算 怎么 处理 ？
2,不 说话
2,不 说 了 哦
2,出车祸 了
0,发工资 就 还
0,马上 换
1,这样 吧   我 现在 没有 那么 多钱   我能 处理 多少 是 多少
1,没   不行
0,我 去 核实
2,不 晓得 你 是 哪个
1,有点 难度   能 再 减半 吗
1,不 可以   有钱 了 我 自然 会 还
2,贷款   不 确定 下来
0,好好 好要 得 哈
1,我 现在 没有
1,有 什么 事
0,2 月 28 还
0,减免 下来 处理
2,你 说 拨打 的 用户   已经 裸奔 出 服务区
0,我 把 现有 的 先 还 了
0,可以   下午 就 能 还
2,听不见
0,我 没 意见
0,我 朋友   钱 给 我
0, 
1,我 现在 没有 工作
0,等等
1,我 尽量 吧
0,待 会 处理
2,朋友 还 没 回复 我   现在 不 知道 ！
2,我 去 银行
1,月底 发工资
2,我 现在 睡觉   没空 。
0,等等   我 在 和 朋友 要钱 ！
0,我 下午 联系 你
0,肯定 行
0,  晚上 处理
2,你 吃饭 了 么
0,  就 办
1,不 多 延期   我 就 不 还 了
2,能 不能 大点声
1,违约金 高
1,本金
1,可以 在 少 一点 吗
2,啊 什么
0,你 记 一下 这个 电话   如果 联系 不到 我   找 他 也 可以
1,可以 在 短时间 在 还 吗 ？
0,可以   非常感谢
2,在 看球赛   不要 烦 我
2,一会 我 看看
1,钱 不够
1,钱 没有 到 账
0,  后 还
0,太 感谢 了
0,这部分 我 还 的 起
0,你 把 账号 给 我
1,多 给 点 时间
2,我 知道 了   我 想 办法
0,  换 呢
0,到 银行 打钱
0,放心
1,不 可能
0,我 自己 处理
0,绝对 没 问题 ； 马上 处理
0,到时候 我 联系 你 扣款
2,我过 60 分钟 给 你 回 电话
1,还 不了
0,凑 到 这么 多钱 了
1,不够
1,不 可以   我 实在 没钱 了
0,我 可以 先 还 一点
2,等 我 5 分钟
2,朋友 没 给 我
0,好 的   我 可以 先 还 这个 呀
0,是 的 吧
2,我 在 上班
1,要 还 的 太 多   一次 还 不了
0,谢谢 啦
2,我待 还 联系 你
2,晚上 联系
1,你 给 我点 时间
2,不 方便
1,这样 啊 这么 短 的 时间 怎么 可能
1,没 发工资
1,  没有 发工资   不行
2,信号 不好   没 听 清
1,朋友 还 没 给 答复
0,我 找 老板 预支 工资 还 上
1,再 宽限 点 时间 吧
0,太好了
0,我 先 还 xx
2,饭 都 吃不起
1,两天 时间 还 不 上 。
0,这样的话 没 问题   没意思
1,可以 少 还 一点
0,可以 的   绝对 没 问题
1,在 山上
0,好 的 那样 就 好
1,可以 等 245   吗
1,等 发工资
2,还 没 借到 钱 。
0,发工资 就 处理
0,我 这边 跟 你 是 晚上 联系
1,你 去 起诉 吧
0,好 嘛 好 嘛   看 你 天天 打   我 就 先 还 到 点 嘛
2,我 在 上班   下班 说
1,不行 真的 还 不了
1,这个 金额 太高 的   再 缓缓
0,现在 就 去 还
1,没有 还款 记录 不会 延期 的
0,不 存在 任何 问题 。
2,好 的
0,下班 就 去 处理
2,为什么 你们 要 逼 我 嗯
0,这 样子 我 就 还 的 起 了
0,马上 处理
0,钱 2 小时 就 还 上
2,你 慢慢说
0,什么
2,我 不 方便
0,随时 都 可以
0,待会 就 去 处理
0,这点 钱 还是 可以 还
1,可以 延期 久点 吗
2,我 在 联系 你
1,我 还 得 再 想想 哦 。
1,借 不到 钱
1,有 困难
0,6 点 之前 到位
2,我 现在 在 上班   等 一下 联系 你
2,哦 哦
1,你 再 多 减点 噻   一点 诚意 者 莫得   没意思
2,还是 太 多
1,我 肯定 还   但   还 不了
1,你 再 多 减点 噻   一点 诚意 者 没得 啦
1,时间 太短
0,马上
2,我 看 情况
2,看 情况
0,13 号
0,我 在 上班
2,你 去 超市 吗
2,没有 钱
2,我 考虑 考虑
1,过段时间
0,时间
0,在 去 银行
0,我 这边 下午 九点 之前 保证 还   我 发誓 。
0,嗯   好
2,等 会 我 朋友 给 我 钱 再说
0,我 满意
1,这么 短时间 可能 不行
0,你 说 的 部分 是 多少
2,不 知道
2,我 现在 在 睡觉
1,再 给 我 几天 ！
2,我 等 会 联系 你
1,家里 发生 了 事   处理 不了
0,15 号 前
2,信号 不好   等 会 打 给 你 ！
2,你 声音 大 一点
1,我 身份证 银行卡 都 丢 了
1,no
0,给 我   时间
1,我 问 一下 家里 能 不能 凑 到
0,我 找 哥哥 借钱 还 上
0,恩
2,听不清
2,看   能 不能 发工资
0,负担 小多 了 。
0,看下 APP 处理
2,再说 一遍
0,  可以 处理 1000 剩下 的   处理
2,等 会 联系
2,等 会
2,挂机
0,没有 问题 了   不 可以 也 可以 了 。
0,行 的
0,可以 多 还 点 吗
0,好 的   我 知道 了 ！
1,时间 长点
0,马上 在 银行
2,等 发 了 工资 的
1,我 想想 办法
1,这样 啊
1,我 没有 那么 多钱 可以 再少 一点 吗
1,财务 说 马上发 工资
2,你 吃 嗨 了 吗
0,一定 可以
0,  可以
0,马上 就 处理
0,  吧
2,这里 信号 不好
2,下午 之前
0,这样的话 我   就 还
1,真的 不能
0,立刻
2,我 听不见
2,后 年 再说
0,可以 奥
0,可以 ； 我 同意   这样 我 就 能 还得起 了 ； 谢谢
0,这 可以   延期 好久 哈哈哈
2,没 信号
0,我 等 会 看 有 多少
1,我 一下子 没 那么 多钱   帮 我 分期
2,正在 银行
1,能 不能 少 还 点
0,转好 了
2,有
0,这下 就 可以 还 了
2,好 了   先聊 到 这   我 这边 有 其他 事情   晚点 再说
1,可以 多分 几次 吗
0,现在 我 就 去 银行
0,放心   绝对 没 问题
2,我 想 睡觉
2,你 吃饭 了 吗
0,15 号 就 能 还款
2,不要 催会 还
1,不 认识
2,晚上 再说
0,月底 肯定 会 还
1,我 不 一定 能 凑 到 钱
1,给 其 施压
1,没 钱
0,可以   我 下班 就 去
0,资金 一 到位 就 处理
1,还 不 上
0,这样 就 能 处理 了
1,想想 办法 现在 没 办法
2,哈哈哈 哈哈 你们 真 搞笑
1,在 拖拖 吧
1,  不行
1,这个 金额 太高 了
0,先 还 一部分
0,放心 吧   能够 处理 了
0,我 先 还 1600
0,真假 的
2,我 回家 看看
0,肯定 可以
0,这部分 的 我 还 的 起
2,我 在 医院
2,我要 和 家人 商量一下 ！
0,知道 了
1,借 不到
1,再 给 我       之后 我 一定 连本带利 一起 还   你 看行 吗
1,能 不能 下个星期
2,我 在 开会
0,咦   嫩 真 好
1,时间 太短 了
0,可以 的   先 还 一点
2,你好 可爱
1,  再说
0,没 问题 的
0,肯定 行 的
2,你 说 拨打 的 用户   他 没 啦
2,等等 就 处理
1,公司 拖 工资 了   还 没发 呢   发了 我 第一 时间 还哈 。
1,我 再 凑凑
2,我 吃饭 了
0,不 认识
1,这个 金额 太高
1,  不行   我 25 号 才 发工资
1,我 没有 啊
2,再说 吧
2,你   2 点钟 必须 还 XXX 款
1,我 找 人 借借
1,那 我 就 不 还 了
0,马上 还
2,  我 联系 你
2,等 我 打 给 你
2,工资 不 确定 发不发
0,好   好
2,我 睡觉 了
2,能 结清 吗
0,保证 还 上
0,行 啊
0,谢谢
2,可能 不行
0,  就 可以
1,可以 多 延期 久 一点 吗
1,你 等 一下 打 过来
1,这个 时间 内   问题 大 了
1,帅哥   可以 拖延 一下 吗
0,我 可以
0,我 马上 用 手机 银行 转账
2,我   给 你 答复
0,可以 在 xx 天内 还
0,这样 还 差不多
0,不 知道
0,肯定 可以 还 上 。
0,问题 解决 了   就 这样 定 了 。
0,嗯 嗯
0,都 这样 了 我 不 还 还是 个人 吗
2,我 去 借钱 看看   借到 就 处理
0,月底 肯定 能 还
1,在 干活
1,看看 到时候 能 有 多少 钱 我 先 还 上
0,同意
2,我 在 高速 上
0,我 知道 了
1,延期 得 不够 诚意 啊   不 和 你们 玩 了
2,要是 不 确定 回头 再 联系
1,到 时 再说
0,  后
1,朋友 说 帮 我 凑点 的
1,时间 太短 了   我 一下 拿 不 出来 这么 多 现金
2,我 考虑一下
0,我 五点 去 换
1,给 我点 时间
1,  不行   我 尽快 试试
0,我 可以 先 还
1,无法 处理
2,我 现在 借钱
2,家里 信号 不好
0,钱 在 卡里
0,你 等等
0,OK
0,这么 说定了
1,再 宽限 几天
2,我 不 懂
0,我 怎么 还
0,能
1,可能 不行
2,  再说
0,剩下 的   还
