label,split_text
1,打错了
1,不打错电话了哇
1,不好意思，你打错电话了
1,不会是你搞错了哇
1,不了解
1,不是本人
1,不在
1,此人已死，有事烧纸！
1,打她电话，打我电话干嘛
1,电话费不要钱啊？天天乱打。
1,都给你说了，别再打了，你听不懂吗？
1,搞错了
1,哈哈，打错了
1,开玩笑
1,那么多XXX，你说的是哪一个
1,你打错了
0,你都打过来了还问是不是
1,你还是找本人吧
1,你妹啊，搞错了哇
1,你去问他
1,你去找他呀
1,你认识你自己找
1,你认识他啊
1,你认识他吗？
1,你是不是打错了
1,你是不是打错了哦
1,你是不是找错人了
1,你找错人了
1,你找我没用啊
1,你找张三打我电话干嘛
1,你自己联系他
1,你自己去找
1,失踪了
1,他的事你直接去找他，别找我
1,跳楼了
1,为什么打我家人电话
1,我都已经说了不认识了
1,我还是张大大呢
1,我朋友
1,我认不到你说的那个人
1,我是她爸爸
1,我应该认识他吗
1,我这里不是你要找的人
1,这人是干什么的
1,这人怎么了
1,这是我的电话
1,最近他有没有和你联系啊
1,不认识
1,不认识，不要再打过来了啊
