category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment,strategy
否定身份,100,1.0,1.0,0.0,1.0,1.0,1.0,在ConfirmLoan否定自己是某某，跳到IfknowDebtor
肯定身份,101,1.0,0.0,1.0,1.0,1.0,1.0,在IfknowDebtor承认自己是某某，调到confirmLoan
确认数额,102,1.0,1.0,1.0,0.0,1.0,1.0,告知欠款明细并施压
确认数额,102,1.0,1.0,1.0,1.0,0.0,1.0,1.核资内容（你逾期XX、欠款多少、利息多少，滞纳金多少等等） 2.减免之后需要多少钱 
确认数额,102,1.0,1.0,1.0,1.0,1.0,0.0,1.核资内容（你逾期XX、欠款多少、利息多少，滞纳金多少等等） 
请求重复,103,0.0,0.0,0.0,0.0,0.0,0.0,重复刚才说的催收话术，换一条新的话术
请求等下打来,104,0.0,0.0,0.0,0.0,0.0,0.0,约定下次时间：过一会打给你
其它通讯方式,105,1.0,1.0,1.0,0.0,1.0,1.0,（记录通讯方式，例如微信号等，告知马上会有一个主管联系他）
模糊确认,106,1.0,1.0,1.0,0.0,0.0,0.0,对应节点施压，level1
回问身份,107,1.0,1.0,0.0,0.0,0.0,0.0,施压
回问身份,107,0.0,1.0,1.0,1.0,1.0,1.0,跳到cofirmloan
回问身份,107,1.0,0.0,1.0,1.0,1.0,1.0,跳到ifknowdebtor+自我介绍
还款方式,108,1.0,1.0,1.0,0.0,0.0,0.0,告诉支付途径
还款方式,108,1.0,1.0,0.0,1.0,1.0,1.0,告诉支付途径并跳到Willing2Pay
故意岔开话题,109,0.0,0.0,0.0,0.0,0.0,0.0,增加一个共用节点，话题回转拉回主题，然后施压：随着扯的次数施压加重
请求更新金额,110,1.0,1.0,1.0,1.0,0.0,0.0,更新金额，并返回问题。
请求等待,111,0.0,0.0,0.0,0.0,0.0,0.0,请求等待一段时间，稍后继续通话
已经还清,112,1.0,1.0,0.0,0.0,1.0,1.0,请求等待一段时间，稍后继续通话
