label,split_text
0,什么事
0,啊
1,你有病吧我跟你说过很多次了我不是他
1,不是什么事
1,不认识
0,啊对
0,对
0,对
1,我不是啊
0,噢
0,啊
0,啊
0,啊对
0,嗯你说
0,是的呀
0,对啊
0,啊对
0,啊对
0,噢对
0,嗯那
0,啊
0,嗯
0,嗯
0,对对
0,啊
0,嗯唉
0,嗯嗯
0,嗯
0,嗯是的
0,啊对
0,对
0,啊
0,似的似的
0,啊
0,唉
0,是
0,啊
0,噢对对对对对
0,哦对
0,噢您好
0,啊对对对唉你好
1,不是你打错了
1,噢我不是我说了你这个大哥打错了
0,啊对
0,是噢您好
0,唉
0,嗯
0,啊
0,嗯对
0,对对
0,对
0,是的
0,唉是的是的
0,是啊是啊
0,是的唉你好
0,啊啊
0,对
0,啊
0,嗯是的你是谁
0,是的您哪位
1,我不是你找谁
1,不是你是谁
1,你打错了
1,不是你是不是打错了
1,我不认识这个人
0,嗯是
0,你好
0,唉你好
0,我就是
0,是的
0,我是你好
0,什么事
0,我是有什么事
1,不是你打错了吧
1,打错了吧
1,他不在我是他同事
1,他很久没有回家了
1,我是他妈妈
0,我有急事
0,我在开会
1,你打错号码了
0,是我
0,不要再来烦我了
0,嗯找我什么事
0,对你是谁呀
0,嗯我是
0,我是有事吗
1,他出去了您稍等一下
1,不是不是没有这个人
0,嗯你好
0,嗯哎
0,说吧
0,对的我是
1,我说过很多次了我不是
0,不要再来折腾我了我没钱还
0,知道你是来催钱的老子没钱
0,我现在连饭都吃不上哪有钱还
1,你傻叉呀我不是
0,嗯嗯是我请问你是
1,他手机放我这了他现在出去了
0,对对我是找我干什么
1,我是李大宝不是张二狗
1,我不是你打错电话了
1,求求你们不要再打电话给我了我真的不是
0,我是的但是现在没有钱还再宽限几天吧
1,我不是你要找的人
1,你们找她有什么事么他现在不在
1,我不是的拜拜
1,他已经被警方逮捕了
0,我是嗯呢
1,对不起我不是
0,今天天气真好找我有什么事么
0,嗯嗯你们要干嘛
0,我是的你们是催收公司的么
1,我是他哥他的手机送给我了
1,你好他不在
0,哦对对
0,嗯我现在比较忙
0,嗯嗯有什么事吗
1,我不是请你不要再打扰我了
0,你好小哥我暂时手头有点紧
1,我不是他找他干嘛
0,哎哎
0,你好我就是你是谁
1,啊不是
0,啊你好
0,找我有什么事情吗
0,你是来要钱的吗
0,嗯嗯嗯
1,不是你找谁啊
1,我不知道你说的是谁
1,不是不是啊
0,哦嗯是的是的
0,是我
1,没有啊我不是的
0,是的嗯
0,啊对的
0,嗯是的呀
0,是是是
0,啊是的是的
0,啊对的是我
0,对的你好
0,啊是是是是是
1,不是的啊
1,没有这个人啊
0,嗯你好怎么了
0,啊是的你好
0,对呀
0,啊找我什么事
0,啊啊对我是的
0,啊你是哪位
0,啊嗯你是
0,啊哈你是谁呀找我什么事
0,啊啊是我
0,啊啊我是
0,啊我不认识你你要干什么
0,啊啊没错是我
0,啊你找我要做什么我们似乎不认识
1,你打错电话了我不是
1,我不是你是哪位
1,你可能打错电话了
1,这个人不是我
1,我不是XX你找错人了
1,你找错人了
1,抱歉你打错了拜拜
1,我不是你要找的人
1,你找的人不是我
1,你是谁打错电话了
1,你找错人了你是谁
1,对不起我不是你要找的人
1,对不起你打错电话了
0,对的你是哪位
0,对的找我有事么
0,对但我不认识你呀
0,对的你是
0,对我们认识么
0,对你找我要干什么
0,对我认识你么
0,对我们不认识吧找我什么事
0,对你怎么有我联系方式
0,嗯我还有事待会回你
0,嗯嗯我比较忙待会联系
0,嗯嗯我现在不方便待会打给你
0,嗯我在开车待会再说
0,嗯嗯之后再联系你现在有事
0,嗯嗯还在上班晚点联系你
0,嗯嗯还在路上回家再联系你
0,嗯嗯找我做什么
0,嗯嗯你怎么找到我的
0,嗯你是骗子么
0,嗯嗯什么事
0,嗯我是你是哪位
0,嗯我是你是
0,嗯嗯我不认识你呀找我有事么
0,嗯嗯我是的有事么
0,嗯嗯什么事呀你是谁
1,你个骗子都说了我不是
1,他出去了
1,他去吃饭了
1,他去取快递了
1,他人不在
1,他去买水喝了
1,他在上班
1,他出去耍了
1,他在休息
1,他正在洗漱
1,他在跑步
1,他还有事
1,你是不是脑子有问题都说了那么多遍了我不是
1,你是傻子么都说了我不是
1,我说你这人怎么这样呀我不是
1,你脑子进水了吧还打过来我不是
1,你忘记吃药了吧我不是
1,你怎么这么固执我不是
1,你打电话打傻了吧都说了几百遍了我不是
1,不要再打电话过来了我不是
1,不要再来打扰我了都说了我不是
0,我没有钱
0,再等几天吧马上我就可以有钱了
1,是你大爷
1,是你爸
1,是你妹
1,你是不是有病
0,啊什么事
1,我是他爸
1,我是他妈妈
1,我是他邻居
1,他换电话了
1,你爸才是
1,是个屁
1,打错了
0,啊
0,是你哪位
1,不是你哪位
1,不是你打错了
0,怎么了
1,不好意思打错了
1,说了不是
1,你大爷才是
1,是你妈
1,我不是
1,打错了
1,不是
1,我不是
1,不是
1,不是的，他在忙什么事
0,是
1,我不是
1,我不是
1,不是
1,不是
1,你是不是打错了
1,不是得。
1,我是她的朋友
1,不是，我的号码刚买的
1,我不是
1,我不是他
1,我吗？不是吧
1,不是我，你找错人了
1,不是
1,我不是
1,不是
1,不是
1,不是
1,不是
1,我不是
1,不是，你是谁？
1,我不是
1,打错了
1,不好意思，你打错电话了，
1,不是的
1,不是你是谁
1,不是本人，这是朋友给的号码
1,我不是
1,不是，你是谁？
1,我不是
1,打错了
1,我不是
1,不是，打错了
1,我不是
1,我不是
1,打错了
1,我不是
1,打错了
1,我不是xx
1,不是本人
1,打错了
1,我不是
1,我不是
1,号码刚换的
1,我不是
1,我是他爹
1,不是
1,我不是
1,我不是
1,我不是
1,刚办的号
1,我是他朋友
1,不是
1,我不是
1,我不是打错了，挂
1,我不是
1,不是。
1,你打错了
1,不是
1,打错了
1,你打错了！
1,我不是
1,不是
1,打错了
1,你打错了
1,不是
1,我不是
1,我不是
1,我不是
1,不是，我是他朋友，他出去了
1,我不是
1,不是
1,你打错了
1,你打错了
1,号码刚刚用
1,他现在不在，等会再打过了
1,不是
1,你找错人了
0,是
0,是
1,张三谁啊
1,你打错了
1,认不到。
1,这是我捡到的手机
1,你找错人了
1,我不是她
1,哈哈哈，不是
1,不是我
1,打错了吧
1,你找错了
1,滚
1,打错了
1,你打错了
1,打错了
1,我不是
1,他出去了
1,你找错人了
1,不知道
1,不好意思，我在开车，你打错了，
1,号码刚办的
1,不是，这是刚换的号码
1,你打错了
1,你找错人了
1,不知道
1,你找错人了
1,你找错人了
1,不是
1,你找错人了
1,你打错了
1,我不是
1,不知道
1,不知道
1,你打错了
1,打错了
1,你找错人了
1,你打错了
1,找错人了
1,我不是
1,你找错人
1,打错了
1,他手机在我这充电
1,你打错电话了
1,打错了
1,你打错了
0,是，哪位什么事
1,你找错人了
1,你打错了吧？
1,不是本人
1,打错了
1,号码刚换的
1,我不是！
1,你找错人了
1,你打错了吧
1,号码刚换的
1,你找错人了
1,你找错人了
1,不是，刚换的号码
1,你打错了
1,他不在
1,他不在
1,我是她朋友，他手机丢我这了
1,你打错了
1,他正在卡车
1,你确定没打错？
1,没得这个人。
1,这是我刚办的卡
1,他在开车
1,不是我
1,不是不是不是
1,你找错人了
1,我刚换的号码
1,不知道
1,打错了吧
1,找错人了
1,我真的不是
1,不知道
1,号码新换的
1,我不是，别打我电话
1,我刚办的号码
1,他在开车
1,不知道
1,不好意思，
1,不是，我是他朋友
1,我不认识
1,号码刚办理的
1,他有事
1,号码刚换的
1,找错人了
