split_text,classifier,label
no problem,PTPConfirm,0
ok,PTPConfirm,0
ok,PTPConfirm,0
OK,PTPConfirm,0
OK，OK，都说过了没问题，放心吧。,PTPConfirm,0
ok，我会提前给你们打过来,PTPConfirm,0
ok，我一定准时还款,PTPConfirm,0
ok。我会在规定时间内换上,PTPConfirm,0
"啊，五环，你不六环少一环, 行，我会想办法的, 仔细参考问题进行回答。确认",PTPConfirm,0
"啊，五环，你不六环少一环, 要得，我知道, 是的",PTPConfirm,0
"啊，五环，你不六环少一环。好好，我听到起在,是的",PTPConfirm,0
安啦，我也是做生意的，做生意最重要是讲信用，说到做到。,PTPConfirm,0
不摆了，没得问题。,PTPConfirm,0
不会耽搁的,PTPConfirm,0
不是已经说过了吗，就按这个来。,PTPConfirm,0
"不想跟你说话。我晓得,你们这还挺谨慎的，是的啊",PTPConfirm,0
"不要闹, 哦，知道, 是的",PTPConfirm,0
当然的。,PTPConfirm,0
对,PTPConfirm,0
对,PTPConfirm,0
对,PTPConfirm,0
对,PTPConfirm,0
对，是那么多钱,PTPConfirm,0
对，是这个时间,PTPConfirm,0
对，是这个数目,PTPConfirm,0
对，是这个数字,PTPConfirm,0
对，我承诺,PTPConfirm,0
对，我说过,PTPConfirm,0
对，在此之前一定还清,PTPConfirm,0
对啊,PTPConfirm,0
对啊,PTPConfirm,0
对啊，这个月会还的,PTPConfirm,0
对的,PTPConfirm,0
对的,PTPConfirm,0
对的，需要再说一次啊,PTPConfirm,0
对对对,PTPConfirm,0
对是，保证能还,PTPConfirm,0
多谢提醒，我一定会记住的。,PTPConfirm,0
嗯,PTPConfirm,0
嗯,PTPConfirm,0
嗯,PTPConfirm,0
嗯，可以。,PTPConfirm,0
嗯，没问题,PTPConfirm,0
嗯，是的，我不会耍赖的,PTPConfirm,0
嗯，我会在规定时间内换上,PTPConfirm,0
嗯，我会在规定时间内换上,PTPConfirm,0
嗯，我马上给你打过去,PTPConfirm,0
嗯，月底就发工资了，肯定能还上,PTPConfirm,0
