label,split_text,classifier,new_label,comment,uncertain,predict_label,original_index
1,不好 处理,CutDebt,1,,,0,14
0,发工资 处理,CutDebt,1,！！工程款下来就还／能放的1先放1；106很模糊的词语,,0,46
1,得 等,CutDebt,1,,,0,69
0,十五号 发工资 还,CutDebt,0,,,1,86
1,朋友 转过 来 就 还 上,CutDebt,1,,,0,111
0,我 接受,CutDebt,0,？,,1,121
0,棒棒 哒     还,CutDebt,0,,,1,238
0,确定 能 结清,CutDebt,0,,,1,277
0,钱 打 到 卡   我 联系 你,CutDebt,0,,,1,278
1,有钱 我 就 还,CutDebt,1,,,0,290
0,这么 说定了,CutDebt,0,,,1,313
0,等等   我 下班 去存,CutDebt,0,,,1,325
0,就 这么 办,CutDebt,0,,,1,355
0,  哦,CutDebt,0,,,1,383
1,等等 的,CutDebt,1,,,0,443
0,已经 在 操作 了,CutDebt,0,,,1,468
0,这 都 是 可行 的,CutDebt,0,,,1,519
1,全免 了 我 可以 接受,CutDebt,1,,,0,526
1,这个 时间 内   肯定 有 问题,CutDebt,1,,,0,527
1,如果 老板 不 拖欠 马上 还,CutDebt,1,,,0,531
0,下 月 还,CutDebt,0,,,1,534
0,这 几天 就行,CutDebt,0,,,1,562
1,这样 啊   这个 时间 不 一定 可以 啊,CutDebt,1,,,0,599
0,我 准备 第   还 啊,CutDebt,0,,,1,620
0,我 现在 换,CutDebt,0,,,1,621
0,都行,CutDebt,0,,,1,623
0,OKOK,CutDebt,0,,,1,654
0,钱 马上 到位,CutDebt,0,,,1,709
0,资金 一 到位 就 处理,CutDebt,1,,,0,733
1,我 没 准备 好 还,CutDebt,1,,,0,756
0,  就 还   你 急 啥,CutDebt,0,,,1,758
0,没 啥 不 可以 的 了 。,CutDebt,0,,,1,762
0,等 会 就让 家人 帮 我 还,CutDebt,0,,,1,778
1,你 不是 已经 说 过 了 吗 肯定 会 还 的,CutDebt,1,,,0,801
0,要不了 那么 长时间,CutDebt,0,,,1,804
0,  要 得 不 ？,CutDebt,0,,,1,805
0,行 呢   我 朋友 说 今晚 借给 我滴,CutDebt,0,,,1,857
0,借钱 还,CutDebt,0,,,1,862
1,假 的,CutDebt,1,,,0,873
0,我 说 了 十号 你别 打电话 了 ！,CutDebt,0,,,1,884
0,我 身上 正好 够,CutDebt,0,,,1,887
1,这个 不是 我 说了算 的   我 也 想 马上 还 进去,CutDebt,1,,,0,907
0,自己 在 app 还,CutDebt,0,,,1,910
0,发工资 就 处理,CutDebt,1,,,0,915
0,就 这么 说 了,CutDebt,0,,,1,942
0,我   还,CutDebt,0,,,1,973
1,你 帮 我 处理,CutDebt,1,,,0,985
0,这个 时间 很 合适,CutDebt,0,？,,1,1019
0,过半 小时 你 扣款,CutDebt,0,,,1,1046
1,如果 钱到 我会 还,CutDebt,1,,,0,1073
1,还 你 妹,CutDebt,1,,,0,1091
0,我 爸妈   帮 我 还,CutDebt,0,,,1,1139
1,没 得 什么 好 说 的,CutDebt,1,,,0,1146
0,我 现在 通过 微信 还,CutDebt,0,,,1,1172
1,钱 到 就 还,CutDebt,1,,,0,1191
0,会得   会得 。,CutDebt,0,,,1,1271
1,我 难得 还 了,CutDebt,1,,,0,1289
1,  处理,CutDebt,1,！目前全标1,,0,1298
0,2 月 28 还,CutDebt,0,,,1,1318
0,利息 全免   好 啊,CutDebt,0,,,1,1329
0,早就 嘛   我 早就 可以 还给 你们 了,CutDebt,0,,,1,1332
1,这个 时间 内   有 问题,CutDebt,1,,,0,1346
0,下个 礼拜 可以 么 我 处理 一点 进去,CutDebt,1,,,0,1371
1,我 可以 延期 吗,CutDebt,1,,,0,1375
0,减免   处理,CutDebt,0,,,1,1430
0,时间 够 了,CutDebt,0,,,1,1431
0,现在 在 弄,CutDebt,0,,,1,1433
0,现在 在 转,CutDebt,0,,,1,1456
0,我 马上转,CutDebt,0,,,1,1460
0,我 帮 她 还,CutDebt,0,,,1,1472
0,钱 刚好 够,CutDebt,0,,,1,1508
0,可以   我 在 两天 以内 处理,CutDebt,0,,,1,1511
1,能减 本金 就 好 了,CutDebt,1,,,0,1556
0,行嘛 。,CutDebt,0,,,1,1595
0,可以 在 规定 时间 内 呀,CutDebt,0,,,1,1599
0,赞同,CutDebt,0,,,1,1604
0,  发工资 处理,CutDebt,0,,,1,1618
0,我 现在 回家 拿 钱,CutDebt,0,,,1,1643
0,我 没 意见,CutDebt,0,,,1,1662
0,好   那 我 给 你们 转过 来,CutDebt,0,,,1,1676
0,yes,CutDebt,0,,,1,1696
0,恩,CutDebt,0,！,,1,1700
1,一定 要   ？,CutDebt,1,,,0,1720
1,欠 好 多家,CutDebt,1,,,0,1729
0,  就 还,CutDebt,1,,,0,1735
0,钱 马上 到 账 了   你 急 什么 ！,CutDebt,0,,,1,1740
1,发 奖金 我 就 还,CutDebt,1,,,0,1772
0,那好 吧,CutDebt,0,,,1,1800
0,中,CutDebt,0,,,1,1830
1,不如 你们 把 本金 也 免 了 吧   这样 我 就 还得起 了,CutDebt,1,,,0,1835
0,得行 。,CutDebt,0,,,1,1842
0,我 只有   还 了,CutDebt,0,,,1,1843
0,认真 的 告诉 你们   这个 请求 我 接受 了,CutDebt,0,,,1,1847
0,  行 吗,CutDebt,0,,,1,1877
0,那好 啊,CutDebt,0,,,1,1879
0,  到 账,CutDebt,0,,,1,1892
0,25 号 处理,CutDebt,0,,,1,1909
0,问 家里人 要 把 钱 还 上,CutDebt,0,,,1,1915
0,正在 转,CutDebt,0,,,1,1916
0,以到 银行卡,CutDebt,0,,,1,1926
1,xx 天 我 肯定 处理 不了,CutDebt,1,,,0,1934
1,吓死 恩,CutDebt,1,,,0,1949
1,去 你 的,CutDebt,1,,,0,1957
0,大   还,CutDebt,0,,,1,1961
1,不能 保证 处理 掉,CutDebt,1,,,0,1996
1,待会 我 还 100,CutDebt,1,,,0,2039
0,可以 在 xx 天内 还,CutDebt,0,,,1,2044
1,有钱 我 立刻 就 处理,CutDebt,1,,,0,2070
1,我 得 去 凑钱,CutDebt,1,,,0,2116
0,对于 这么 无理 的 要求   我 也 只能 勉强 接受 了,CutDebt,0,,,1,2125
