label,old_label,classifier,split_text
1,1.0,Installment,家人 出事 现在 没法 还
1,1.0,Installment,对不起   还是 不得 行
1,1.0,Installment,这点 时间 筹 不到 钱 啊
1,1.0,Installment,  我 还 不了
0,0.0,CutDebt,可以   我 马上 换
1,1.0,Installment,短时间 还 不 上
0,0.0,CutDebt,行   好 的   你 放 一万个 心
1,1.0,Installment,金额 高
0,0.0,CutDebt,确定 能 结清
0,0.0,CutDebt,钱 刚好 够
0,0.0,CutDebt,这个 没 问题 嗯
0,0.0,CutDebt,OK
0,0.0,Installment,这周 还
0,0.0,Installment,最迟   后
0,0.0,Installment,我 等 下 就 处理
0,0.0,Installment,这个 好
0,0.0,Installment,  吧
0,0.0,CutDebt,自己 在 app 还
0,0.0,Installment,到 时 我 去 处理
0,0.0,Installment,可以 在 xx 天内 还
1,1.0,Installment,等 我 有钱 再说
1,1.0,Installment,这么 短 的 时间 你 在 和 我 开玩笑 吧
0,0.0,Installment,下午 处理
0,0.0,Installment,好   马上 处理
0,0.0,Installment,这样 可行
0,0.0,Installment,可以
1,1.0,Installment,没辣 么 多
1,1.0,Installment,多 减点 噻   一点 诚意 者 没得 哇
0,0.0,CutDebt,这个 星期天 就 能 处理
0,0.0,CutDebt,放心   绝对 没 问题
0,0.0,CutDebt,  之内 肯定 处理
1,1.0,Installment,可以 少 还 一点 没意思
1,1.0,Installment,没有 钱 我 也 没 办法
0,0.0,CutDebt,减免 到 这里   就 可以 了  
1,1.0,Installment,家里 还是 困难
0,0.0,CutDebt,还 可以 这 样子 啊   没 问题
0,0.0,CutDebt,行   好 的   你 放心
1,1.0,Installment,短时间 没法
0,0.0,CutDebt,已经 在 操作 了
1,1.0,Installment,这个 月 钱 已 还 别家 贷款 了
1,1.0,Installment,不会 还
1,1.0,Installment,一分钱 没有 暂时
0,0.0,Installment,立刻 处理 了
1,1.0,Installment,我 有事
1,1.0,Installment,兄弟   都 帮 了 这么 多 了   再 多 帮 一下 嘛 ？
1,1.0,Installment,延长时间 也 没 钱 呀
1,1.0,Installment,延期 时间 太短 了   太短 了   恐怕 不得 行 哦   再 宽限 几天 嘛
1,1.0,Installment,等 发工资 再说 吧  
0,0.0,Installment,等 一下 处理
0,0.0,Installment,你 放心 吧 。 我 现在 在 路上
1,0.0,Installment,  之内 不行
1,1.0,Installment,我 现在 手里 非常 紧张
1,1.0,Installment,好几个 月 没 发工资 没 钱
1,1.0,Installment,工程款 一直 没 下来 。
1,1.0,Installment,就算 这样   现在 也 没有 钱
1,1.0,Installment,先 还 二百
0,0.0,Installment,现在 在 路上   马上 处理
0,0.0,CutDebt,问题 解决 了   就 这样 定 了 。
0,0.0,Installment,随时随地 可以 还
0,0.0,Installment,xx 款   我 可以 还 先 还
1,1.0,Installment,会 处理   但 现在 没 钱
0,0.0,Installment,肯定 行
1,1.0,Installment,打不死 还是 没 钱
0,0.0,Installment,  钱到 一定 还
1,1.0,Installment,可以 延期 久点 吗 可以 延期 久点 吗
0,0.0,CutDebt,没 问题 的
1,1.0,Installment,等 发 了 工资 的
0,0.0,Installment,我 下午 处理 可以 么
1,1.0,Installment,现在 没有 钱
1,1.0,Installment,只能 先 还 一部分
0,0.0,CutDebt,好 我会 在 这 之前 还款 的
1,0.0,Installment,工资 到 账 就 还  
1,1.0,Installment,这 几天 可能 不行
0,0.0,CutDebt,可以 的   这个 欠款   待会 就 处理
1,1.0,Installment,这个 时间 内   有 问题
1,1.0,Installment,没法 工资   处理 不了
0,0.0,CutDebt,等 会 让 朋友 去 还
0,0.0,CutDebt,钱 马上 到 账 了   你 急 什么 ！
1,1.0,Installment,我 先 去 想 办法
0,0.0,Installment,行     发了 工资 就 还
1,1.0,Installment,暂时 没 那 多 钱
1,1.0,Installment,等 朋友 回话 呢
0,0.0,CutDebt,  以后 可以
1,1.0,Installment,能 不能 再 给   时间
1,1.0,Installment,可以 少 还 点 么
0,0.0,Installment,行   也 行 吧
0,0.0,Installment,一定 还
1,0.0,Installment,先 还 一部分 可以
1,1.0,Installment,还 不了 那么 多 啊
0,0.0,CutDebt,这样 还 可以 接受
1,1.0,Installment,等 会 肯定 不行
1,1.0,Installment,打死 都 没 钱
1,1.0,Installment,起诉 我 把
1,1.0,Installment,不行
1,1.0,Installment,母亲 住院 没 钱
1,1.0,Installment,再 和 领导 说 说 ？
0,0.0,Installment,  还 进去
1,1.0,Installment,这么 多钱 时间 太短 了
0,0.0,Installment,这部分 我 还 的 起 没意思
1,1.0,Installment,上午 9 点 不行
0,1.0,CutDebt,车子 卖 了 还
0,0.0,CutDebt,这样的话 我   就 还 没意思
1,1.0,Installment,我   还 不了   我 现在 真的 没有 钱哈
0,0.0,CutDebt,好 的   那 就 没得 问题 了   我待会 就 去 汇款
1,1.0,Installment,不 还 太 高 了
1,1.0,Installment,还 能 在 少 一点
1,1.0,Installment,还是 多
1,1.0,Installment,可以 过 几天 么
1,1.0,Installment,回不去
0,0.0,CutDebt,这样的话 没 问题   没意思
1,1.0,Installment,在 延期  
0,0.0,Installment,这 礼拜 处理
1,1.0,Installment,再 等 几天 吧
1,1.0,Installment,工资 一直 没发
0,0.0,CutDebt,我 等 下 处理 了 给 你 回复
0,0.0,CutDebt,可以 还 了
0,0.0,Installment,噢 噢   好 的 谢谢   可以
1,1.0,Installment,一个 星期 可能 处理 不了
0,0.0,Installment,能 接受
0,0.0,Installment,等 会 我 就 还
0,0.0,Installment,可以 月底 嘛
0,0.0,CutDebt,好 的   我 马上 找 家里 借钱
1,1.0,Installment,现在 没钱 我 去 去 借
1,1.0,Installment,不行 的 啊
0,0.0,Installment,这 部份 还 的 起
1,1.0,Installment,我 没 这么 多钱
0,0.0,Installment,我 通过 APP 处理
0,0.0,CutDebt,早就 嘛   我 早就 可以 还给 你们 了
1,1.0,Installment,多 减点 噻   一点 诚意 者 莫得乎
