split_text,classifier,label
1000我可以先还,Installment,0
10分钟内发截图给你,Installment,0
10号不能还,Installment,1
10天太短了,Installment,1
15分钟到账,Installment,0
15号发工资处理,Installment,0
15号就能还款,Installment,0
15号还完,Installment,0
18号还完,Installment,0
1号不能还,Installment,1
20号发工资，就还,Installment,0
20号还完,Installment,0
20天内可能还不了,Installment,1
25号处理,Installment,0
2号不能还,Installment,1
2天内可以,Installment,0
2天没办法,Installment,1
2小时之内,Installment,0
2小时之内不行,Installment,1
2小时之内处理,Installment,0
2月28还,Installment,0
300-500元我可以处理,Installment,1
3号不能还,Installment,1
3天之内一定处理,Installment,0
3天之内还不上,Installment,1
3天内可能还不了,Installment,1
4号不能还,Installment,1
5号不能还,Installment,1
5好吧,Installment,0
6号不能还,Installment,1
6点之前到位,Installment,0
7号不能还,Installment,1
8号不能还,Installment,1
99天就还,Installment,0
9号不能还,Installment,1
APP还款,Installment,0
OK,Installment,0
OKOK,Installment,0
ON,Installment,1
XX天内可能还不了,Installment,1
no,Installment,1
ok,Installment,0
sorry,Installment,1
xxx元，我这就还,Installment,0
xxx款我是可以先还的,Installment,0
xx天我肯定处理不了,Installment,1
xx款，我可以还先还,Installment,0
xx款，我可以还先还也,Installment,0
xx款，我可以还先还哈,Installment,0
xx款，我可以还先还哈哈哈,Installment,0
xx款，我可以还先还，没意思,Installment,0
yes,Installment,0
一下子拿不出来,Installment,1
一个星期之内,Installment,0
一个星期可能处理不了,Installment,1
一个星期处理,Installment,0
一个月时间不够,Installment,1
一会去办理,Installment,0
一会就去,Installment,0
一会我立马还,Installment,0
一分钱也没有,Installment,1
一分钱没有暂时,Installment,1
一定,Installment,0
一定可以,Installment,0
一定处理好,Installment,0
一定的。,Installment,0
一定能,Installment,0
一定还,Installment,0
一星期之内处理,Installment,0
一星期货款下来还,Installment,0
三天不行，我25号才发工资,Installment,1
三天之内,Installment,0
三天之内不行,Installment,1
三天之内处理,Installment,0
三天之内肯定还,Installment,0
三天以内有点困难,Installment,1
三天内可能不得行,Installment,1
三天后还,Installment,0
三天时间太少了，至少得要七天才有钱,Installment,1
三天时间太短了，多给我三天肯定能处理,Installment,1
三天还不了,Installment,1
三点一定,Installment,0
上午9点不行,Installment,1
下个月一起,Installment,1
下个月全部还清,Installment,0
下个月发工资,Installment,1
下个月吧，这个月没钱,Installment,1
下个月处理,Installment,0
下个月才有钱,Installment,1
下个月才能处理,Installment,0
下个月还,Installment,0
下个礼拜可以么我处理一点进去,Installment,1
下了班就立马处理,Installment,0
下午3点不行,Installment,1
下午处理,Installment,0
下午就去,Installment,0
下午就存,Installment,0
下午就能处理,Installment,0
下午肯定处理,Installment,0
下午还,Installment,0
下周吧,Installment,0
下月可以吧,Installment,0
下月处理,Installment,0
下班就去,Installment,0
下班就去处理,Installment,0
下班就处理,Installment,0
下班就还,Installment,0
下班我去存钱,Installment,0
不,Installment,1
不一定,Installment,1
不一定吧,Installment,1
不一定的,Installment,1
不会还,Installment,1
不去处理,Installment,1
不可以,Installment,1
不可以，我到**时间才能有钱,Installment,1
不可以，我实在没钱了,Installment,1
不可以，有钱了我自然会还,Installment,1
不可能,Installment,1
不可能哦,Installment,1
不可能哦。,Installment,1
不可能的,Installment,1
不可能，我还没发工资,Installment,1
不同意就先还别的,Installment,1
不多延期一个月我就不还了,Installment,1
不够,Installment,1
不好,Installment,1
不好办,Installment,1
不好意思现在处理,Installment,0
不好意思现在就处理,Installment,0
不好意思，我依然没办法还了,Installment,1
不好意思，没钱。,Installment,1
不好意思，这个欠款。我今天处理不了,Installment,1
不得行,Installment,1
不得行啊，要不你再延长点，或者钱再减点嘛，我现在没钱还,Installment,1
不得行，多几天啥。,Installment,1
不得行，还不了，多少天都还不了,Installment,1
不想,Installment,1
不想处理,Installment,1
不成问题。,Installment,0
不打清楚,Installment,1
不接受,Installment,1
不是恶意拖欠，有钱就还了,Installment,1
不相信你,Installment,1
不知道能不能借到钱,Installment,1
不知道过两天发不发工资,Installment,1
不能,Installment,1
不能保证,Installment,1
不能保证处理掉,Installment,1
不能保证，得看工程款到不到,Installment,1
不能再多点时间了么,Installment,1
不能少了嘛,Installment,1
不能没发工资,Installment,1
不能，你在申请申请吧,Installment,1
不行,Installment,1
不行下个月才能还,Installment,1
不行不行,Installment,1
不行借不到,Installment,1
不行只能到老板来,Installment,1
不行只能月底,Installment,1
不行啊，时间太短了,Installment,1
不行得，还是太多了,Installment,1
不行时间太短，还不上,Installment,1
不行没发钱,Installment,1
不行没这个钱,Installment,1
不行的,Installment,1
不行的啊,Installment,1
不行真的还不了,Installment,1
不行等工程款,Installment,1
不行要到月底,Installment,1
不行，以后再说,Installment,1
不行，我去想办法吧,Installment,1
不行，没办法呀,Installment,1
不行，没办法啊,Installment,1
不行，没办法安妮说的,Installment,1
不行，没办法按照你说的做哦,Installment,1
不行，没办法这样,Installment,1
不行，现在没有钱,Installment,1
不行，这钱我需要我的工资和家人的工资，他们那时候不能发工资,Installment,1
不要再催了，说了还不了,Installment,1
不要再打电话给我单位,Installment,1
不超过八点,Installment,0
不还,Installment,1
不还不还就不还,Installment,1
不还了,Installment,1
