文本,类别
我又没问你借钱，你算老几哦？,故意岔开话题
我为什么要告诉你,故意岔开话题
我为什么要告诉你啊,故意岔开话题
你住北京？,故意岔开话题
你吃多了,故意岔开话题
你是周杰伦吗,故意岔开话题
我凭什么告诉你？,故意岔开话题
为什么要告诉你,故意岔开话题
为什么告诉你,故意岔开话题
兄弟，你太天真了,故意岔开话题
啥子才告诉你,故意岔开话题
你长得乖所,故意岔开话题
你多大了,故意岔开话题
小妹，你好久去的你们公司哦，我劝你还是赶紧离职哦，别被骗了,故意岔开话题
美女，你年纪轻轻干啥不好啊，别给高利贷打工了！,故意岔开话题
你怎么是用私人电话打的,故意岔开话题
这个点该吃饭了,故意岔开话题
我靠，我的信息又被卖了,故意岔开话题
你在哪,故意岔开话题
昨天给我打电话的是不是你们同事啊,故意岔开话题
你是不会帅哥,故意岔开话题
我是谁凭什么告诉你？,故意岔开话题
哼，你别扰我,故意岔开话题
你是不是美女,故意岔开话题
我挺你口音不是成都的哇？哪里人啊,故意岔开话题
你信不信我弄死你,故意岔开话题
你们继续,故意岔开话题
风大,故意岔开话题
分太大,故意岔开话题
太差了，得换个新的。,故意岔开话题
你他妈说啊,故意岔开话题
风起的时候,故意岔开话题
吃饭了,故意岔开话题
耳朵聋了,故意岔开话题
啊！这么多啊！,故意岔开话题
暴风雨就要来了，我要先考虑我的安全问题,故意岔开话题
搞错了,故意岔开话题
嘿嘿嘿,故意岔开话题
今天的球赛特别精彩,故意岔开话题
今天适合旅游,故意岔开话题
你在干嘛,故意岔开话题
今天天气真好,故意岔开话题
今天天气好,故意岔开话题
风来了,故意岔开话题
你在干啥,故意岔开话题
你说什么，你再敢说一次，看我弄死你不,故意岔开话题
外面的天气怎么样，,故意岔开话题
暴风雨太大,故意岔开话题
吃饭,故意岔开话题
把电视关了,故意岔开话题
把车洗了,故意岔开话题
啊？俺在新疆吐鲁番盆地,故意岔开话题
啊？俺在新疆吐鲁番旅游呢，这里美女可多了,故意岔开话题
啊？俺在新疆吐鲁番旅游呢，你来不，我等你,故意岔开话题
啊？俺在新疆吐鲁番旅游呢，你来不,故意岔开话题
啊？俺在新疆吐鲁番旅游呢，给你带点啥,故意岔开话题
啊？俺在新疆吐鲁番旅游呢,故意岔开话题
啊？俺在新疆吐鲁番,故意岔开话题
啊，俺在新疆,故意岔开话题
哇，今天好像要下暴雨。,故意岔开话题
雪一直下,故意岔开话题
我帅的不要不要的,故意岔开话题
分批的哇？,故意岔开话题
我现在心情不好,故意岔开话题
我心情不好,故意岔开话题
我贼帅,故意岔开话题
我怎么说。,故意岔开话题
呦呦呦,故意岔开话题
我这边下雨,故意岔开话题
外面下雨了么,故意岔开话题
手机听筒坏了,故意岔开话题
今天天气真晴朗,故意岔开话题
小姐姐你吃过没,故意岔开话题
六一儿童节快乐,故意岔开话题
你小孩几岁？,故意岔开话题
坐牢了,故意岔开话题
坐牢才出来,故意岔开话题
最近天天下雨吗,故意岔开话题
最近他有没有和你联系啊,故意岔开话题
最近生意好吗,故意岔开话题
真凉快,故意岔开话题
这人怎么了,故意岔开话题
这人是干什么的,故意岔开话题
这里有饭要吃吗,故意岔开话题
你有老婆吗？,故意岔开话题
这里的风景真好,故意岔开话题
早点回家,故意岔开话题
又下大雨了,故意岔开话题
有人喊我,故意岔开话题
有答案,故意岔开话题
要不我们聊聊别的,故意岔开话题
杨颖，咋是你呢？,故意岔开话题
嘻嘻,故意岔开话题
小姐姐不要害羞吗,故意岔开话题
吃饭呢,故意岔开话题
阳光好好,故意岔开话题
小丽，咋是你呢？,故意岔开话题
长头发短头发？,故意岔开话题
凉凉天意,故意岔开话题
你想多了,故意岔开话题
卖保险,故意岔开话题
落入凡尘,故意岔开话题
咩理个浪,故意岔开话题
莫名其妙的,故意岔开话题
你多大？,故意岔开话题
哦，今天好像地震了，广元，你晓得不？,故意岔开话题
入水流,故意岔开话题
伤情着我,故意岔开话题
生劫易渡,故意岔开话题
时间太快了,故意岔开话题
世界这么大，我想去看看,故意岔开话题
说散就散,故意岔开话题
你耍朋友没,故意岔开话题
天气不错,故意岔开话题
天天催啥子嘛！没得钱还！,故意岔开话题
我吃饭了,故意岔开话题
我饿了,故意岔开话题
我给病人看病呢，你要不要也看一下？,故意岔开话题
我妈妈来了,故意岔开话题
下班后去健身吧,故意岔开话题
先来一首五环之歌吧,故意岔开话题
心情不错,故意岔开话题
一边玩泥巴去！,故意岔开话题
最近球赛还有点好看，买彩票没？,故意岔开话题
天气有点热哦，风都没的点点,故意岔开话题
出去 happy,故意岔开话题
哎呀烦不烦,故意岔开话题
等我躲过了这场洪水再说吧,故意岔开话题
雨太大了,故意岔开话题
雨太大,故意岔开话题
有朋友,故意岔开话题
有女友,故意岔开话题
