split_text,classifier,label
 你说什么啊？我不知道,ConfirmLoan,0
2个月利息加滞纳金都有3千了吗？,ConfirmLoan,0
2万，我是差那2万的人，我觉得你在侮辱我,ConfirmLoan,0
2万多吗，我怎么记得只有5000，你再好好看看，是不是弄错了,ConfirmLoan,0
阿拉小得了,ConfirmLoan,0
啊！这么多啊！,ConfirmLoan,0
"啊, 我媳妇前段时间生小孩，实在没有钱。",ConfirmLoan,0
"啊，五环，你不六环少一环。啊，啥,我家人出事了，我都吃不起饭了，确实拿不出这个钱。",ConfirmLoan,0
"啊，五环，你不六环少一环。呢,我凭本事借的钱，为什么要还 。",ConfirmLoan,0
"啊，五环，你不六环少一环。我晓得,我家人出事了，我都吃不起饭了，确实拿不出这个钱。",ConfirmLoan,0
啊，已经有2万3了么,ConfirmLoan,0
啊？,ConfirmLoan,0
啊啊,ConfirmLoan,0
哎,ConfirmLoan,0
哎，别打了，我没钱还你们,ConfirmLoan,0
哎呀，你烦不烦，我现在不想还,ConfirmLoan,0
哎呀，最近太忙了，搞忘了，不好意思,ConfirmLoan,0
唉,ConfirmLoan,0
唉你好,ConfirmLoan,0
唉呀,ConfirmLoan,0
俺爹把钱借去了,ConfirmLoan,0
俺哥把钱借去了,ConfirmLoan,0
俺哥们儿把钱借去了,ConfirmLoan,0
俺闺蜜把钱借去了,ConfirmLoan,0
俺没钱,ConfirmLoan,0
俺妹把钱借去了,ConfirmLoan,0
俺娘把钱借去了,ConfirmLoan,0
俺婶把钱借去了,ConfirmLoan,0
俺叔把钱借去了,ConfirmLoan,0
把钱拿去交学费了,ConfirmLoan,0
把人撞了都没钱赔人家呢，哪有多余的钱还你们啊,ConfirmLoan,0
搬砖没钱,ConfirmLoan,0
绑定的卡丢了我会重新办张卡的,ConfirmLoan,0
包工头带着他的小姨子跑了,ConfirmLoan,0
包养了个小四,ConfirmLoan,0
抱歉，不是不想还，是的确现在没有钱了,ConfirmLoan,0
抱一抱，就当做从没借款2万,ConfirmLoan,0
爆我通讯录给个说法,ConfirmLoan,0
被炒鱿鱼了,ConfirmLoan,0
被打了,ConfirmLoan,0
被盗了,ConfirmLoan,0
被老板炒鱿鱼了,ConfirmLoan,0
被老板开了,ConfirmLoan,0
被摸了,ConfirmLoan,0
被抢了,ConfirmLoan,0
被偷了,ConfirmLoan,0
被下套了,ConfirmLoan,0
本打算还的，结果钱包被人抢了。,ConfirmLoan,0
本打算还的，结果钱包被人抢了。,ConfirmLoan,0
本金,ConfirmLoan,0
本来打算还的，结果卡掉了,ConfirmLoan,0
别人还没还我钱了,ConfirmLoan,0
