label,old_label,classifier,split_text
0,0,IDClassifier,我 在
1,1,IDClassifier,我 不 知道
1,1,IDClassifier,不
1,1,IDClassifier,别 给 我 打电话 了   我 不 认识 他
1,1,IDClassifier,我 捡 的 号码
0,0,IDClassifier,找 我 什么 事情 呢 ？
0,0,IDClassifier,啊 就是
0,0,IDClassifier,啊 是 是 是 是 是
1,1,IDClassifier,你 找 错 人 了 哈哈哈
1,1,IDClassifier,刚刚 才 换 的 电话
0,0,IDClassifier,是 的   你们 干嘛 的
0,0,IDClassifier,是 的 唉 你好
0,0,IDClassifier,嗯   我 是 吧
1,1,IDClassifier,我 不 认识
1,1,IDClassifier,找 他 什么 事
0,0,IDClassifier,斗是
1,1,IDClassifier,他 已经 死 了
0,0,IDClassifier,对 啊   什么 事 ？
1,1,IDClassifier,我 不是 的 哈
1,1,IDClassifier,我 不是   有事 可以 转告 他
0,0,IDClassifier,OK
1,1,IDClassifier,他 去 买 水 喝 了
1,1,IDClassifier,说 了 多少 遍 了   我 不是
0,0,IDClassifier,对 对 我 是 找 我 干什么
0,0,IDClassifier,我 是 有事吗
0,0,IDClassifier,对   是 我 哈哈哈
0,0,IDClassifier,对 呀   是 我   找 我 有 什么 事 吗
1,1,IDClassifier,不是 不是   你 打错 电话 了
0,0,IDClassifier,嗯 唉
1,1,IDClassifier,我 真的 不是
0,0,IDClassifier,这 是 我 手机号  
1,1,IDClassifier,不是 。
1,1,IDClassifier,没得 这 号 人 。
1,1,IDClassifier,他 因为 欠钱 躲起来 了
0,0,IDClassifier,恩恩   找 我 什么 事情
1,1,IDClassifier,我 不是 的 拜拜
1,1,IDClassifier,我 是 他 邻居
1,1,IDClassifier,打 错 电话 了
0,0,IDClassifier,哼   是 的
1,1,IDClassifier,我 这里 不是 你 要 找 的 人
1,1,IDClassifier,这号 是 刚 办理 的
1,1,IDClassifier,打错 了 ！
0,0,IDClassifier,嗯 我 是
0,0,IDClassifier,你 怎么 有 我 的 号码 ？
1,1,IDClassifier,你 打 他 的 电话 吧
0,0,IDClassifier,嗯 嗯 是 我 请问 你 是
1,1,IDClassifier,以后 不要 骚扰 不 认识
0,0,IDClassifier,恩恩 。
1,1,IDClassifier,你 找 的 人 不是 我
0,0,IDClassifier,干嘛 找 我 干嘛
1,1,IDClassifier,我 不是 xx
0,0,IDClassifier,我 是 张 三   有 什么 是 吗
1,1,IDClassifier,没有 啊 我 不是 的
0,0,IDClassifier,我 认识 你 吗
1,1,IDClassifier,我 是 李四
0,0,IDClassifier,是 我   有 什么 事 么
0,0,IDClassifier,是   你 哪位 ？
1,1,IDClassifier,我新换 号码 不 认识
0,0,IDClassifier,你 找 我 有 什么 事 ？
0,0,IDClassifier,嗯 你好 怎么 了
1,1,IDClassifier,你 傻 叉 呀 我 不是
1,1,IDClassifier,她 是 俺妹
1,1,IDClassifier,不是   我 的 号码 刚买 的
1,1,IDClassifier,你 找 错 人 了 啊
0,0,IDClassifier,我 是 现在 有事
0,0,IDClassifier,是 撒
0,0,IDClassifier,对   是 我 。 你 是 ？
1,1,IDClassifier,你 找 错 人 了 哈
1,1,IDClassifier,不是 你 哪位
1,1,IDClassifier,我 不是   你 打错 了 吧
1,1,IDClassifier,刚用 的 号码
1,1,IDClassifier,一会 我 转告 给 她
0,0,IDClassifier,啊 啊 对 我 是 的
1,1,IDClassifier,已经 告诉 过 你 我 不是 本人 了   怎么 还 一直 问
0,0,IDClassifier,是
1,1,IDClassifier,不是   这 手机 是 捡 的
1,1,IDClassifier,你 找 他 干嘛
1,1,IDClassifier,顶 你 个 肺   找错 人 了
0,0,IDClassifier,找 我 什么 事情 啊
1,1,IDClassifier,我 是 他 妈
1,1,IDClassifier,他 正在 开车 阿
0,0,IDClassifier,是 我   有 什么 事 吗
1,1,IDClassifier,不 晓得 他 是 谁
0,0,IDClassifier,就是 。
0,0,IDClassifier,找 我 有事吗
1,1,IDClassifier,这号 是 我 刚办 的
0,0,IDClassifier,就是 本 美女
1,1,IDClassifier,我 才 用 的 号
1,1,IDClassifier,他 被 抓 了   手机 留在 家
1,1,IDClassifier,什么 事情 ？ 他 现在 不 在   要 不要 我 转告 他 ？
0,0,IDClassifier,是 啊 是 啊
1,1,IDClassifier,不是 本人   接 就 挂
1,1,IDClassifier,不是 本人   有病 小 医生
0,0,IDClassifier,是 的   你 找 我 什么 事 ？
0,0,IDClassifier,我 是 你好
1,1,IDClassifier,他 出差 去 了
1,1,IDClassifier,搞清楚 在 打 我 电话
1,1,IDClassifier,他 打麻将 去 了
1,1,IDClassifier,你 大爷 才 是
1,0,IDClassifier,我 是 修 手机 的
1,1,IDClassifier,他 谁 呀
0,0,IDClassifier,恩恩   找 我 有 什么 事情 么 嗯
1,1,IDClassifier,哈哈   打错 了
1,1,IDClassifier,不是   你 是 谁 ？
1,1,IDClassifier,看清楚 再 打 嘛
0,0,IDClassifier,噢 对 对 对 对 对
0,0,IDClassifier,对 啊   你 有事 ？
1,1,IDClassifier,打错 了 吧
1,1,IDClassifier,这个 人 不 认识
0,0,IDClassifier,你 是 谁 ？ 找 我 干嘛 ？
0,0,IDClassifier,对 我们 认识 么
1,1,IDClassifier,你 可能 打 错 电话 了
1,1,IDClassifier,他 没 在
0,0,IDClassifier,嗯 你 是 骗子 么
0,0,IDClassifier,找 我 有 事情 吗
1,1,IDClassifier,我 是 张 三
1,1,IDClassifier,不 认识 打错 了
0,0,IDClassifier,我 啊
1,1,IDClassifier,不是 不是 啊
0,0,IDClassifier,啊 嗯 你 是
1,1,IDClassifier,我 上个月 买 的 号码
0,0,IDClassifier,嗯   我 是 阿
0,0,IDClassifier,嗯 嗯 你 怎么 找到 我 的
1,1,IDClassifier,这个 号码 我 才 换 的
0,0,IDClassifier,嗯 是 的 你 是 谁
1,1,IDClassifier,你 才 是 先生
1,1,IDClassifier,不是   你 找 错 了
1,1,IDClassifier,你 认识 他 吗 ？
1,1,IDClassifier,不是 他 欠 我 钱 手机 抵押 了
0,0,IDClassifier,对 啊   是 我
0,0,IDClassifier,是 我   我 在 忙   找 我 有 什么 事
1,1,IDClassifier,你们 自己 找 他   不管
0,0,IDClassifier,哦 嗯 是 的 是 的
0,0,IDClassifier,啊 对 的
1,1,IDClassifier,他 现在 不 在
1,1,IDClassifier,我会 告诉 她
0,0,IDClassifier,啊哈 你 是 谁 呀 找 我 什么 事
1,1,IDClassifier,是 朋友
