label,split_text,classifier,new_label,
0,有钱，马上还,WillingToPay,0,
2,我现在困难能帮我减免1000吗,WillingToPay,2,
2,我可以先还一部分么吧,WillingToPay,2,
0,没问题我会按时还的,WillingToPay,0,
1,这个金额太高了唉,WillingToPay,1,
1,没求得钱啥，你是不是傻哈哈哈,WillingToPay,1,
1,我现在还没有发工资,WillingToPay,1,
0,在银行,WillingToPay,106,
2,没工作，少点,WillingToPay,1,
2,你帮我减免到本金我就处理掉,WillingToPay,2,
2,我现在说里没钱，暂时先少还点可以不,WillingToPay,2,
0,我今天处理,WillingToPay,0,
0,在银行路上,WillingToPay,106,
1,欠了很多家,WillingToPay,1,
2,俺木有这么多钱噢,WillingToPay,1,
0,可以，我今天下午就处理,WillingToPay,0,
0,我年底就还,WillingToPay,0,
1,想让我还钱，等到下辈子吧，没意思,WillingToPay,1,
0,不好意思，昨天本来打算去还的，结果有事耽搁了。马上我就去还,WillingToPay,0,
0,月底还钱,WillingToPay,0,
0,现在去存钱,WillingToPay,106,
1,我想还但是你们利息太高了,WillingToPay,2,
1,亲戚朋友都不借钱给我,WillingToPay,1,
2,不合法,WillingToPay,1,
1,问朋友借把钱还了,WillingToPay,0,
0,现在,WillingToPay,0,删除
1,我工资没到账,WillingToPay,1,
0,嗯嗯好的,WillingToPay,0,
1,多给点时间,WillingToPay,1,
1,太多了，我的天,WillingToPay,1,
1,你们起诉吧,WillingToPay,1,
1,过两天行不行,WillingToPay,1,
0,嗯，年底给你,WillingToPay,0,
1,再宽限点时间吧,WillingToPay,1,
0,月初还,WillingToPay,0,
0,我现在在银行，马上就处理,WillingToPay,0,
0,我这两天还,WillingToPay,0,
1,真的拿不出来,WillingToPay,1,
2,我只能负担得起一部分,WillingToPay,2,
1,等发工资再说吧,WillingToPay,1,
0,25号还,WillingToPay,0,
0,嗯，月底还,WillingToPay,0,
0,好的哈哈哈,WillingToPay,0,
1,欠的钱太多了，还不起,WillingToPay,1,
1,别打过来了，我没钱还的,WillingToPay,1,
0,好的,WillingToPay,0,
0,马上就来解决哈,WillingToPay,0,
1,我凭本事借的钱为什么要还,WillingToPay,1,
1,我又不止借了你们一家公司,WillingToPay,1,
1,借不到这么多钱,WillingToPay,1,
1,等我有钱处理,WillingToPay,1,
0,等我下个月处理。,WillingToPay,0,
1,有钱再说吧。,WillingToPay,1,
0,行呢，我朋友说今晚借给我滴,WillingToPay,0,
1,工资没法,WillingToPay,1,
1,我就不还,WillingToPay,1,
1,你们起诉我吧,WillingToPay,1,
1,发工资就处理,WillingToPay,1,
1,他说不还了,WillingToPay,1,
1,赌博输了,WillingToPay,1,
0,家里帮我换,WillingToPay,0,
2,你们能不能减免啊,WillingToPay,2,
0,我明天就处理掉,WillingToPay,0,
0,月底前,WillingToPay,0,只说时间也标0
0,等我忙完就处理,WillingToPay,0,
1,我以前还了,WillingToPay,1,
1,我在凑,WillingToPay,1,
0,下星期一,WillingToPay,0,
1,在借钱,WillingToPay,1,
1,你来找我啊,WillingToPay,1,
0,马上好,WillingToPay,106,
1,不会还了,WillingToPay,1,
1,三天时间太短了，多给我三天肯定能处理,WillingToPay,1,
1,被人骗的，已经报警了,WillingToPay,1,
1,时间太短需要多几天,WillingToPay,1,
1,估计下辈子去了,WillingToPay,1,
1,我赚到钱还,WillingToPay,1,
1,为什么你们要逼我，没意思,WillingToPay,1,
2,只还本金，要得不？,WillingToPay,1,willingtopay，把2去掉，只剩1
1,我凭本事贷款为什么要还,WillingToPay,1,
2,可不可以少换点嘛,WillingToPay,2,
1,不清楚,WillingToPay,1,
1,恐怕不行,WillingToPay,1,
2,能帮我减免多少,WillingToPay,1,？
2,可以少一点么？我实在没钱,WillingToPay,2,
1,处理不了,WillingToPay,1,
1,你说的是2万越南盾哇？,WillingToPay,1,
1,现在困难帮忙减点,WillingToPay,2,
0,在银行排队，到我这下班了,WillingToPay,106,
2,一个带孩子不容易，能少点吗,WillingToPay,2,
1,我从来没想过要还你们这个钱,WillingToPay,1,
2,给我减免分三次还,WillingToPay,2,
0,相信我，一定办好,WillingToPay,0,
1,还不起，对不起，不要找我了,WillingToPay,1,
1,不急嘛，我有钱,WillingToPay,1,
2,我现在手里没钱，先还一部分,WillingToPay,2,
