label,split_text
0,忘记还款
0,你们报警吧
0,家里有人生病
0,啊！这么多啊！
0,爱干啥干啥
0,包养了个小四
0,抱一抱，就当做从没借款2万
0,不差钱
1,不关我的事
1,不关我事
1,不管我的事
0,不知
0,不知道
0,不知道，你哪里
0,不知道啊
0,不知道了
0,不知道呢
0,打死我嘛
0,贷款我不要
0,等我跟老板商量能预支工资不
0,对不起，我不方便这么做
0,对不起，我不方便这么做啊
0,对不起，我不方便这么做按
0,对不起，我不方便这么做呗
0,对不起，我不方便这么做呀
0,高利贷吧
1,搞错了
0,工作人员态度不好
0,还不起你又能把我怎样
0,还个屁
0,还你妹
0,孩子不能不吃啊
0,孩子生病了
0,后年再说
0,后天
0,家里没没粮食了
0,家里人可以还吧
0,捡破烂
1,简直不知道你在说什么
0,借给朋友用的
0,今天我还不了
0,进传销了
1,开玩笑
0,看不到
0,可以不还吗
0,可以用其他东西抵押不
0,宽容宽容哈～
0,老板拖欠N个月工资，后天就发了，肯定还！
0,了解
0,没办法
0,没得什么好说的
0,没空
0,没能力
0,没求得钱啥，你是不是傻
0,没求得钱啥，你是不是傻，没意思
0,没求得钱啥，你是不是傻阿
0,没求得钱啥，你是不是傻哈
0,没求得钱啥，你是不是傻哈哈哈
0,没求得钱啥，你是不是傻哇
0,没时间
0,没有人联系
0,美女，帮帮忙楼
0,明天朋友就换我钱了
0,你帮我处理
0,你给高利贷打工小心警察抓你
0,你给我一个凭证，我找家里人要钱
0,你急啥啊
1,你继续扯经。
0,你没事吧
1,你妹啊，搞错了哇
0,你们搞这个也太黑了，利息好高
0,你们简直是高利贷哦，没意思
0,你们简直是高利贷哦阿
0,你们简直是高利贷哦哈
0,你们简直是高利贷哦没意思
0,你们简直是高利贷哦呢
0,你们是高利贷哦，这么多利息
0,你说的是2万越南盾哇？
1,你说的我不懂
1,你说的我不明白
0,你要是还要这么高
0,你也是可以呀
0,你又在开玩笑了，我像是有钱的人吗？
0,你怎么不早说
0,你找错人了
0,凭本事借的为什么要还，你爱起诉起诉，爱上门上门
0,其他人的
0,钱钱都舍不得
0,钱钱钱，命相连了
0,人事会给你解释
0,如果我不还呢？
0,生病了
0,生病住院
0,手机掉了
0,手机坏了
0,手机烂了
0,手机有点坏了
0,受伤了
0,输了300多万
0,算了，我可以请你吃饭
0,天天催啥子嘛！没得钱还！
0,听不懂
0,听不懂你说的什么
0,听不懂你说啥子
0,听不懂你说啥子呢？
0,投资做生意失败了
0,为啥要还
0,我不懂你在说什么
0,我不还你们打算怎么办
0,我不明白你的意思
0,我不明白你说的啥
0,我不明白你在说啥，我现在很忙。
0,我不清楚你说的什么
0,我不确定
0,我不知道
0,我不知道该说什么好
0,我不知道呢～啥？
0,我不知道你再说什么
0,我不知道你在说什么
0,我不知道你在想什么
0,我多少还多少
0,我父母过世了
0,我感冒了
0,我后来才晓得你们是高利贷
0,我马上下载看看
0,我难得还了
0,我朋友借一下，抓紧把事情处理掉。
0,我切肾
0,我是别个帮我办的
1,我听不懂
1,我完全不懂你的意思
0,我已经让财务打给我了，还没到呢
0,我有钱的时候，你干嘛不给我打电话
0,我有钱还的时候你杂不说
0,我又不止借了你们一家公司
1,我又没欠你钱
1,我又没问你借钱，你算老几哦？
1,我怎么不记得了
0,我怎么知道
0,吓尿了
0,吓死恩
0,晓得
0,兄弟，你太天真了
0,需要承担什么责任么
0,要不你报警抓我吧
0,要钱没有，要命一条
0,早干嘛去了
0,正在银行
0,之前手机掉了
0,自己在工地，工资一年结一次
0,坐牢才出来
0,坐牢了
0,明年说
0,不清楚
0,不晓得
0,不要的
0,不要急
0,不要闹
0,烦死了，天天催！催命啊
1,管你毛事！
1,管你屁事
1,管你求事
1,管你啥事
1,鬼扯哟
0,明年说
0,你催什么催啊
0,你打我啊
0,你管我啥子原因
0,你管我啥子原因阿
0,你管我啥子原因哈
0,你管我啥子原因了
0,你管我啥子原因没意思
0,你管我啥子原因矣
