text,label
我 在 打牌   听不清,103
这边 雨 有点 大   听不清 你 说 啥子,103
不 晓得 说 啥子 了 吧,103
你们 在 成都 哪里 办公 ？,105
要 得   晓得 了,106
咋子 ？ 张哥,101
干嘛 什么 事快 说,101
我 去 借 一下,106
我过 一个 小时 给 你 回 电话,104
不然 你 再 申请 延个 两年 呢,100
你 哪里 的 ？ 找 我 做 什么,107
你 哪位 ？ 哪里 凉快 去 哪里,107
晚上 联系 你,104
直说 你 要 干嘛 。,101
阿拉 小得 了   听到 了 吧,106
我 想 办法 哈,106
你 到底 要 咋子,101
我 没 听 清楚,103
怎么   有事 快 说   我 在 开车,101
我 回家 湊,100
我 现在 开车,104
减免 到 多少,110
朋友   你 是 哪个 ？,107
早该,106
早 这样 不 就 早 还 了 吗 ！,106
我 看 一下,100
应该 没有 这么 多 吧,102
你 等等,104
你 之前 没有 给 我 说 过 怎么 还款,108
在 开会   等 会 再说,104
可以 直接 转帐 么,108
找 他 做 什么 啊,101
回去 QQ 上 和 你 说,105
找 哪个 ？,107
什么 鬼 ？,101
等 几天 吧,106
我 根本 就 没有 借 那么 多,102
你 哪 知道 我 的 哦,107
借 了 你们 好多 ？,102
你拉个 ？ 我 听不懂,107
在 说 一次,103
你 总得 提供 个 入口 给 我   我 才 好 还 呀,108
风太大   没 听 清,103
微信 看哈,105
好 吵   听不清,103
没有 听 清楚,103
啥 呀 ？,103
我 现在 忙 了,104
如果 分期 还款   可以 考虑,100
2 万几,103
干煞,101
在 忙 等等 打,104
我 看 下,106
我 借 了 多少 ？,102
在 火车 上,104
我 在 外面,104
可不可以 不要 闹,100
到时候 又 找 我 怎么办,110
听不清 呢,103
我 没 网络,104
加 我 微信   发给 我,105
你 说 什么 我 听不清,103
再 提现,106
你 有 QQ 么,105
我 争取 还 吧,106
我 开车 呢,104
这钱 怎么 不 对 啊,102
要 的   我 下来 了解 下,106
哪个 哦 ？,107
行   知道 啦,106
这边 没有 银行,108
到时候 你 提前 给 我 打电话 说 一声,104
你 说 哪个 ？ 嗯,103
你 在 微信 上 把 详细 的 发给 我,105
加 我 米 聊 吧,105
现在 信号 不好   一会 再说,104
你 先 申请 下来 再说,110
你 再 少些   我 就 还 了,100
2 小时 之后 你 联系 我,104
行   好 的   我 说 了 行 就是 行,106
你 说 什么   听不清,103
你 又 是 谁 阿,107
俺 忙 着 呢,104
现在 忙   稍后 联系 吧 。,104
你们 这么 算 利息   不怕 我 去 告 你们 么,102
嗯 ？,101
喂   信号 不好,103
我 争取 还,106
真的 ？,103
我 在 想想 吧,100
小妹   你 叫 啥 啊 ？,107
最少 还 多少,102
为什么 要 还 你 钱 ？ 你 是 谁,107
该 怎么 操作,108
现在 有事   等 会 再 打  ,104
声音 小 听不见,103
声音 大 点 听不清,103
你 想 找 谁,101
我 在 高速 上 开车,104
问问 家人,100
行   但是 减免 怎么 说,100
现在 有点 事,104
我先 查看 下,104
等 我 发工资 的 吧,106
上 厕所 呢   等 下 说,104
你 帮 我 减免 一点,100
我 在 开会   等 下 再说,104
能 不能 说大点,103
有空 再 联系 。 我 现在 忙,104
什么 ？ 你们 这是 利滚利 啊,102
没 信号   听不清,103
你 电话 有 问题 吧,103
这个 再议,106
声音 断断续续 的 不 知道 你 在 说 什么,103
我要 去 外地   不 确定,106
上次 那个 人 也 跟 我 这样 说,102
我 去 核实,106
尽量 快点,106
你 说 什么 ？,103
我 在 开会 呢,104
有事 啊 ？,101
喂 … …,103
你 打 我 座机,105
我 想想 吧,100
不好意思  ,103
我 这边 太吵 听不清,103
那就好,106
我先 核实 一下,104
声音 大 一点 我 听不清,103
在 想想 办法 吧,100
信号 不好,103
咋啦,101
催命 哦   知道 了,106
听不清 你 说 啥子,103
有 问题 吗,101
我 现在 不 方便 接听电话 的,104
我 在 跟 朋友 聊 事情,104
你 放心,106
啊 你 是 谁 啊 你 找 哪个,107
风太大 没 听 清,103
不想 听 你 说 什么 废话   快 说,101
等 一会儿打 过来,104
看 工资 发 多少,100
太吵   听不见,103
还 有些 事情 要 问 你   加个 微信 说 吧 。,105
我们 skype 上聊 吧,105
你 这 利息 怎么 算 的 哦,102
你 叫 什么 名字,107
谁谁谁,107
我 在 忙 等 会 说,104
你 又 是 哪个,107
听到 你 说 啥子,103
加微 信聊 吧,105
你 说话 声音 大 一点  ,103
我 不 知道 有没有 这么 多钱,102
可以 在 少点,100
杂子 了,101
我 回家 商量 下,100
我 在 忙 有 时间 回给 你,104
你 是 搞 啥 的,107
发工资 的 时候 联系 你,100
我 去 想 办法,100
我想 一哈 矣,106
钱 到 了 你们 扣,106
现在 有事,104
别打我 电话 了   有时候 接 不到   加个 微信 说 。,105
整不来 关键 是,108
早 干嘛 去 了,106
你 不是 骗子 吧,107
我 下载 APP 看看,102
你 找 他 有 什么 事,101
你 打 我 电话 干嘛,101
说 啥 太 吵 了 听不见,103
行   我会 想 办法 的,106
你 把 信息 发 我 手机 上,110
马上 进 电梯 了   没 信号,104
你 是 干什么 的,107
在 忙 有事 快 说,101
你 是 推销 保险 的 吧,107
