label,split_text
1,打错了
1,不打错电话了哇
1,不好意思，你打错电话了
1,不会是你搞错了哇
1,不了解
1,此人已死，有事烧纸！
0,打她电话，打我电话干嘛
1,电话费不要钱啊？天天乱打。
1,都给你说了，别再打了，你听不懂吗？
1,搞错了
1,哈哈，打错了
0,那么多XXX，你说的是哪一个
1,你打错了
1,你还是找本人吧
1,你妹啊，搞错了哇
1,你去问他
1,你去找他呀
0,你认识他啊
0,你认识他吗？
1,你是不是打错了
1,你是不是打错了哦
1,你是不是找错人了
1,你说的我不懂
1,你说的我不明白
1,你问我我怎么知道
1,你怎么不去问他认不认识我啊？
1,你找错人了
1,你找张三打我电话干嘛
0,你自己联系他
1,你自己去找
0,失踪了
0,他的事你直接去找他，别找我
1,跳楼了
1,我不知道
0,我不知道该说什么好
1,我都已经说了不认识了
0,我朋友
1,我认不到你说的那个人
0,我是她爸爸
1,我也不知道
1,我应该认识他吗
1,我这里不是你要找的人
1,再打报警
1,再打电话来我报警了
1,再打电话我报警啦
1,自己找
1,自己找他
0,最近他有没有和你联系啊
1,报警了
1,不清楚
1,不认识
1,不认识，不要再打过来了啊
1,不晓得
1,不要的
1,不要骚扰了
1,不要骚扰我
1,不要再打过来了
1,不要再打了
1,不要再骚扰我了，不然我报警了
1,脑残
1,脑壳有病
1,脑子有病吧
1,脑子有病吧，没意思
1,脑子有病吧吧
1,脑子有病吧哈
1,脑子有病吧没意思
1,脑子有病吧哇
1,嫩瞎扯淡
1,能不能不要打我电话骚扰我，他管我什么事
1,你不要烦我
1,你管我认不认识
1,你们不要打了，这个电话不用了
1,你们哪里啊，怎么总骚扰我啊
1,你们一天闲得慌啊，天天打骚扰电话来！
1,你这是已经是骚扰了，你在骚扰我我要报警了
1,谁知道认识不认识
1,我报警
1,我报警了
1,再打就报警了
