from,label,original_label,original_text,new_label
Installment,1,,我考虑一下,1
Installment,0,,再等父母打钱,1
Installment,0,,账号发过来,108
Installment,1,,我看看,1
讨价还价,2,100,我会还的，等我有钱了,1
Installment,1,,帅哥，可以拖延一下吗,100
Installment,1,,不好办,1
请求重复,2,103,大声一点,2
讨价还价,2,100,不行，没办法呀,2
讨价还价,2,100,钱到就还,1
Installment,0,,我愿意,0
Installment,0,,不认识,1
讨价还价,2,100,家人生病了,2
Installment,0,,现在转账,0
Installment,0,,钱已经要来了,0
Installment,0,,可以弄了,0
Installment,1,,晚上找老板要钱,1
Installment,0,,明天可以还是啊吧,0
Installment,0,,月底发工资,1
讨价还价,2,100,能不能再减掉点啊,2
Installment,0,,我听不清,103
Installment,1,,我考虑下,1
Installment,0,,后天联系我,106
故意岔开话题,2,109,要不我们聊聊别的,2
Installment,1,,回家凑点给你,1
Installment,1,,还多少,102
Installment,0,,我钱要到了全额还,0
Installment,1,,在借钱,1
Installment,1,,要见面,1
Installment,1,,你得等我先借点啊,1
Installment,0,,感谢啊,0
Installment,0,,6天,0
讨价还价,2,100,我再考虑下吧,1
Installment,0,,后面的，发工资再还,1
讨价还价,2,100,我尽量处理,2
Installment,0,,好好好,0
Installment,1,,知道了,106
Installment,0,,能不能分期,109
模糊确认,2,106,好叻,0
Installment,1,,便宜,106
故意岔开话题,2,109,几多浓烈的相思,2
故意岔开话题,2,109,即便这功劳尽舍弃,2
故意岔开话题,2,109,有一些思念,2
Installment,0,,借一下吧,106
Installment,1,,你觉得我能还得起么,1
Installment,1,,知道,106
Installment,0,,3天,0
Installment,0,,行，我知道了，你等我联系你,0
Installment,1,,到时一起还,1
讨价还价,2,100,别人借我钱,1
确认数额,2,102,我根本就没有借那么多,2
Installment,0,,想办法,106
Installment,0,,能不能分期啊,1
Installment,1,,我没吃,109
请求等下打来,2,104,下午给我联系吧,2
讨价还价,2,100,给我时间,1
Installment,1,,等等,1
讨价还价,2,100,我尽量在这之前还上,2
Installment,1,,命吧,109
Installment,0,,等会联系,1
讨价还价,2,100,今天我不一定能还啊,1
Installment,1,,利息太高,1
Installment,1,,我现在没那么多,1
Installment,0,,到时候你直接在卡上扣款就行了,108
Installment,0,,没空,1
Installment,0,,等我这批货卖出去的,1
Installment,0,,我现在回家拿钱,106
Installment,0,,不认识,1
请求等下打来,2,104,马上回来,1
故意岔开话题,2,109,尚能饭否,2
Installment,1,,明天的,0
讨价还价,2,100,我会还的,2
讨价还价,2,100,我不是不想还，只是需要点时间,1
Installment,1,,我肯定还，但今天还不了,1
Installment,0,,下个星期,0
讨价还价,2,100,我去跟父母要一点,1
Installment,1,,可以是可以，但我需要时间,1
Installment,1,,行没问题,0
讨价还价,2,100,给我再想想吧,1
Installment,1,,工程款还没到,1
Installment,1,,等一下,1
请求等下打来,2,104,我在上班的路上,1
讨价还价,2,100,我会还的，你放心,2
Installment,0,,漂亮,106
讨价还价,2,100,朋友钱到了就还,1
讨价还价,2,100,我尽量试试吧,1
讨价还价,2,100,我没有带银行卡,1
讨价还价,2,100,银行已经关门，我过段时间在处理，,1
Installment,0,,好嘛，等哈哈就弄。,0
讨价还价,2,100,工资还没有发,1
