label,split_text
0,可以的
0,好的
0,可以
0,可以
2,你打错了
1,那你减免了我就处理
0,好的
2,这个我做不了主
1,不行
0,好的
0,可以
0,我同意
0,没问题
2,你打错了
1,可以减了我就处理
0,我同意
2,因为你欠的是平安的贷款。
1,还是算了那
0,没问题
0,谢谢啦
0,感谢你
0,感谢
2,你打错了
0,这样可以还不然利息太高了
0,谢谢
1,不是我个人的
1,我求求
1,我尽量想办法
1,减免到多少
0,很好
0,谢谢你的帮忙
2,你打错了
0,好那我下午就处理
0,这样还差不多
2,我可以帮你申请看看
1,你帮帮我
0,我同意
0,行
0,我马上处理
0,这些金额我就能处理了
2,你打错了
0,那行我马上处理
1,本来利息就太高了
1,具体我要等答复
1,还是算了吧
0,这个金额可以的
0,那好啊
0,现在就存款
0,我马上处理
2,你打错了
0,我等下处理了给你回复
0,我马上筹备
2,出具困难证明
2,我 能减免
0,我能接受
0,好
0,现在就去跟家里说
0,我现在去银行处理
2,你打错了
0,我让朋友帮我处理
0,放心吧，能够处理了
2,你爱人呢
0,好要还多少
0,我想办法周转
0,行呀
0,现在找朋友借
0,我现在就处理
2,你打错了
0,我直接app处理了
0,给你添麻烦了
0,我知道了
0,我这边跟你是晚上联系
0,我会还的
0,这样可以接受
0,好的，棒极了
0,把账户发来
2,你打错了
0,我存卡里你们直接扣吧
0,你们公司不错
0,好的可以
1,我父亲生病了
1,我再看看
0,没问题
0,太感谢了
0,怎么还
2,你打错了
0,下班了就立马处理
0,好，好
2,帮你申请看看
1,就这点钱
1,我真没那么多钱
1,还是太多
1,还是太多了
1,没工作
2,你打错了
1,还是太多了。我不会还的。
1,还是太多了
0,可以
1,没工作
1,还是太多了
1,这也换不起啊
1,没那么多钱，可以在减免吗
1,钱太多
2,你打错了
1,我没有那么多钱再少点。
1,我还是没那么多钱
0,好的
1,没能力
1,我现在没工作，还不了那么多
1,没这么多钱
1,我住院了，老婆也辞职了
1,我一个月工资就那么点
2,你打错了
1,我刚从监狱出来没有工作还不起。
1,家里确实困难
2,申请看看
2,减免
1,可以再少一些么
1,还能再少吗
1,一下子拿不出那么多
1,能不能在少一点
2,你打错了
1,能不能再少点我没有那么多钱
1,我失业了
2,出具证明
2,想减免
1,太多了我没有
1,也没减多少，在少点
1,如果分期还款，可以考虑
1,能不能只还本金
2,你打错了
1,你在少点我就借钱处理了
1,家里所有人都没工作
0,今天在两点钟之前还可以。
2,还是减免
1,我最近很困难
1,不行
1,实在是拿不出，尽力了
1,太多了吧
2,你打错了
1,利息还是太高了处理不了
1,一家四口我一个人工作
1,我这边要申请下
1,快给我减免
1,没有那么多还不起
1,还是没钱啊
1,生意不好，周转不过来
1,还不起
2,你打错了
1,现在没有那么多钱还要租房子
1,还可以再减免吧
1,那你现在就把他处理掉，两个小时之内。
1,不给减免不还了
1,这个我接受不了
1,家里困难
1,工厂放假多，工资差
1,家庭开销太大
2,你打错了
1,不一定能借到这么多
1,借不到钱了
0,十二点之前
1,不给减免以后不还了
1,这还是太多了吧没有
1,生活费都没有
1,家里开销大，花多
1,生病了没那么多钱
2,你打错了
1,我再看看吧
1,家里基本生活都困难了
0,好的
1,不给减免我不还了
1,怎么还是那么多啊
1,还是太多了，能再少点啊
1,很困难，压力大
1,但还是太多
2,你打错了
1,回头再说吧
1,父母身体不好，还要花钱
0,可以
1,不给减免我就不还了
1,我再看看吧
2,那是多少
2,我是他姐姐
2,本金加一些利息就行了
2,你打错了
2,噢那我帮你转告他 他出去了
2,我要和家人商量一下
2,你现在没工作吗？
2,什么
2,我不清楚耶
1,只还本金可以吗
2,天气不好
2,帮你把违约金申请减免一些
2,你打错了
2,那我考虑一下回复你
2,听不清
2,联系看看
2,你再说什么
2,我在想想
2,减多少
2,回来商量一下
2,你把本金处理就行了
2,你打错了
2,行  我再看吧
2,考虑考虑吧
2,我们知道了
2,我这边听不懂
2,我自己查下看看
2,没听到
2,看情况
2,帮你减免今天之内必须处理掉
2,你打错了
2,让我想想看看
2,借借看吧
2,只要你出具证明可以
2,我是他爸爸
2,我不是本人，我也不清楚
2,能结清吗
1,如果钱到位就还
2,减免是有有效期的
2,你打错了
2,一会再说吧
2,我不是本人
2,今天还可以
2,我是他妹妹
2,我在忙，过会联系
2,有证明吗
2,我是他哥哥
2,你先处理一部分我帮你去申请减免
2,你打错了
2,晚点再说吧
2,本人不在，我是家人
2,六点之前
2,我是他大娘
2,在开会，等会打来
2,不可以
2,等老婆回来
2,拿出你的还款诚意我去帮你申请减免
2,你打错了
2,明天我们再联系
2,你说的事情我不知道
2,好的
2,我是他奶奶
2,信号不好
2,发工资再说
2,跟父母商量
2,我是他姐姐
2,你打错了
2,等我发工资再说
2,信号不好
2,可以帮你申请减免
2,我是他二娘
2,回头再商量
2,过两天说
2,看资金情况
2,我是他哥哥
2,你打错了
2,现在不确定钱没到位
2,等会回复你
2,今天必须处理的话
2,我是他三娘
2,等我发工资再联系吧
2,在忙
2,考虑一下，
2,我是他家人
2,你打错了
2,走了我会联系你们
2,他回来跟她说
2,出去家庭困难证明
2,我是他三姨
