split_text,label
早就该减免了，本来就没得钱你们还收这么高的利息，损人不利己啊,0
早说噻，我考虑考虑,0
好的,0
能不能减少一点,0
我接受,0
棒棒哒，明天还,0
可以啊，没有问题,0
好，这样子不错哦,0
可以，太好了，那就这样说定啦,0
不客气,0
"我同意,这样子我就还的起了，谢谢你",0
这法子听起来不错，可以呢。,0
要的，谢了哈，我赶紧就去还钱,0
这样的话我明天就还,0
这样的话我明天就还,0
好的好的，谢谢啊，一定还上,0
嗯，我考虑一下，差不多下周能还上吧,0
行嘛，那我去借点来先还到嘛,0
减免了我也没有钱还啊,1
说了没钱，有钱谁愿意欠钱啊,1
我还是没有那多钱啊,1
现在手头紧,1
对不起，减免了我暂时还是还不了,1
减了也没用，还是还不起,1
不得行，时间太紧张了，一下子凑不齐这么多,1
我失业了，没钱,1
减免这些我也还不了,1
没钱,1
但是本金还是太多了，还不了,1
上次就说了，没那么多钱，催个毛线啊。,1
股市大跌，钱都焊到股市了，现在确实没得钱,1
能不能再少点,1
你是看不起我吗，还给我减免,1
我现在没钱啊真的还不上，实在是没办法。,1
我得艾滋病了，钱都拿去治病了,1
不得行，我现在啊拿不出钱来还,1
真的是没钱还，不要再打来了,1
能把本金打个五折么？,1
我真的没那多钱,1
真的没有那么多,1
减免这点有什么用呢，我还是没钱还,1
能把本金减了吗？,1
你再催我也拿不出这么多钱啊，我身体也不好，还在化疗，待会把我气死了你负责啊,1
最近拿不出钱，催也没用,1
和你说了还不了，你怎么逼我也没用,1
真的没钱,1
你是以为我没钱了吗，还给我减免,1
你这减了当没减，说了还不起就还不起。,1
钱都套在股市了，没得钱,1
减了利息欠款还是太多了,1
减了利息欠款还是太多了,1
不好意思我真的没钱，如果有钱我早就还了，哪还用你给我打电话啊,1
我都是个快死的人了，你们还逼我要钱啊,1
你再减好多我都还不到啊，跟你说我手头没钱，一分钱都没的。,1
我已经说过没有钱，你们不相信我可以把银行卡余额给你看！,1
等我还钱得人已经排到派出所了，要不你们也去排个队，说了没钱就没钱，不然你们把我逼死算了,1
没钱，再催也没有。惹毛了不还了,1
真的没钱，逼死我也没有用,1
你们真的很烦人，说了没钱还，有本事你把本金一起减了,1
不要逼我了，我没钱,1
逼死我得了，我就这么一百多斤，你把我卖了看值多少钱,1
你们是不是要逼人上梁山？,1
你还有没有人性啊，我都说我的钱已经给我的母亲看病了，非要逼着我去卖肾吗,1
打死都没钱,1
还可以再减免一些么,1
全身家当50块钱，别不信，你找到我也是这样。,1
我都着套死了，你还找我要钱，没得,1
但还是太多了,1
你是以为我没钱了吗，还给我减免,1
真的我也没办法，我真的没钱，你每天催我也没用。要钱真没有，要命到是有一条，要不要？,1
你们还有没有点公德心啊，我人都快死了，你们还这样逼我，把我惹急了我传染给你信不信,1
爬你妈嘞，老子就不还你要咋子，来弄我噻,1
减免了之后还可以再减免吗？,2
什么？你说多少？听不清了，要进电梯了,2
今天适合旅游,2
他不在,2
请问一共减掉了多少利息,2
雪一直下,2
今天的球赛特别精彩,2
心情不错,2
对不起家里有客人来了，一会儿再聊,2
我是她爸爸,2
我不知道你在说什么,2
你那边怎么这么吵，在工地吗？,2
哦，今天好像地震了，广元，你晓得不？,2
我不知道该说什么好,2
今天天气真晴朗,2
我信号不好，你说啥？我听不清,2
这样啊，那我要考虑一下，不知道明天的股票怎么样,2
好了，等会儿再说，我要出去趟,2
