from,label,original_label,original_text,,
ConfirmLoan,1,,胡说,1,
故意岔开话题,2,109,生病了,2,
ConfirmLoan,0,,我还欠钱吗？我以为我还了啊,0,
请求重复,2,103,钱，什么啊啊,2,
故意岔开话题,2,109,你们把之前打我通讯录的人找出来,2,
ConfirmLoan,0,,我好像没借这么多钱哦，你把详细记录给我看看,0,
ConfirmLoan,0,,当初借的时候没说有滞纳金的嘛,0,
ConfirmLoan,1,,滚一边去，还毛。,1,
ConfirmLoan,0,,我是别个帮我借的,0,
ConfirmLoan,0,,快活不下去了,109,
ConfirmLoan,1,,昨天抢银行没成功,109,
ConfirmLoan,0,,阿拉小得了,0,
ConfirmLoan,0,,我把钱换了，借条怎么还给我？,0,
ConfirmLoan,1,,啥子钱哦,1,
故意岔开话题,2,109,全都免了？,2,
故意岔开话题,2,109,我老帅了,2,
ConfirmLoan,1,,在说一遍我没向你们借款，我的时间很宝贵的，你耽搁的起吗？,1,
ConfirmLoan,0,,啊！这么多啊！,0,
ConfirmLoan,1,,不知道你们再说什么，啥子利息，滞纳金，懂都懂不起,1,
ConfirmLoan,1,,你他妈谁呀，瞎几把打,1,
故意岔开话题,2,109,我没有义务告知你,1,
故意岔开话题,2,109,实在是,2,
故意岔开话题,2,109,点都不乖,2,
还款方式,2,108,我网银密码忘了,2,
故意岔开话题,2,109,钱钱钱，命相连了,2,
ConfirmLoan,0,,我换张卡给你转,0,
故意岔开话题,2,109,我也不知道,1,
故意岔开话题,2,109,你有没有爱上我,2,
故意岔开话题,2,109,钱钱都舍不得,2,
ConfirmLoan,1,,你管我啊,1,
ConfirmLoan,0,,我才借了2万，利息滞纳金就有几千，疯了吧,0,
故意岔开话题,2,109,埃及输了,2,
故意岔开话题,2,109,跳楼了,2,
ConfirmLoan,1,,你们去找他，他接的,1,
故意岔开话题,2,109,借钱,2,
ConfirmLoan,1,,怎么会没还呢？我之前明明还了，你们系统有问题吧，你们自己去查清楚！,1,
还款方式,2,108,不晓得杂还,2,
ConfirmLoan,1,,啥子东西哦,1,
故意岔开话题,2,109,打豆豆了,2,
ConfirmLoan,0,,我在医院呢，正准备卖肾，过几天就还你哈。,0,
ConfirmLoan,1,,可不可以滚远点，听到你们这些鬼话就鬼火冒,1,
ConfirmLoan,0,,出去了,104,
ConfirmLoan,1,,还什么还，都不是我,1,
请求等下打来,2,104,我实在太忙了，回头聊,2,
故意岔开话题,2,109,最近生意好吗,2,
故意岔开话题,2,109,我不开心,2,
故意岔开话题,2,109,我好帅,2,
ConfirmLoan,0,,app崩溃了，我试了，还不起,0,
ConfirmLoan,1,,你是谁，我不认识他。,107,
ConfirmLoan,0,,明天朋友就换我钱了,0,
故意岔开话题,2,109,和我前女友差一个字,2,
请求等下打来,2,104,等我下班就去还,0,
故意岔开话题,2,109,不差钱,2,
回问身份,2,107,你是骗子吧，电话都显示是诈骗,2,
回问身份,2,107,催收公司是什么，我欠钱的是银行啊,2,
故意岔开话题,2,109,人人都在闹,2,
故意岔开话题,2,109,一下都没心情了,2,
ConfirmLoan,1,,可不可以滚远点，听到你们这些鬼话就鬼火冒,1,
ConfirmLoan,1,,我这里是派出所，你们是不是放高利贷的哦？,1,
ConfirmLoan,1,,你是不是记错了～,1,
故意岔开话题,2,109,今天一分不处理的，是不可能的。,-1,
故意岔开话题,2,109,如果我不还呢？,0,
故意岔开话题,2,109,可以不还吗,0,
ConfirmLoan,1,,不清楚,1,
ConfirmLoan,0,,不知道,1,
故意岔开话题,2,109,触动我的,2,
故意岔开话题,2,109,打打打，我明天就把这张卡注销了，看你们还怎么打,1,
ConfirmLoan,0,,全套在咋们大A股中，怎么还？,0,
ConfirmLoan,0,,我欠钱太多了,0,
还款方式,2,108,我没的你们的银行卡号啊，还不了啊,2,
请求等下打来,2,104,我要工作了,2,
故意岔开话题,2,109,你们是高利贷哦，这么多利息,0,
ConfirmLoan,0,,2万几,103,
请求等下打来,2,104,我没网络,109,
故意岔开话题,2,109,没有人联系,2,
ConfirmLoan,1,,你这个公司怕是骗子哦,1,
故意岔开话题,2,109,家里人可以还吧,0,
ConfirmLoan,1,,你系统出bug了，弄清楚再说。,1,
ConfirmLoan,0,,要钱没有，要命一条，你要不要,0,
故意岔开话题,2,109,啊！这么多啊！,0,
还款方式,2,108,我手机丢了，现在在哪里还,2,
故意岔开话题,2,109,除了钱，我什么都没了,2,
回问身份,2,107,我来电显示这是：疑似骗子电话,1,
故意岔开话题,2,109,我不知道这是,1,
ConfirmLoan,0,,要钱莫得，要命有一条,0,
ConfirmLoan,1,,我证件之前丢了，我没有贷过。,1,
故意岔开话题,2,109,不关我的事,1,
故意岔开话题,2,109,电话费不要钱啊？天天乱打。,1,
ConfirmLoan,1,,我建议你们打电话给下一个欠款人，不要在我这里浪费时间了,1,
ConfirmLoan,0,,我记得我没有欠那么多呢,0,
ConfirmLoan,1,,你被逮捕了,109,
故意岔开话题,2,109,你生的儿子没屁眼儿,2,
ConfirmLoan,0,,我不记得有这么多,0,
ConfirmLoan,0,,好久还清？,0,
故意岔开话题,2,109,耳朵聋了,2,
ConfirmLoan,0,,哪有这么多哦,0,
ConfirmLoan,1,,你怕是在忽悠我哟,1,
故意岔开话题,2,109,你被逮捕了,2,
故意岔开话题,2,109,这明显是不可能的,1,
ConfirmLoan,1,,你仔细看看，你是不是找错人啦,1,
ConfirmLoan,0,,利息不可能那么多哦，你们算错没有呢？,0,
ConfirmLoan,0,,你们搞错了，没有那么多，真的,0,
故意岔开话题,2,109,我不买房,2,
回问身份,2,107,已经有人联系过我了,109,
回问身份,2,107,你怎么会有我的联系方式，怎么知道我欠钱了呢,107,
ConfirmLoan,0,,我在住院,109,
还款方式,2,108,卡里有钱但是你们没扣我也没有办法还,0,
ConfirmLoan,1,,只有别人借我钱，我从不借别人钱,1,
故意岔开话题,2,109,我有钱还的时候你杂不说,0,
ConfirmLoan,1,,你在给算下，是不是拨错了,1,
ConfirmLoan,0,,您刚才说的是哪笔贷款啊，多少钱的,0,
故意岔开话题,2,109,也要花蕊绽放,2,
还款方式,2,108,俺肿么还,2,
ConfirmLoan,1,,你打错了哈，你信不信我举报你,1,
ConfirmLoan,0,,钱存银行，没到期,0,
ConfirmLoan,0,,朋友说借我,109,
故意岔开话题,2,109,人都不好了,2,
ConfirmLoan,1,,借款你妹哦！,1,
ConfirmLoan,0,,天天催啥子嘛！没得钱还！,0,
故意岔开话题,2,109,最少还多少,0,
故意岔开话题,2,109,我以前还别的都还多少,2,
故意岔开话题,2,109,收人了,2,
ConfirmLoan,0,,要买奶粉,0,
ConfirmLoan,0,,我身上只有100，要不要。,0,
ConfirmLoan,0,,别人借我钱,109,
故意岔开话题,2,109,把车洗了,2,
故意岔开话题,2,109,为啥要还,1,
ConfirmLoan,1,,我不是还了吗，怎么又来问,1,
ConfirmLoan,1,,这人不认识，请你核实信息后再打,1,
故意岔开话题,2,109,关我屁事,1,
还款方式,2,108,还不来啊,1,
故意岔开话题,2,109,吃错药了吧,2,
ConfirmLoan,0,,我先看看我是不是欠了这么多。,0,
ConfirmLoan,1,,还毛线,1,
故意岔开话题,2,109,我不确定,1,
ConfirmLoan,1,,他是我朋友，冒用身份信息,1,
ConfirmLoan,1,,你吓到我了，我记得没这么多啊,0,
ConfirmLoan,1,,我借过钱。但是已经还了,1,
ConfirmLoan,1,,滚，胎神,1,
故意岔开话题,2,109,风来了,2,
故意岔开话题,2,109,老板拖欠N个月工资，后天就发了，肯定还！,-1,
故意岔开话题,2,109,不知道了,1,
故意岔开话题,2,109,可能啊,1,
故意岔开话题,2,109,家里没没粮食了,2,
ConfirmLoan,1,,我是不是可以当不知道,1,
ConfirmLoan,0,,你确定我欠了那么多嘛,0,
故意岔开话题,2,109,吓尿了,2,
ConfirmLoan,0,,生病了,0,
还款方式,2,108,我是别个帮我借的,1,
回问身份,2,107,你不是骗子吧,2,
ConfirmLoan,0,,我没有带银行卡,0,1
ConfirmLoan,0,,受伤了,0,1
故意岔开话题,2,109,撞人了,2,
ConfirmLoan,1,,我这么穷，贷款都贷不起,1,
故意岔开话题,2,109,早干嘛去了,2,
ConfirmLoan,1,,你打错电话了,1,
故意岔开话题,2,109,你是不是找错人了,1,
故意岔开话题,2,109,你们搞这个也太黑了，利息好高,0,
ConfirmLoan,1,,我一毛钱都没有收到过，哪里借的钱？,1,
ConfirmLoan,1,,你个骗子,1,
故意岔开话题,2,109,出去了,2,
请求重复,2,103,什么时候,2,
ConfirmLoan,0,,从楼梯上摔下来了，在医院呢,0,
故意岔开话题,2,109,我又不止借了你们一家公司,2,
ConfirmLoan,0,,单位效益不好,0,
请求重复,2,103,我没有听清池,2,
请求重复,2,103,啥子东西哦,2,
故意岔开话题,2,109,搞错了,1,
ConfirmLoan,1,,你不会是骗子吧？,1,
故意岔开话题,2,109,这人怎么了,2,
ConfirmLoan,0,,卡里有钱但是你们没扣我也没有办法还,0,
故意岔开话题,2,109,水胀满了,2,
ConfirmLoan,0,,我没用身份证办理,1,
ConfirmLoan,0,,我到处都欠款，你说我该还你们谁啊,0,
故意岔开话题,2,109,你打错了,1,
ConfirmLoan,1,,没得这事！,1,
故意岔开话题,2,109,无理取闹，你再骚扰我就诅咒你全家了,1,
ConfirmLoan,0,,我信用卡刷爆了,0,
故意岔开话题,2,109,阿拉小得了,0,
ConfirmLoan,0,,这个是我朋友贷的，不是我，我不可能替他还啊,1,
ConfirmLoan,0,,你们别再打了，我有钱会你们的,0,
ConfirmLoan,0,,我妹儿刚刚办婚事，要用钱。,0,
ConfirmLoan,1,,哥是土豪，不差钱,109,
故意岔开话题,2,109,把电视关了,2,
故意岔开话题,2,109,昨天的彩票没有中，今天继续买,2,
ConfirmLoan,0,,这段时间资金周转不开，能不能延期？,0,
故意岔开话题,2,109,你们最近看世界杯吗,2,
故意岔开话题,2,109,你们还发福利了啊,2,
还款方式,2,108,你们有还钱流程么？,2,
请求重复,2,103,啥子哦，你有没搞错,1,
回问身份,2,107,这个号码我才换的,1,
ConfirmLoan,0,,你知道我家在哪吧？自己去搬东西吧。,0,
故意岔开话题,2,109,我又没欠你钱,1,
ConfirmLoan,1,,骗子,1,
回问身份,2,107,我借了很多家，你是哪家的？,2,
ConfirmLoan,0,,我现在两手空空,109,
故意岔开话题,2,109,你又在开玩笑了，我像是有钱的人吗？,1,
请求重复,2,103,好久还清？,0,
ConfirmLoan,1,,我不清楚我要跟他本人核实,1,
ConfirmLoan,0,,我凭本事借的钱为什么要还,0,
故意岔开话题,2,109,家里有人生病,0,
故意岔开话题,2,109,我是别个帮我办的,2,
故意岔开话题,2,109,你还没下班,2,
故意岔开话题,2,109,你说的是2万越南盾哇？,2,
请求重复,2,103,你跟我说方言吗,109,
故意岔开话题,2,109,我先唱一首歌吧,2,
ConfirmLoan,1,,你不清楚你们是高利贷么？还敢给我打电话,1,
ConfirmLoan,1,,请报上你的大名，让警察跟你说。,1,
故意岔开话题,2,109,哪来这么多骚扰电话。,1,
故意岔开话题,2,109,都吃饭了,2,
ConfirmLoan,1,,没有欠过帐，那点钱早就还过了,1,
故意岔开话题,2,109,太甜了,2,
故意岔开话题,2,109,趁着夜还未央,2,
还款方式,2,108,,0,
还款方式,2,108,不清楚怎么还钱,2,
ConfirmLoan,1,,别来烦我！！,1,
ConfirmLoan,0,,最近生意不好啊,0,
ConfirmLoan,0,,你的利息不对,0,
ConfirmLoan,0,,我做生意失败了，现在在找工作！,0,
故意岔开话题,2,109,小生的花伞还落在你家,2,
ConfirmLoan,0,,我没网络,0,
故意岔开话题,2,109,小妹，你好久去的你们公司哦，我劝你还是赶紧离职哦，别被骗了,2,
故意岔开话题,2,109,不清楚,1,
ConfirmLoan,1,,我有钱，怎么会贷款,1,
故意岔开话题,2,109,你头被门夹了哇？,2,
ConfirmLoan,0,,只借了你们2万吗？你搞对没有哦,0,
ConfirmLoan,1,,哥不差钱,109,
ConfirmLoan,1,,我好像没借过钱吧,1,
回问身份,2,107,打错了,1,
ConfirmLoan,1,,什么时候的事情，记不得了呢,1,
ConfirmLoan,0,,我是欠钱，但是只欠公司的钱，不欠一个随便打电话来的陌生人的钱,107,
故意岔开话题,2,109,报警了,1,
ConfirmLoan,1,,没这回事,1,
故意岔开话题,2,109,没能力,0,
故意岔开话题,2,109,我感冒了,0,
故意岔开话题,2,109,我浪迹天涯,2,
ConfirmLoan,1,,你是不是打错了,1,
ConfirmLoan,0,,我不认可你们的算法，我需要再查一下,0,
ConfirmLoan,0,,没得,1,
ConfirmLoan,0,,全都免了？,0,
ConfirmLoan,0,,啊，已经有2万3了么,0,
ConfirmLoan,1,,别有事没事打电话,1,
ConfirmLoan,0,,我哪有借那么多哦,0,
故意岔开话题,2,109,你妹啊，搞错了哇,1,
ConfirmLoan,0,,我借了多少钱？,103,
ConfirmLoan,0,,我都不知道我欠了你们好多钱,0,
故意岔开话题,2,109,没得电了！,1,
故意岔开话题,2,109,还你妹,1,
故意岔开话题,2,109,情劫难了折旧的心,2,
回问身份,2,107,我是欠钱，但是只欠公司的钱，不欠一个随便打电话来的陌生人的钱,2,
还款方式,2,108,app崩溃了，我试了，还不起,2,
故意岔开话题,2,109,不关我的事,1,
故意岔开话题,2,109,今天我很帅,2,
还款方式,2,108,改app还,2,
还款方式,2,108,钱怎么还？用什么东西还？银行转账还是？,2,
ConfirmLoan,0,,穷,0,
ConfirmLoan,1,,我认识你吗，上来就还钱,1,
故意岔开话题,2,109,我看不清,2,
故意岔开话题,2,109,神经病我不差钱,2,
故意岔开话题,2,109,我都无语了,2,
ConfirmLoan,1,,你找李明去,1,
故意岔开话题,2,109,你们有人威胁我,2,
ConfirmLoan,1,,啥？骗子死开,1,
故意岔开话题,2,109,你们真烦,2,
ConfirmLoan,1,,你有证据吗,1,
故意岔开话题,2,109,我已经让财务打给我了，还没到呢,0,
故意岔开话题,2,109,孩子生病了,0,
故意岔开话题,2,109,起床了,2,
