from,label,original_label,original_text,new_label
IfKnowDebtor,1,,不要打电话了,1
请求重复,2,103,我没有听清池,2
故意岔开话题,2,109,我不买房,2
IfKnowDebtor,0,,有事么,101
IfKnowDebtor,1,,有病吧你,1
IfKnowDebtor,1,,你是谁,107
IfKnowDebtor,0,,去世了,0
IfKnowDebtor,0,,有什么事么,101
IfKnowDebtor,0,,我在开车等一下,104
不愿配合,2,110,这个保证不了,2
IfKnowDebtor,0,,什么事,101
不愿配合,2,110,我应该认识他吗,1
IfKnowDebtor,0,,一个村子的,0
说出目的,2,101,怎么啦,101
IfKnowDebtor,0,,什么事,101
IfKnowDebtor,1,,你烦不烦,1
IfKnowDebtor,0,,你自己找他,0
IfKnowDebtor,1,,你们什么意思,1
IfKnowDebtor,1,,你有什么事,101
故意岔开话题,2,109,谁在乎蝴蝶的匆忙,2
IfKnowDebtor,1,,不要烦我，再联系我就投诉你,1
IfKnowDebtor,1,,不是很熟，有什么事,0
IfKnowDebtor,0,,不熟悉,0
不愿配合,2,110,我没有义务告知你,1
故意岔开话题,2,109,人血馒头不好吃,2
IfKnowDebtor,0,,有空聊,1
故意岔开话题,2,109,哥在不,2
IfKnowDebtor,0,,我在高速上,109
IfKnowDebtor,1,,什么啊,1
不愿配合,2,110,我都已经说了不认识了,1
IfKnowDebtor,0,,投资做生意失败了,109
请求等下打来,2,104,他本人不在我帮你问一下吧,0
故意岔开话题,2,109,人都不好了,2
不愿配合,2,110,你找错人了,1
IfKnowDebtor,1,,你们是哪里,101
IfKnowDebtor,1,,让我想起你,109
IfKnowDebtor,1,,你觉得呢,1
故意岔开话题,2,109,长头发短头发？,2
请求等下打来,2,104,雨下太大，没法去处理,2
IfKnowDebtor,0,,什么事,101
IfKnowDebtor,1,,听不见,103
IfKnowDebtor,0,,后天联系我,104
说出目的,2,101,什么事啊,2
IfKnowDebtor,0,,不熟悉,0
IfKnowDebtor,0,,有事哇,101
回问身份,2,107,你是干嘛的,2
IfKnowDebtor,0,,不认识,1
IfKnowDebtor,1,,再打就报警,1
回问身份,2,107,你是谁，我不认识他。,1
IfKnowDebtor,1,,我手机卡刚办,1
不愿配合,2,110,做梦去吧。,2
回问身份,2,107,哪个哟呢,1
不愿配合,2,110,你们不认识啊,1
IfKnowDebtor,1,,别打我电话,1
IfKnowDebtor,0,,我二叔,0
回问身份,2,107,我挺你口音不是成都的哇？哪里人啊,2
IfKnowDebtor,0,,我不一定能联系上,0
不愿配合,2,110,你说的我不懂,1
IfKnowDebtor,1,,他怎么了,0
IfKnowDebtor,0,,有印象，没聊过。,0
不愿配合,2,110,不知,1
不愿配合,2,110,谁知道认识不认识,2
IfKnowDebtor,1,,我认识的人没有叫张三的,1
不愿配合,2,110,不要给家打电话,1
IfKnowDebtor,0,,打了好多电话，不认识，不知道，,0
IfKnowDebtor,0,,张三是谁,0
故意岔开话题,2,109,不打错电话了哇,1
IfKnowDebtor,1,,不好说,1
IfKnowDebtor,1,,不要骚扰我,1
IfKnowDebtor,0,,认识，你谁啊？哪根葱？,0
IfKnowDebtor,0,,有,0
IfKnowDebtor,0,,认识，你谁啊？,0
不愿配合,2,110,我愿意认识就认识，不愿意就不认识,2
IfKnowDebtor,1,,干嘛老给我打,1
IfKnowDebtor,1,,滚，别他么烦我！,1
IfKnowDebtor,1,,他多大,1
IfKnowDebtor,1,,男的女的,1
IfKnowDebtor,1,,我是王二麻,1
IfKnowDebtor,0,,怎么啦,101
请求等下打来,2,104,现在有事，没办法处理,1
说出目的,2,101,怎么了,2
IfKnowDebtor,1,,你说的是张三么没意思,1
故意岔开话题,2,109,我不开心,2
IfKnowDebtor,0,,哪个张三,1
请求等下打来,2,104,我空了联系,2
回问身份,2,107,再打就报警了,1
IfKnowDebtor,0,,说了多少遍了，怎么还打啊,1
不愿配合,2,110,你们真烦,2
说出目的,2,101,有什么事,2
IfKnowDebtor,1,,晓不得,1
不愿配合,2,110,你有病哇,2
不愿配合,2,110,自己去查,2
说出目的,2,101,他正好不在，找他么子个事情？,0
不愿配合,2,110,我认不到你说的那个人,1
IfKnowDebtor,0,,吃过饭,109
IfKnowDebtor,1,,叫什么?,103
IfKnowDebtor,0,,我姐,0
IfKnowDebtor,1,,信号不好,103
IfKnowDebtor,0,,你说哪个？,103
IfKnowDebtor,0,,嗯哼,0
IfKnowDebtor,0,,你说，什么事,101
IfKnowDebtor,1,,不记得了,1
IfKnowDebtor,1,,没明白,1
IfKnowDebtor,1,,和我朋友名字很像，但是不是,1
IfKnowDebtor,1,,你们骚扰,1
IfKnowDebtor,0,,你说哪个？嗯,103
不愿配合,2,110,这电话有毒,2
IfKnowDebtor,1,,咋了,101
IfKnowDebtor,0,,再打电话报警,1
IfKnowDebtor,1,,你要找谁给我打干嘛,103
IfKnowDebtor,1,,没接过这样电话,1
IfKnowDebtor,1,,你们谁呀,107
IfKnowDebtor,1,,看号码对吗,1
IfKnowDebtor,0,,你不要再打电话过来了,1
IfKnowDebtor,0,,不熟悉,0
请求等下打来,2,104,他在开会,0
IfKnowDebtor,0,,找我干嘛,103
IfKnowDebtor,0,,不会吧,1
不愿配合,2,110,不知道,1
IfKnowDebtor,0,,请不要在打这个电话了,1
故意岔开话题,2,109,你们是同事吧,2
说出目的,2,101,什么事？,2
回问身份,2,107,谁啊,1
不愿配合,2,110,我也不知道,1
IfKnowDebtor,0,,不关我事,1
IfKnowDebtor,0,,有人打你电话,109
不愿配合,2,110,听不懂，找谁？,1
IfKnowDebtor,0,,在忙,1
不愿配合,2,110,你认识他啊,2
请求重复,2,103,在上班,2
IfKnowDebtor,1,,以前认识，现在不认识了,1
IfKnowDebtor,0,,有事吗,0
IfKnowDebtor,0,,我在开车,104
IfKnowDebtor,1,,怎么了？,101
IfKnowDebtor,0,,哪门认不得喃。,0
IfKnowDebtor,1,,不熟悉,0
不愿配合,2,110,你觉得呢,2
IfKnowDebtor,1,,你就算打10个电话我也不认识,1
不愿配合,2,110,别烦我,1
不愿配合,2,110,神经病,2
