split_text,classifier,label
NONONO,IfKnowDebtor,1
XX吗，我认识,IfKnowDebtor,0
XX是谁，我不认识,IfKnowDebtor,1
no,IfKnowDebtor,1
一个村子的,IfKnowDebtor,0
一个村的,IfKnowDebtor,0
一点印象没有,IfKnowDebtor,1
一起吃过几次饭不太熟。,IfKnowDebtor,0
一起打过牌不熟。,IfKnowDebtor,0
下次不要给我打,IfKnowDebtor,1
不,IfKnowDebtor,1
不不不,IfKnowDebtor,1
不了解,IfKnowDebtor,1
不会是你搞错了哇,IfKnowDebtor,1
不可能知道,IfKnowDebtor,1
不可能认识,IfKnowDebtor,1
不太熟悉,IfKnowDebtor,0
不太熟悉,IfKnowDebtor,0
不好意思，不认识,IfKnowDebtor,1
不好意思，你打错电话了,IfKnowDebtor,1
不好意，你打错了,IfKnowDebtor,1
不好说,IfKnowDebtor,1
不对啊,IfKnowDebtor,1
不想说关于他的事,IfKnowDebtor,0
不懂,IfKnowDebtor,1
不懂你说什么，不认识,IfKnowDebtor,1
不懂没印象,IfKnowDebtor,1
不打错电话了哇,IfKnowDebtor,1
不是,IfKnowDebtor,1
不是一个地方的,IfKnowDebtor,0
不是不是,IfKnowDebtor,1
不是很熟,IfKnowDebtor,0
不是很熟,IfKnowDebtor,0
不是很熟，有什么事,IfKnowDebtor,0
不是很熟，有什么事,IfKnowDebtor,0
不是，他是我弟弟，找他有什么事？,IfKnowDebtor,0
不晓得,IfKnowDebtor,1
不晓得他。,IfKnowDebtor,1
不晓得他是哪个。,IfKnowDebtor,1
不晓得他是哪方神圣。,IfKnowDebtor,1
不晓得他是谁。,IfKnowDebtor,1
不晓得吧,IfKnowDebtor,1
不晓得哇,IfKnowDebtor,1
不晓得哪里来的人,IfKnowDebtor,1
不晓得嗯,IfKnowDebtor,1
不晓得是哪个喃,IfKnowDebtor,1
不晓得是哪个喃哈,IfKnowDebtor,1
不晓得是哪个喃哈哈哈,IfKnowDebtor,1
不晓得是哪个喃阿,IfKnowDebtor,1
不晓得是哪个喃，没意思,IfKnowDebtor,1
不晓得没意思,IfKnowDebtor,1
