split_text,label
等我想想啊！,讨价还价
缓缓行不行,讨价还价
能不能分期还？,讨价还价
我可以再分期还不？,讨价还价
我没准备好还,讨价还价
我应该还没有逾期两个月哦,讨价还价
先缓缓，马上就还,讨价还价
有钱了自然会还。,讨价还价
真的吗,讨价还价
手机快没电了，你什么意思快说,说出目的
说,说出目的
我等到花儿都谢了，才等到你们的电话啊,说出目的
有啥子事,说出目的
有什么事吗，说,说出目的
在开会，什么事,说出目的
2个月利息加滞纳金都有3千了吗？,确认数额
不好意思，我数学不好,确认数额
不是没有利息吗,确认数额
多少钱？,确认数额
好多嘛,确认数额
利息多少,确认数额
利息你们是怎么给我算的？,确认数额
利息是多少？,确认数额
利息是怎么算的,确认数额
那我总共欠了多少钱，你给算算,确认数额
你帮我算一下，再拖两个月我要还多少？,确认数额
你们的利息太高了吧，还有滞纳金又是什么鬼,确认数额
你们利息怎么算的？,确认数额
你们是高利贷哦，这么多利息,确认数额
你们要钱，这个利息、滞纳金是咋个子算出来的也？,确认数额
你们这利息和之前告诉我的不对,确认数额
你们这利息太高了,确认数额
你说的是2万越南盾哇？,确认数额
你说啥，哪有那么多,确认数额
你怎么没跟我说过有利息？,确认数额
请问什么是滞纳金,确认数额
请问一共减掉了多少利息,确认数额
请问滞纳金是多少？,确认数额
我不记得有这么多,确认数额
我不晓得，你们这个账是咋个子算出来的，你算给我听下子也,确认数额
我到底借了多少钱,确认数额
我都不晓得，你们这个钱是咋个算出来的？,确认数额
我觉得你的利息算得有问题吧,确认数额
我认识你吗？,确认数额
我是她爸爸,确认数额
我数学不好,确认数额
我总共要给好多？,确认数额
现在算一算我要还多少,确认数额
一会儿再打给我吧，在开会呢,确认数额
已经这么多了？,确认数额
有这么多利息？咋个算的,确认数额
咋个两个月的利息，滞纳金这么多哦？高的离谱了，都搞不清楚你们咋个子在弄,确认数额
咋个两个月的利息，滞纳金这么高哦？都搞不清楚你们咋个子在弄,确认数额
咋个两个月的利息，滞纳金这么高哦？咋个算的哦？,确认数额
咋个两个月的利息，滞纳金这么高哦？怎么算的哦？,确认数额
咋个算的,确认数额
咋个算起得,确认数额
怎么都2个月了？,确认数额
怎么算出来的哦,确认数额
怎么这么多？滞纳金怎么算？,确认数额
这个利息、滞纳金是怎么算出来的也？,确认数额
这个利息是怎么算的呢,确认数额
