split_text,label
是的，就是我，你是哪位？,0
嗯，请问有什么事吗？,0
是啊,0
嗯，是的,0
嗯,0
是啊，我这会有点忙，晚上6点以后再联系，可以吧？,0
嗯，对的,0
啊就是,0
啊，对！你是哪位？,0
是我，找我爪子个事情嘛,0
我正在上班，下班后再联系可以吧,0
嗯，你哪位？,0
啊我是，你找我有什么事吗？请快点说，我这回有点忙,0
是我,0
是啊，有什么事吗,0
嗯，是我。有什么事？,0
是本人,0
是我哈,0
有事就说,0
你打错电话了,1
打错了,1
不是呀,1
你打错了,1
不是,1
不是的,1
哦，我不是，他已经去另一个世界了，你如果找他就去吧,1
你好，我不认识,1
不是，不是，不要再打过来了啊,1
我不是我不是,1
他正在开车,1
并不是！！,1
他出去旅游了，不晓得去哪儿了,1
我是他朋友,1
我不是，你打错了吧,1
你打错了,1
跟你说了多少遍了，我不是，你怎么还要打来啊,1
你打错了,1
不是，你打错了,1
打错了,1
不是,1
哪个哟,1
打错了,1
有毛病,1
你谁啊,2
有什么事吗，说,2
说,2
有啥子事,2
咋个,2
风太大了，听不见你说什么,2
你说谁？,2
在开会，什么事,2
你再说一遍,2
你说什么，再说一遍好吗？,2
车速太快,2
如果你能判断今天的天气，我就告诉你答案，咋样？,2
我现在在开会，等会联系,2
你说我是不是,2
信号不好，雨太大了,2
你是不是有病呀,2
你从哪儿听到这个名字的？,2
地震得好厉害，好厉害，好晃动！,2
风太大，没听清,2
我这里信号不好,2
我不明白你在说啥，我现在很忙。,2
烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,2
喂，信号不太好吗,2
下班后去健身吧,2
你说什么？,2
啥子,2
不要给我说土味情话,2
啥子，你说的,2
你哪个,2
