label,split_text,classifier,new_label,comment,uncertain,name,criterion,predict_label,original_index
0,  10 吧,WillingToPay,0,,,zl,,1,34
0,我 还 上 联系 你  ,WillingToPay,0,,,sr,,1,36
0,要 的,WillingToPay,0,,,zl,,1,70
0,这个 时间 很 合适,WillingToPay,0,,,sr,,1,186
0,恩 我 还 啊,WillingToPay,0,,,tsl,,1,195
1,问 朋友 借 把 钱 还 了,WillingToPay,0,,,tsl,,1,201
0,我 十五号 发工资   到时候 还 。,WillingToPay,0,,,sr,,1,239
0,钱 马上 到 账 了   你 急 什么 ！,WillingToPay,0,,,zl,,1,298
2,半年 时间 全部 换 不用 减免,WillingToPay,0,,,tsl,,1,303
0,  处理 逾期 欠款,WillingToPay,0,,,zl,,1,314
0,  还 哈哈哈,WillingToPay,0,,,sr,,1,315
0,5 号 还款,WillingToPay,0,,,zl,,1,323
0,  就 还,WillingToPay,1,两天，几天,,tsl,,0,324
0,  就 还   你 急 啥,WillingToPay,0,,,zl,,1,339
0,放心 吧   不会 跑 了 的,WillingToPay,0,,,tsl,,1,354
1,坐牢 就 还,WillingToPay,1,,,zl,,0,405
0,月 中 发工资 处理,WillingToPay,0,,,sr,,1,411
0,我过 几天 就 还,WillingToPay,1,！,,tsl,,0,420
0,那好 吧,WillingToPay,0,,,zl,,1,429
0,我 马上转,WillingToPay,0,,,sr,,1,462
2,减免 就 还,WillingToPay,1,,,zl,,0,479
0,我   再 还,WillingToPay,0,,,sr,,1,489
0,我 月 中 还,WillingToPay,0,,,zl,,1,511
0,我 还,WillingToPay,0,,,zl,,1,528
1,  一定 还 。,WillingToPay,1,,,sr,,0,564
0,现在 存钱,WillingToPay,0,,,sr,,1,575
0,我 立马 挪 一下 资金 给 还 上,WillingToPay,0,,,zl,,1,592
0,行   按 你 说 的 办,WillingToPay,0,,,sr,,1,593
2,能少点   我 就 还,WillingToPay,1,,,sr,,0,601
0,  还清,WillingToPay,0,,,sr,,1,602
0,我 发工资 就 处理,WillingToPay,1,,,sr,,0,605
0,可以   你 到时候 直接 查 账单,WillingToPay,0,,,tsl,,1,616
0,可以 的 没意思,WillingToPay,1,,,sr,,0,618
1,这样 吧   多 给 我     我 肯定 能 还,WillingToPay,0,,,sr,,1,641
0,好好,WillingToPay,0,,,sr,,1,645
2,我 跟着 就 处理   打个 折哈,WillingToPay,1,,,sr,,0,651
0,两天 时间 可以 还 。,WillingToPay,0,,,tsl,,1,663
2,你 帮 我 减免 弄 好 了 我 马上 还 进去,WillingToPay,1,,,sr,,0,677
1,你 想 怎 处理 就 怎 处理,WillingToPay,1,,,tsl,,0,692
1,有钱 肯定 还 上,WillingToPay,1,,,sr,,0,708
