label,old_label,classifier,split_text
0,0.0,CutDebt,我 的 欠款 。 我 很 急   待会 就 处理
1,1.0,CutDebt,我 是 在 没 那么 多   我 还 在 住院   老婆 辞职
0,0.0,Installment,  一早 去 银行 处理
1,1.0,CutDebt,  不行   我 25 号 才 发工资
1,1.0,CutDebt,减得 太少 了 哈 。
1,1.0,CutDebt,钱 不 减免   就 不 还 了
0,0.0,Installment,晚上 先 换点
1,1.0,CutDebt,这样 有 意义 吗
1,1.0,CutDebt,那 我 就 不 还 了
0,0.0,CutDebt,我 每次 都 是 按时 还款 的 。
0,0.0,Installment,1000 我 可以 先 还
0,0.0,CutDebt,嗯   谢谢 嫩
1,1.0,CutDebt,现在 没 工作
1,1.0,CutDebt,没有 工作
0,0.0,CutDebt,马上 就 能 处理
1,1.0,CutDebt,我 实在 没有 呢 么 多 能 不能 再少点
1,1.0,CutDebt,家庭 开销 太 大
0,0.0,Installment,我 已经 在 操作 还款 了 ！
0,0.0,Installment,没 得 问题   我 先 还   帮 我 延期
0,0.0,CutDebt,放心 吧
1,1.0,CutDebt,不行   现在 没有 钱
1,1.0,CutDebt,还 可以 在 少点 吗
1,1.0,CutDebt,高 了
1,1.0,CutDebt,我 只 还 本金 的 一半   不然 就 不 还 了
0,0.0,Installment,能 的
1,1.0,CutDebt,可以 再减 一点 吗
1,1.0,CutDebt,我 没有 那么 多钱
0,0.0,Installment,说定 喽
0,0.0,CutDebt,谢谢   那 我   肯定 能 还 上 哈
0,0.0,CutDebt,没 问题 。
1,1.0,CutDebt,高利贷 吧
0,0.0,CutDebt,马上 还  
1,1.0,CutDebt,生活费 都 没有
1,1.0,CutDebt,我 有钱 了 我 自己 去 还
1,1.0,CutDebt,可能 不行   我 的 房子 贷款 可能 下不来
0,0.0,Installment,可以 的   没 问题
0,0.0,Installment,到时候 一起 还 上
1,1.0,CutDebt,工资 没有 那么 高
1,1.0,CutDebt,暂时 不行 哦 。
1,1.0,CutDebt,起诉 我 吧
0,0.0,Installment,俺 明儿 还
1,1.0,CutDebt,再 怎么 减都 不 还
0,0.0,Installment,晚上 就 去
1,1.0,CutDebt,短时间 还 不了 。
1,1.0,CutDebt,我 实在 没 那么 多钱   我 老婆 辞职 了 嗯
0,1.0,Installment,好   我 想想 办法   正好 最近 性情 好   办法 总是 容易 想 出来
0,0.0,CutDebt,行   你 放 一万个 心
0,0.0,Installment,我 发誓     绝对 还 ！
0,0.0,Installment,可以   谢谢
0,0.0,Installment,肯定 能 处理
1,1.0,CutDebt,可以 在 少点
0,0.0,Installment,确定 。
0,0.0,CutDebt,早就 嘛   我 早就 可以 还给 你们 了
0,0.0,Installment,好 的   我 先 还 这部分 钱
1,1.0,CutDebt,我 实在 没 那么 多钱   我 还 在 住院 了
0,0.0,CutDebt,我 可以 一次性 还清
0,0.0,CutDebt,必须 的
1,1.0,CutDebt,再 多 几天 啥 。
1,1.0,CutDebt,要是 我 还 不 还   是不是 下次 就 本金 减 一半 啊
1,1.0,CutDebt,真的 没 钱   逼死 我 也 没有 用
1,1.0,CutDebt,不 可以 再 减免 一点 吗
0,0.0,Installment,现在 处理
0,0.0,Installment,先 还 这 可以
1,1.0,CutDebt,我 失业 了   没 钱
0,0.0,Installment,钱要   才能 到 账
1,1.0,CutDebt,占时 没钱
1,1.0,CutDebt,你 减 了 我 也 没 钱
1,1.0,CutDebt,现在 钱 还 没到
1,1.0,CutDebt,没
1,1.0,CutDebt,身上 没 这么 钱
0,0.0,CutDebt,待会 就 去
0,0.0,Installment,行   行   行
1,1.0,CutDebt,时间 长点
1,1.0,CutDebt,那天 处理 不了 再缓 几天 吧
1,1.0,CutDebt,两天 不行 啊   我 现在 没 钱
0,0.0,Installment,我 可以 还
1,1.0,CutDebt,我 真 没 那么 多钱
0,0.0,Installment,这样的话 我   还哈
1,1.0,CutDebt,我   还 不了 哈哈哈
0,0.0,Installment,好 的   五点 之前 还 进去
0,0.0,Installment,可以   时间 啊   绝对 没有 问题
1,1.0,CutDebt,我 得 去 凑钱
1,1.0,CutDebt,还 能 再 减免 300 吗
1,1.0,CutDebt,钱太高 了   现在 有 困难   能 在 少点 吗
1,1.0,CutDebt,  处理
0,0.0,Installment,放心 我会 还
1,1.0,CutDebt,生意 失败   没 那么 多钱
0,0.0,Installment,可以 月底 嘛
0,0.0,Installment,放心 吧 我 筹好 了
1,1.0,CutDebt,借借看 吧  
