text,category,label,CutDebt,IDClassifier,IfKnowDebtor,Installment,ConfirmLoan,WillingToPay
2个月利息加滞纳金都有3千了吗？,确认数额,102,0,1,1,1,1,0
2个月利息就是3000，这个利润有点可观,确认数额,102,0,1,1,1,1,0
2万几,确认数额,102,0,1,1,0,1,0
啊！这么多啊！,确认数额,102,0,1,1,0,1,0
啊，已经有2万3了么,确认数额,102,0,1,1,0,1,0
把要还的明显发我下，我核对下。,确认数额,102,0,1,1,0,1,0
帮我算算我总共要还多少钱？,确认数额,102,0,1,1,0,1,0
本金多少,确认数额,102,0,1,1,0,1,0
本金多少,确认数额,102,0,1,1,0,1,0
本金和利息各是多少？,确认数额,102,0,1,1,1,1,0
本金有多少来着,确认数额,102,0,1,1,0,1,0
变成这么多钱了？,确认数额,102,0,1,1,0,1,0
不得哦，怎么会欠这么多钱呢？你给我仔细说一下呢,确认数额,102,0,1,1,0,1,0
不对啊,确认数额,102,0,1,1,0,1,0
不对哦,确认数额,102,0,1,1,0,1,0
不能理解你们，没有那么多钱，说成有那么多，怎么算的,确认数额,102,0,1,1,0,1,0
不是没有利息吗,确认数额,102,1,1,1,1,1,0
不是说好的没有利息吗,确认数额,102,1,1,1,1,1,0
不知道有没有算错呢,确认数额,102,0,1,1,0,1,0
当时没借那么多,确认数额,102,1,1,1,1,1,0
到底是好多哦？,确认数额,102,0,1,1,0,1,0
到底要多少钱？,确认数额,102,0,1,1,0,1,0
等等，我需要查询一下借款记录,确认数额,102,0,1,1,0,1,0
等我查询过就处理,确认数额,102,0,1,1,0,1,0
等我核对一下我到底欠了多少钱再说,确认数额,102,0,1,1,0,1,0
等我看哈,确认数额,102,0,1,1,0,0,0
等我去看一下记录多,确认数额,102,0,1,1,0,0,0
等我自己去确认了金额，再说,确认数额,102,0,1,1,0,1,0
等下，我找下账单信息。,确认数额,102,0,1,1,0,1,0
等下啊，我记下我欠了多少钱。,确认数额,102,0,1,1,0,1,0
等一下，我算一下,确认数额,102,0,1,1,0,1,0
多少,确认数额,102,0,1,1,0,1,0
多少多少我就还,确认数额,102,0,1,1,0,1,0
多少钱,确认数额,102,0,1,1,0,1,0
多少钱？,确认数额,102,0,1,1,0,1,0
多少欠款,确认数额,102,0,1,1,0,1,0
发份账单到我邮箱吧，我记不住。,确认数额,102,0,1,1,0,1,0
发个明细过来看看呢,确认数额,102,0,1,1,0,1,0
分多少期付款完？,确认数额,102,0,1,1,0,1,0
分期的话，一期要还多少？,确认数额,102,0,1,1,0,1,0
分期还还有利息吗？,确认数额,102,0,1,1,0,1,0
分期咋算安阿,确认数额,102,0,1,1,0,1,0
