expression,key_word
?y-?m-+1d-12H:00M:00S,明天
?y-?m-+1d-12H:00M:00S,明天早上
?y-?m-+1d-15H:00M:00S,明天下午
?y-?m-+2d-15H:00M:00S,后天下午
?y-?m-+2d-12H:00M:00S,后天
?y-?m-+2d-12H:00M:00S,后天早上
?y-?m-?d-15H:00M:00S,今天
?y-?m-?d-15H:00M:00S,今天下午
?y-?m-+3d-12H:00M:00S,大后天
?y-?m-+3d-12H:00M:00S,大后天早上
?y-?m-+3d-15H:00M:00S,大后天下午
?y-?m-+15d-15H:00M:00S,半个月内
?y-+1m-15d-12H:00M:00S,下个月
?y-+1m-28d-12H:00M:00S,下个月月底
?y-+1m-5d-15H:00M:00S,下个月初
?y-+2m-15d-15H:00M:00S,下下个月
?y-+2m-15d-15H:00M:00S,再下个月
?y-+2m-5d-15H:00M:00S,下下个月初
?y-+1m-15d-15H:00M:00S,下个月中
?y-+2m-15d-15H:00M:00S,下下个月中
?y-+1m-25d-15H:00M:00S,下个月末
?y-+1m-25d-15H:00M:00S,下个月底
?y-+2m-25d-15H:00M:00S,下下个月末
?y-+2m-25d-15H:00M:00S,下下个月底
?y-+3m-15d-15H:00M:00S,下下下个月
?y-?m-+30d-15H:00M:00S,一个月
?y-?m-+30d-15H:00M:00S,1个月
?y-?m-+15d-15H:00M:00S,半个月
?y-?m-+60d-15H:00M:00S,两个月
?y-?m-+60d-15H:00M:00S,2个月
?y-?m-+45d-15H:00M:00S,一个半月
?y-?m-+45d-15H:00M:00S,1个半月
?y-?m-+75d-15H:00M:00S,两个半月
?y-?m-+75d-15H:00M:00S,2个半月
?y-?m-+90d-15H:00M:00S,三个月
?y-?m-+90d-15H:00M:00S,3个月
?y-?m-+105d-15H:00M:00S,三个半月
?y-?m-+105d-15H:00M:00S,3个半月
?y-?m-+120d-15H:00M:00S,四个月
?y-?m-+120d-15H:00M:00S,4个月
?y-?m-+135d-15H:00M:00S,四个半月
?y-?m-+135d-15H:00M:00S,4个半月
?y-?m-+150d-15H:00M:00S,五个月
?y-?m-+150d-15H:00M:00S,5个月
?y-?m-+165d-15H:00M:00S,五个半月
?y-?m-+165d-15H:00M:00S,5个半月
?y-?m-+180d-15H:00M:00S,六个月
?y-?m-+180d-15H:00M:00S,6个月
?y-?m-+195d-15H:00M:00S,六个半月
?y-?m-+195d-15H:00M:00S,6个半月
?y-?m-+210d-15H:00M:00S,七个月
?y-?m-+210d-15H:00M:00S,7个月
?y-?m-+225d-15H:00M:00S,七个半月
?y-?m-+225d-15H:00M:00S,7个半月
?y-?m-+240d-15H:00M:00S,八个月
?y-?m-+240d-15H:00M:00S,8个月
?y-?m-+255d-15H:00M:00S,八个半月
?y-?m-+255d-15H:00M:00S,8个半月
?y-6m-1d-15H:00M:00S,上半年
?y-6m-1d-15H:00M:00S,前半年
?y-12m-1d-15H:00M:00S,下半年
?y-12m-1d-15H:00M:00S,后半年
?y-1m-31d-15H:00M:00S,年初
?y-12m-1d-15H:00M:00S,年末
?y-1m-31d-15H:00M:00S,年尾
?y-3m-15d-15H:00M:00S,春天
?y-3m-15d-15H:00M:00S,春季
?y-7m-15d-15H:00M:00S,夏天
?y-7m-15d-15H:00M:00S,夏季
?y-10m-15d-15H:00M:00S,秋天
?y-10m-15d-15H:00M:00S,秋季
?y-12m-15d-15H:00M:00S,冬天
?y-12m-15d-15H:00M:00S,冬季
?y-+3m-+1d-15H:00M:00S,一个季度
?y-+3m-+1d-15H:00M:00S,1个季度
?y-+6m-+1d-15H:00M:00S,两个季度
?y-+6m-+1d-15H:00M:00S,2个季度
?y-+9m-+1d-15H:00M:00S,三个季度
?y-+9m-+1d-15H:00M:00S,3个季度
?y-4m-30d-15H:00M:00S,劳动节
?y-9m-30d-15H:00M:00S,国庆节
+10y-?m-?d-15H:00M:00S,下辈子
?y-+1W-?w-12H:00M:00S,一周后
?y-?W-5w-15H:00M:00S,一周内
?y-+1W-?w-15H:00M:00S,1周后
?y-+2W-?w-15H:00M:00S,2周后
?y-+2W-?w-15H:00M:00S,两周后
?y-+1W-?w-12H:00M:00S,下周
?y-?W-3w-12H:00M:00S,周三
?y-+1W-1w-15H:00M:00S,下周一
?y-+1W-1w-15H:00M:00S,下周1
?y-+1W-1w-12H:00M:00S,下周一早上
?y-+1W-1w-12H:00M:00S,下周1早上
?y-+1W-1w-15H:00M:00S,下周一下午
?y-+1W-1w-15H:00M:00S,下周1下午
?y-+2W-1w-15H:00M:00S,下下周一
?y-+2W-1w-15H:00M:00S,下下周1
?y-+1W-2w-15H:00M:00S,下周二
?y-+1W-2w-15H:00M:00S,下周2
?y-+1W-2w-15H:00M:00S,下周二下午
?y-+1W-2w-15H:00M:00S,下周2下午
?y-+1W-2w-12H:00M:00S,下周二早上
?y-+1W-2w-12H:00M:00S,下周2早上
?y-+2W-2w-15H:00M:00S,下下周二
?y-+2W-2w-15H:00M:00S,下下周2
?y-+1W-3w-15H:00M:00S,下周三
?y-+1W-3w-15H:00M:00S,下周3
?y-+1W-3w-12H:00M:00S,下周三早上
?y-+1W-3w-12H:00M:00S,下周3早上
?y-+1W-3w-15H:00M:00S,下周三下午
?y-+1W-3w-15H:00M:00S,下周3下午
?y-+2W-3w-15H:00M:00S,下下周三
?y-+2W-3w-15H:00M:00S,下下周3
?y-+1W-4w-15H:00M:00S,下周四
?y-+1W-4w-15H:00M:00S,下周4
?y-+1W-4w-12H:00M:00S,下周四早上
?y-+1W-4w-12H:00M:00S,下周4早上
?y-+1W-4w-15H:00M:00S,下周四下午
?y-+1W-4w-15H:00M:00S,下周4下午
?y-+2W-4w-15H:00M:00S,下下周四
?y-+2W-4w-15H:00M:00S,下下周4
?y-+1W-5w-12H:00M:00S,下周五
?y-+1W-5w-12H:00M:00S,下周5
?y-+1W-5w-12H:00M:00S,下周五早上
?y-+1W-5w-12H:00M:00S,下周5早上
?y-+1W-5w-15H:00M:00S,下周五下午
?y-+1W-5w-15H:00M:00S,下周5下午
?y-+2W-5w-12H:00M:00S,下下周五
?y-+2W-5w-12H:00M:00S,下下周5
?y-?W-5w-15H:00M:00S,这周内
?y-?W-5w-15H:00M:00S,这星期内
?y-?W-5w-15H:00M:00S,这礼拜内内
?y-+1W-5w-15H:00M:00S,下周内
?y-+1W-5w-15H:00M:00S,下星期内
?y-+1W-5w-15H:00M:00S,下礼拜内
?y-+2W-?w-15H:00M:00S,下下周
?y-+2W-?w-15H:00M:00S,下下星期
?y-+2W-?w-15H:00M:00S,下下礼拜
?y-+3W-?w-15H:00M:00S,下下下周
?y-+3W-?w-15H:00M:00S,下下下星期
?y-+3W-?w-15H:00M:00S,下下下礼拜
?y-+2W-?w-15H:00M:00S,两周内
?y-?W-2w-15H:00M:00S,这周二
?y-?W-2w-15H:00M:00S,这周2
?y-?W-2w-12H:00M:00S,这周二早上
?y-?W-2w-12H:00M:00S,这周2早上
