text,category,label,IDClassifier,IfKnowDebtor,ConfirmLoan,WillingToPay,CutDebt,Installment
没明白,请求重复,103,0.0,0.0,1.0,0.0,0.0,0.0
你那边怎么这么吵，在工地吗？,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不知道你想表达什么,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大，,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大了，听不见你说什么,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
延啥子也？听不清？你再说一遍,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
打了又不说话,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大声点，哪个？,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大声一点,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大声点,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
大点声,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不好意思我没听清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
啊什么你说什么,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不好意思，你刚说啥,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不好意思，,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
冰雹太大，听不清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
安？哪个？,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话太吵了,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
安？免好多？,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
不好意思听不清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电话有杂音,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风声太大了,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
电梯没信号,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大，听不清。,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大，听不清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风太大，没听清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
啊什么,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风大听不清楚,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风大听不清,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
风大你说的哈,请求重复,103,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
