original_text,from,original_label,split_text
别打扰我,请求等下打来,110,别 打扰 我
车速太快,请求等下打来,109,车速 太快
大雨即将来临,请求等下打来,109,大雨 即将来临
地震得好厉害，好厉害，好晃动！,请求等下打来,109,地震 得 好 厉害   好 厉害   好 晃动 ！
对不起家里有客人来了，一会儿再聊,请求等下打来,104,对不起 家里 有 客人 来 了   一会儿 再聊
好吵哦，听不到,请求等下打来,103,好 吵 哦   听 不到
好了，等会儿再说，我要出去趟,请求等下打来,104,好 了   等会儿 再说   我要 出去 趟
好了，先聊到这，我这边有其他事情，晚点再说,请求等下打来,104,好 了   先聊 到 这   我 这边 有 其他 事情   晚点 再说
火车来了,请求等下打来,104,火车 来 了
马上进电梯了，没信号,请求等下打来,104,马上 进 电梯 了   没 信号
马上就要起飞了，你过两小时打过来吧,请求等下打来,104,马上 就要 起飞 了   你 过 两 小时 打 过来 吧
你说啥？我信号不好，等会儿给你回过去,请求等下打来,104,你 说 啥 ？ 我 信号 不好   等会儿 给 你 回 过去
清不到,请求等下打来,103,清 不到
情劫难了折旧的心,请求等下打来,109,情 劫难 了 折旧 的 心
手机要没电了，你一会儿再打过来吧,请求等下打来,104,手机 要 没电 了   你 一会儿 再 打 过来 吧
为啥要还,请求等下打来,110,为啥 要 还
喂，喂，喂，我这边信号不好，等下再打过来。,请求等下打来,104,喂   喂   喂   我 这边 信号 不好   等 下 再 打 过来 。
喂，我在开车，等下再说,请求等下打来,104,喂   我 在 开车   等 下 再说
我不明白你在说啥，我现在很忙。,请求等下打来,110,我 不 明白 你 在 说 啥   我 现在 很 忙 。
我等下给你打过来,请求等下打来,104,我 等 下 给 你 打 过来
我现在不方便，空了再说,请求等下打来,104,我 现在 不 方便   空 了 再说
我现在在开会，等会联系,请求等下打来,104,我 现在 在 开会   等 会 联系
我要登机了，有什么事等我下飞机在说,请求等下打来,104,我要 登机 了   有 什么 事 等 我 下 飞机 在 说
我要开车了,请求等下打来,104,我要 开车 了
我要开会了，改天说,请求等下打来,104,我要 开会 了   改天 说
我在开会,请求等下打来,104,我 在 开会
我在忙，稍后再说,请求等下打来,104,我 在 忙   稍后 再说
我在上班，不方便接听你的电话，有事请等我下班了在说，现在很忙,请求等下打来,104,我 在 上班   不 方便 接听 你 的 电话   有事 请 等 我 下班 了 在 说   现在 很 忙
我在想想，一会儿再打吧,请求等下打来,104,我 在 想想   一会儿 再 打 吧
我这里信号不是很好，你把信息发到我手机上,请求等下打来,104,我 这里 信号 不是 很 好   你 把 信息 发到 我 手机 上
信号不好，等等啊，要不一会儿你再打过来呢,请求等下打来,104,信号 不好   等等 啊   要 不一会儿 你 再 打 过来 呢
雨太大了，躲雨去了,请求等下打来,109,雨太大 了   躲雨 去 了
最近忙,请求等下打来,104,最近 忙
要赶飞机，再说了,请求等下打来,104,要 赶 飞机   再说 了
我现在不方便接电话,请求等下打来,104,我 现在 不 方便 接电话
这会在忙，后面再议,请求等下打来,104,这会 在 忙   后面 再议
现在比较忙，晚点说,请求等下打来,104,现在 比较忙   晚点 说
好的，我知道了，我现在有事，等下打给你,请求等下打来,104,好 的   我 知道 了   我 现在 有事   等 下 打 给 你
信号不好,请求等下打来,104,信号 不好
正在忙，一会再说,请求等下打来,104,正在 忙   一会 再说
这里信号不好，等会说,请求等下打来,104,这里 信号 不好   等 会 说
这个钱。我待会联系你，,请求等下打来,104,这个 钱 。 我待会 联系 你  
这段时间在告诉上，下高速在说,请求等下打来,104,这 段时间 在 告诉 上   下 高速 在 说
这边新号不好，等我联系你,请求等下打来,104,这边 新 号 不好   等 我 联系 你
找时间详谈吧,请求等下打来,104,找 时间 详谈 吧
找个安静的地方,请求等下打来,104,找个 安静 的 地方
在医院,请求等下打来,104,在 医院
在外面,请求等下打来,104,在 外面
在停车场,请求等下打来,104,在 停车场
在谈业务,请求等下打来,104,在 谈 业务
在睡觉,请求等下打来,109,在 睡觉
在上班下班联系你,请求等下打来,104,在 上班 下班 联系 你
在上班，我下班你再打我电话,请求等下打来,104,在 上班   我 下班 你 再 打 我 电话
在山上信号不好,请求等下打来,104,在 山上 信号 不好
