label,split_text,classifier,new_label,
0,月底肯定会还,CutDebt,0,
0,这消息不错，好的,CutDebt,0,
1,钱太多了，筹不到,CutDebt,1,
1,财务说马上发工资,CutDebt,1,
1,3天之内还不上,CutDebt,1,
0,我现在在银行，马上就处理,CutDebt,0,
1,你打死我吗,CutDebt,1,
1,免了也还不起,CutDebt,1,
1,不得还,CutDebt,1,
0,立刻处理了,CutDebt,0,
0,神经病没5天能还？,CutDebt,1,
0,可以，我马上就还,CutDebt,0,
1,还能再减一点吗，我还是还不起,CutDebt,1,
1,再怎么减都不还,CutDebt,1,
0,行我现在就处理,CutDebt,0,
0,你放心，我准时还进去,CutDebt,0,
1,能把本金减了吗？,CutDebt,1,
1,有钱就是不还,CutDebt,1,
0,放心吧,CutDebt,0,
1,有钱再说,CutDebt,1,
1,我一下子没那么多钱，帮我分期,CutDebt,1,
0,我会按时还钱的,CutDebt,0,
0,我现在去银行了,CutDebt,106,
1,全都免了？,CutDebt,1,
1,不确定,CutDebt,1,
0,很好的方案，我同意,CutDebt,0,
1,我在想办法,CutDebt,1,
0,不超过八点,CutDebt,0,
1,还是算了吧,CutDebt,1,
1,我把银行所有的钱都取了，也不够呀。,CutDebt,1,
0,我觉得没问题没意思,CutDebt,0,
1,你帮我我会感激你一辈子,CutDebt,1,
1,父母生病,CutDebt,1,
0,2月28还,CutDebt,0,
1,在少点啊,CutDebt,1,
0,立刻处理,CutDebt,0,
1,时间不够,CutDebt,1,
0,月底处理,CutDebt,0,
1,身上没这么钱,CutDebt,1,
1,我现在在外地,CutDebt,1,
1,发工资再处理行吗,CutDebt,1,
1,还能在少点吗,CutDebt,1,
0,应该可以,CutDebt,0,
0,能减免利息我就可以还了,CutDebt,0,
1,办理不了转账,CutDebt,108,
0,非常好,CutDebt,0,
1,遇到困难,CutDebt,1,
1,我最近没这么多钱,CutDebt,1,
1,我住院了，家里穷,CutDebt,1,
1,时间太紧,CutDebt,1,
0,能减免利息就没问题了,CutDebt,0,
1,我住院了，老婆也辞职了,CutDebt,1,
1,真的不行,CutDebt,1,
0,这样太好了,CutDebt,0,
1,多给点时间,CutDebt,1,
1,车子卖了还,CutDebt,1,
1,明天看看有没有钱,CutDebt,1,
1,再少点噻啊,CutDebt,1,
1,我在外面欠的太多了,CutDebt,1,
1,之前没钱,CutDebt,1,
1,我想想办法,CutDebt,1,
1,这样啊，这个时间不一定可以啊,CutDebt,1,
1,反正打不打都没钱,CutDebt,1,
1,银行卡被冻结了过几天解封就还,CutDebt,1,
1,时间太短了，我一下拿不出来这么多钱,CutDebt,1,
1,一个星期可能处理不了,CutDebt,1,
0,"我同意,这样子我就还的起了，谢谢你哈哈哈",CutDebt,0,
1,多给两天三。,CutDebt,1,
1,我问朋友借一遍,CutDebt,1,
0,可以呀,CutDebt,0,
0,说还就还,CutDebt,0,
1,这个金额太高了，借不到钱，,CutDebt,1,
1,我辞职了，没钱,CutDebt,1,
0,这样就可以还得起了,CutDebt,0,
1,贷款下来还,CutDebt,1,
0,中午还上,CutDebt,0,
0,卡里有去扣吧,CutDebt,0,
0,绝对没问题；马上处理,CutDebt,0,
1,我现在生病没法工作,CutDebt,1,
1,我正在筹钱，你催个毛线啊,CutDebt,1,
0,我现在就用手机银行转账,CutDebt,0,
0,知道了到时候肯定还,CutDebt,0,
1,XX天内可能还不了,CutDebt,1,
1,不知道,CutDebt,1,
1,这也换不起啊,CutDebt,1,
0,现在就换,CutDebt,0,
0,现在有钱没问题,CutDebt,0,
1,起诉我吧,CutDebt,1,
1,能不能减免,CutDebt,1,
1,还有其他欠款要处理,CutDebt,1,
1,可以不还吗,CutDebt,1,
1,只少这么一点，还是要等我中奖了才可以还,CutDebt,1,
1,过几天,CutDebt,1,？
1,这段时间可能不行,CutDebt,1,
0,找老板先支一点还,CutDebt,106,？如我只能还1000，标1
1,俺木有,CutDebt,1,
1,给我考虑下,CutDebt,1,
1,生活费都没有,CutDebt,1,
1,再多些时间吧,CutDebt,1,
0,那要得嘛哇,CutDebt,0,
