label,split_text,classifier,new_label,
0,明说，我其实就是不想还,ConfirmLoan,0,
0,我妈妈也住院了嗯,ConfirmLoan,0,
0,我儿子把我家的钱全给拿走了,ConfirmLoan,0,
1,你搞错了,ConfirmLoan,1,
0,我穷得很，莫得钱还，可以不可以再借点给我,ConfirmLoan,0,
0,钱，是没有，只有一条命,ConfirmLoan,0,
0,家中遇到小偷了,ConfirmLoan,0,
0,要钱没有，要命一条,ConfirmLoan,0,
0,最近手头紧张,ConfirmLoan,0,
1,你们肯定是搞错了,ConfirmLoan,1,
1,你搞错了哇,ConfirmLoan,1,
1,不是我借的，是我朋友借的,ConfirmLoan,1,
0,实在没钱,ConfirmLoan,0,
0,你们的app被我卸载了,ConfirmLoan,0,
0,我能还100元，你们要不？,ConfirmLoan,0,
0,没办法,ConfirmLoan,0,
1,你是不是找错人喽，之前也有人打过电话，但那不是我啊,ConfirmLoan,1,
1,这个是我朋友用我的身份证办的，和我没有关系,ConfirmLoan,1,
1,不可能的,ConfirmLoan,1,
0,后天,ConfirmLoan,0,
1,你给我说清楚，我什么时候借过钱了？,ConfirmLoan,1,
1,你他妈谁呀，瞎几把打,ConfirmLoan,1,
0,不清楚,ConfirmLoan,0,尽量为0，除非明显说不欠款
1,这个是我朋友用我的身份证办的呢,ConfirmLoan,1,
0,我后悔借钱了，我没钱还,ConfirmLoan,0,
0,忘记用户名密码了,ConfirmLoan,0,
0,我身无分文,ConfirmLoan,0,
1,不是我小瞧这2万块钱，是我真没必要管你们贷款，我家里真不差钱,ConfirmLoan,1,
0,还个屁,ConfirmLoan,0,
0,还没发工资,ConfirmLoan,0,
1,你们已经打过很多遍了，不要再打了，我再说一遍我没有借钱,ConfirmLoan,1,
0,想还还不起啊,ConfirmLoan,0,
1,这个是我朋友用我的身份证办的哈哈哈,ConfirmLoan,1,
0,人事会给你解释,ConfirmLoan,0,
0,确实拿不出这个钱焉,ConfirmLoan,0,
0,简直就是高利贷，还不起,ConfirmLoan,0,
1,如果借了，一定会还的。问题是我没有借呀。,ConfirmLoan,1,
0,等我把货款收回来才有钱还,ConfirmLoan,0,
1,不好意思，我从没有借款,ConfirmLoan,1,
1,还不起你又能把我怎样,ConfirmLoan,0,
0,因为没有钱,ConfirmLoan,0,
1,谁说我欠你们钱了?,ConfirmLoan,1,
0,给丈母娘买房了,ConfirmLoan,0,
0,没得钱咋办喃,ConfirmLoan,0,
0,凭本事借的为什么要还，你爱起诉起诉，爱上门上门,ConfirmLoan,0,
1,我证件之前丢了，我没有贷过。,ConfirmLoan,1,
1,爬哦，瓜娃子嗦，哪个欠你钱,ConfirmLoan,1,
0,不要闹,ConfirmLoan,109,
0,现在没这多钱，后天吧,ConfirmLoan,0,
0,我把别人弄伤了，都付医药费了,ConfirmLoan,0,
1,我好久借过你们钱的,ConfirmLoan,1,
1,没有的事，你是不是弄错了,ConfirmLoan,1,
1,我的信用卡被盗用是，身份信息泄露了，钱不是我借的,ConfirmLoan,1,
0,家里实在没钱,ConfirmLoan,0,
1,我不认识，你打错了,ConfirmLoan,1,
1,我借过钱。但是已经还了,ConfirmLoan,1,
0,我就是不还,ConfirmLoan,0,
1,你这个公司怕是骗子哦,ConfirmLoan,1,
0,我是别个帮我借的,ConfirmLoan,0,
0,家里人可以还吧,ConfirmLoan,0,
0,我在打官司，现在不能还钱,ConfirmLoan,0,
0,嗯，最近有点特殊情况,ConfirmLoan,0,
1,我的身份证被盗了，不是我借的，跟我没关系,ConfirmLoan,1,
0,你要是还要这么高,ConfirmLoan,0,
0,我没在家,ConfirmLoan,0,
0,对不起，我不方便这么做呗,ConfirmLoan,0,
0,手头紧,ConfirmLoan,0,
0,我欠了你们多少钱？你说说看,ConfirmLoan,0,
1,怎么这么多,ConfirmLoan,0,
0,坐牢才出来,ConfirmLoan,0,
0,搞忘了，确实是搞忘了，不好意思,ConfirmLoan,0,
0,老板钱没拿到，不确定什么发工资,ConfirmLoan,0,
0,没钱了，吃不起饭了,ConfirmLoan,0,
0,我还不起滞纳金和利息,ConfirmLoan,0,
0,我媳妇前段时间生小孩嗯,ConfirmLoan,0,
0,钱存定期了，取不出来,ConfirmLoan,0,
0,别人还没还我钱了,ConfirmLoan,0,
1,不知道了,ConfirmLoan,1,
1,哈哈，你真搞笑？我贷款？你骗错对象了,ConfirmLoan,1,
0,我拿不出这么多钱来还,ConfirmLoan,0,
1,不知道你们再说什么，啥子利息，滞纳金，懂都懂不起,ConfirmLoan,1,
1,你说多少钱？那点钱老子也需要借？,ConfirmLoan,1,
0,不知道呢,ConfirmLoan,0,
1,我还说些啥呢,ConfirmLoan,0,
0,饭碗都丢了,ConfirmLoan,0,
0,搞忘了,ConfirmLoan,0,
0,钱到位了我就还了,ConfirmLoan,0,
0,我忘记有借款这回事了,ConfirmLoan,0,
1,你确定吗,ConfirmLoan,1,
0,你又在开玩笑了，我像是有钱的人吗？,ConfirmLoan,0,
1,那个是我的朋友借的，我已经报案了，你们等通知吧,ConfirmLoan,1,
1,你逗我玩呢？,ConfirmLoan,1,
0,没得啥子钱啊，钱都用完了,ConfirmLoan,0,
1,我都还了，你们不要再打了,ConfirmLoan,1,
1,滚，还借款2万，你怎么不说我借款20万呢？,ConfirmLoan,1,
0,你打我啊,ConfirmLoan,0,
0,朋友生病了,ConfirmLoan,0,
0,俺娘把钱借去了,ConfirmLoan,0,
