original_text,from,original_label,split_text
哎呀烦不烦,不愿配合,110,哎呀 烦不烦
不关我的事,不愿配合,110,不关 我 的 事
不认识，不要再打过来了啊,不愿配合,110,不 认识   不要 再 打 过来 了 啊
不要给我说土味情话,不愿配合,110,不要 给 我 说 土味 情话
不要再骚扰我了，不然我报警了,不愿配合,110,不要 再 骚扰 我 了   不然 我 报警 了
打错了,不愿配合,110,打错 了
烦不烦啊，请你以后不要打这个电话了，在打我要屏蔽你了,不愿配合,110,烦不烦 啊   请 你 以后 不要 打 这个 电话 了   在 打 我 要 屏蔽 你 了
烦死了，天天催！催命啊,不愿配合,110,烦死 了   天天 催 ！ 催命 啊
风太大，没听清,不愿配合,109,风太大   没 听 清
滚,不愿配合,110,滚
滚，你tm还骗到老子头上来了。,不愿配合,110,滚   你 tm 还 骗 到 老子 头上 来 了 。
哈哈，打错了,不愿配合,110,哈哈   打错 了
还个屁,不愿配合,110,还个 屁
还你妹,不愿配合,110,还 你 妹
可不可以请我吃饭,不愿配合,109,可不可以 请 我 吃饭
可以不还吗,不愿配合,110,可以 不 还 吗
恼火,不愿配合,110,恼火
脑子有病吧,不愿配合,110,脑子 有病 吧
你猜我是不是呀,不愿配合,110,你 猜 我 是不是 呀
你的普通话能不能标准点啊，专业点行不行,不愿配合,109,你 的 普通话 能 不能 标准 点 啊   专业 点 行不行
你疯了吧，我认识你吗？,不愿配合,110,你 疯 了 吧   我 认识 你 吗 ？
你给高利贷打工小心警察抓你,不愿配合,110,你 给 高利贷 打工 小心 警察 抓 你
你管我啥子原因,不愿配合,110,你 管 我 啥子 原因
你是不是打错了,不愿配合,110,你 是不是 打错 了
你是不是有病呀,不愿配合,110,你 是不是 有病 呀
你是哪个？,不愿配合,1107,你 是 哪个 ？
你说我是不是,不愿配合,110,你 说 我 是不是
你头被门夹了哇？,不愿配合,110,你 头 被 门 夹 了 哇 ？
你这是已经是骚扰了，你在骚扰我我要报警了,不愿配合,110,你 这 是 已经 是 骚扰 了   你 在 骚扰 我 我 要 报警 了
爬,不愿配合,110,爬
欠款很正常的事情，但是你至少要给我算清楚吧,不愿配合,102,欠款 很 正常 的 事情   但是 你 至少 要 给 我 算清楚 吧
如果你能判断今天的天气，我就告诉你答案，咋样？,不愿配合,109,如果 你 能 判断   的 天气   我 就 告诉 你 答案   咋样 ？
神经病,不愿配合,110,神经病
我不确定,不愿配合,110,我 不 确定
我不知道该说什么好,不愿配合,110,我 不 知道 该 说 什么 好
我不知道你在说什么,不愿配合,110,我 不 知道 你 在 说 什么
我很烦，出来喝酒不？,不愿配合,110,我 很烦   出来 喝酒 不 ？
我后来才晓得你们是高利贷,不愿配合,109,我 后来 才 晓得 你们 是 高利贷
我说算你狠,不愿配合,110,我 说 算你狠
我也不知道,不愿配合,110,我 也 不 知道
无理取闹，你再骚扰我就诅咒你全家了,不愿配合,110,无理取闹   你 再 骚扰 我 就 诅咒 你 全家 了
一共是多少钱？,不愿配合,102,一共 是 多少 钱 ？
有毛病么，又打来，别惹我，烦着呢,不愿配合,110,有 毛病 么   又 打来   别 惹 我   烦着 呢
做梦去吧。,不愿配合,110,做梦 去 吧 。
你龟儿子吃饱了所,不愿配合,110,你 龟儿子 吃饱 了 所
我龟儿脑壳有包吗,不愿配合,110,我 龟儿 脑壳 有包 吗
好了，不说了,不愿配合,110,好 了   不 说 了
有病,不愿配合,110,有病
弱智,不愿配合,110,弱智
关你屁事,不愿配合,110,关 你 屁事
你管我是不是,不愿配合,110,你 管 我 是不是
什么？搞不懂。莫惹我,不愿配合,110,什么 ？ 搞不懂 。 莫惹 我
我不知道,不愿配合,110,我 不 知道
关你什么事,不愿配合,110,关 你 什么 事
烦,不愿配合,110,烦
你们不要打了，这个电话不用了,不愿配合,110,你们 不要 打 了   这个 电话 不用 了
我不说,不愿配合,110,我 不 说
是不是或者认识不认识和你有什么关系,不愿配合,110,是不是 或者 认识 不 认识 和 你 有 什么 关系
懒得理你,不愿配合,110,懒得 理 你
我心情不好，不想多说,不愿配合,110,我 心情 不好   不想 多 说
不要闹，烦得很,不愿配合,110,不要 闹   烦得 很
管你屁事,不愿配合,110,管 你 屁事
你猜呢,不愿配合,109,你 猜 呢
认不认识你关你好多事？,不愿配合,110,认不 认识 你关 你 好多 事 ？
打得来电话吗！,不愿配合,109,打 得来 电话 吗 ！
是不是和你有关系吗,不愿配合,110,是不是 和 你 有 关系 吗
别理我烦着呢,不愿配合,110,别理 我烦 着 呢
我是不是跟你有什么关系,不愿配合,110,我 是不是 跟 你 有 什么 关系
是不是和你有毛关系？,不愿配合,110,是不是 和 你 有 毛 关系 ？
滚,不愿配合,110,滚
别打我电话了,不愿配合,110,别打我 电话 了
有你什么事,不愿配合,110,有 你 什么 事
别理我,不愿配合,110,别理 我
你不要烦我,不愿配合,110,你 不要 烦 我
认识又怎么样,不愿配合,110,认识 又 怎么样
不要闹,不愿配合,110,不要 闹
认不认识跟你有什么关系,不愿配合,110,认不 认识 跟 你 有 什么 关系
认识怎么样不认识又怎么样，烦求得很,不愿配合,110,认识 怎么样 不 认识 又 怎么样   烦 求得 很
管你啥事,不愿配合,110,管 你 啥事
我认不到你说的那个人,不愿配合,110,我认 不到 你 说 的 那个 人
我不想回答你,不愿配合,110,我 不想 回答 你
管你毛事！,不愿配合,110,管 你 毛事 ！
我还是张大大呢,不愿配合,110,我 还是 张 大大 呢
老子是谁管你啥事,不愿配合,110,老子 是 谁 管 你 啥事
认不认识和你没关,不愿配合,110,认不 认识 和 你 没关
别给我打电话了，我不认识他,不愿配合,110,别 给 我 打电话 了   我 不 认识 他
