split_text,classifier,new_label
好的，我知道了！,CutDebt,106
到时候尽量处理点,CutDebt,106
今天一概能处理部分吧,CutDebt,106
可以等5天吗,CutDebt,106
可以问朋友借,CutDebt,106
银行已经关门，我过段时间在处理，,CutDebt,106
这两天我就还上。,CutDebt,106
15号,CutDebt,106
15号发工资处理,CutDebt,106
15号前,CutDebt,106
20号,CutDebt,106
30号,CutDebt,106
3点之前,CutDebt,106
5好吧,CutDebt,106
ok等下,CutDebt,106
俺过段时间才有,CutDebt,106
帮大忙了，明天就去银行排队！,CutDebt,106
保证,CutDebt,106
别人钱我钱，正在要钱,CutDebt,106
别人欠我钱在要,CutDebt,106
不超过八点,CutDebt,106
不能保证，得看工程款到不到,CutDebt,106
不是不还,CutDebt,106
不一定能借到钱处理,CutDebt,106
不一定能借到这么多,CutDebt,106
不用你说,CutDebt,106
不知道过两天发不发工资,CutDebt,106
不知道能不能借到钱,CutDebt,106
财务说马上发工资,CutDebt,106
凑看看,CutDebt,106
大后天,CutDebt,106
贷款不知道什么时候下来。,CutDebt,106
贷款今天不确定下来,CutDebt,106
贷款下来还,CutDebt,106
到那天再联系,CutDebt,106
到时候发工资就处理,CutDebt,106
到时候你联系我就行,CutDebt,106
到时候通知你,CutDebt,106
到时间肯定还,CutDebt,106
到时间你联系我,CutDebt,106
到时间我一定还上,CutDebt,106
到时我去处理,CutDebt,106
到银行了,CutDebt,106
到月底行不行,CutDebt,106
等10号一起,CutDebt,106
等等，我在和朋友要钱！,CutDebt,106
等等会处理,CutDebt,106
等等加还,CutDebt,106
等等就处理,CutDebt,106
等发工资,CutDebt,106
等发了工资的,CutDebt,106
等父母给钱的,CutDebt,106
等过几天发工资,CutDebt,106
等会,CutDebt,106
等会去银行存,CutDebt,106
等借朋友的钱到账了,CutDebt,106
等老婆拨款,CutDebt,106
等老婆发工资的,CutDebt,106
等朋友钱到账还,CutDebt,106
等他还了我就还,CutDebt,106
等我凑上了我联系你,CutDebt,106
等我发工资,CutDebt,106
等我发工资的,CutDebt,106
等我发工资的吧,CutDebt,106
等我发了工资就还上！,CutDebt,106
等我跟老板商量能预支工资不,CutDebt,106
等我好好想想再,CutDebt,106
等我钱到账了我不需要减免,CutDebt,106
等我稳定工作处理,CutDebt,106
等我下班,CutDebt,106
等我这批货卖出去的,CutDebt,106
等下个月月底吧,CutDebt,106
等下去银行,CutDebt,106
等一段时间,CutDebt,106
等一下去银行,CutDebt,106
等月底,CutDebt,106
都说了会还,CutDebt,106
恩，知道了,CutDebt,106
嗯，我考虑一下，差不多下周能还上吧,CutDebt,106
嗯，我现在就想办法还,CutDebt,106
发誓，如果处理不了,CutDebt,106
感谢你,CutDebt,106
给我半个月时间,CutDebt,106
给我点时间我去借钱,CutDebt,106
给我考虑下,CutDebt,106
给我一个星期我想办法,CutDebt,106
给我一个月，发了工资就还，我...发工资！,CutDebt,106
给我再想想吧,CutDebt,106
跟老板预支看看,CutDebt,106
跟着就还,CutDebt,106
工程款下来就处理,CutDebt,106
工程款下来就还了,CutDebt,106
工程款下来就能还了,CutDebt,106
工资几个月没发了，不一定能处理,CutDebt,106
工资马上到账,CutDebt,106
工资拖欠没发，发了我立马处理！,CutDebt,106
估计要三五个月的,CutDebt,106
