label,split_text,classifier,new_label,
1,时间太短了，还不上啊,Installment,1,
1,后面的，发工资再还,Installment,1,
1,我现在真的没有钱,Installment,1,
1,有点困难,Installment,1,
1,在干活,Installment,104,
1,多减点噻，一点诚意者莫得阿,Installment,1,
1,时间太急了没办法,Installment,1,
1,时间有点紧,Installment,1,
1,给我点时间我去借钱,Installment,1,
1,再免点嘛。,Installment,1,
0,在排队,Installment,106,
1,老板钱没拿到，不确定什么发工资,Installment,1,
1,在过一段时间,Installment,1,
1,没钱，还不了,Installment,1,
0,可以一个小时以后就处理,Installment,0,
1,我有钱我还能不还吗,Installment,1,
1,不行下个月才能还,Installment,1,
1,现在比较困难，最近没法处理了,Installment,1,
0,月底之前搞定,Installment,0,
1,现在没有钱,Installment,1,
1,今天不行，那啥来了,Installment,1,
1,实在凑不齐,Installment,1,
0,先处理一点，下个月全部处理掉,Installment,0,
1,金额太高，需要时间,Installment,1,
1,我去借钱,Installment,106,
1,还不了，我现在真的没钱,Installment,1,
1,少一点吧,Installment,1,
1,这个时间内我得看看行不行,Installment,106,
0,好的，我知道了！,Installment,106,
1,吃饭怎么办,Installment,1,
0,7天,Installment,106,？
1,8号不能还,Installment,1,
0,分期还,Installment,1,？
1,这个时间紧啊,Installment,1,
1,我现在没能力,Installment,1,
1,能不能再缓二天,Installment,1,
0,晚上处理给你截图,Installment,0,
0,那就这么说定了,Installment,0,
0,钱在卡里,Installment,0,
0,现在处理,Installment,0,
1,过两天,Installment,1,
0,明天可以还,Installment,0,
1,遇到事情困难,Installment,1,
1,减免太少了，能在多减免一下么，实在还不了呢,Installment,1,
0,稍后就还,Installment,0,
1,等有钱,Installment,1,
1,不是恶意拖欠，有钱就还了,Installment,1,
0,你放心吧,Installment,0,
0,等下去银行,Installment,106,
1,可以在等一下吗,Installment,1,
0,这部分我还得起,Installment,0,
1,在等两天,Installment,1,
1,工程款还没下来,Installment,1,
0,先还那部分嘛，剩下的不行嗯,Installment,1,
0,可以的，先还一点,Installment,0,
1,在给我几天,Installment,1,
0,放心，我会还的,Installment,0,
0,好的，,Installment,0,
0,晚上先换点,Installment,0,
1,来抓我,Installment,1,
0,xxx元，我这就还,Installment,0,
1,需要承担什么责任么,Installment,1,
1,短时间还不了。,Installment,1,
0,明天就还,Installment,0,
1,可以少还一点啊,Installment,1,
1,我找朋友借看看,Installment,106,？
1,今天不能！,Installment,1,
1,到时再说,Installment,1,
0,我的欠款。我很急，待会就处理,Installment,0,
0,一个月之内,Installment,0,？
1,2号不能还,Installment,1,
1,不可能的,Installment,1,
1,没得搞，下岗了,Installment,1,
1,我没那么多钱,Installment,1,
1,4号不能还,Installment,1,
0,在银行排队,Installment,106,？
0,我今天可以还100块,Installment,1,？
1,可以在加长一点时间吗,Installment,1,
1,不行，没办法啊,Installment,1,
0,可以还了,Installment,0,
0,让朋友处理,Installment,0,
0,凑到钱了，就先处理一部分,Installment,0,
1,需要时间,Installment,1,
0,没问题，今天就能先处理一部分,Installment,0,
0,三天后还,Installment,0,
1,没办法，明天来,Installment,1,
1,父母还没给答复,Installment,106,
0,我下午就能处理一部分,Installment,0,
0,感谢啊,Installment,0,
0,月中,Installment,0,？
1,这期可以少还一部分吗、,Installment,1,
0,能不能给我2天时间,Installment,0,
1,今天估计还不了,Installment,1,
1,2天没办法,Installment,1,
1,钱到账还,Installment,1,
1,等下个月在还,Installment,0,
1,能少点么,Installment,1,
0,哇，可以啊,Installment,0,
1,我现在没工作啊,Installment,1,
